File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF722OJB	bam	alignments	ENCSR652ELW	whole-genome shotgun bisulfite sequencing	UBERON:0002106	spleen	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF328LGS"	2.4483E+11	ENCODE Processing Pipeline	1cbe2f76e7dbab2dae8125e897bf285d		https://www.encodeproject.org/files/ENCFF722OJB/@@download/ENCFF722OJB.bam	GRCh38			released				
ENCFF737XVC	bam	alignments	ENCSR999RWT	whole-genome shotgun bisulfite sequencing	UBERON:0000945	stomach	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF119DGJ, ENCFF246HVP"	2.67906E+11	ENCODE Processing Pipeline	ff29dcdd05d2ea1438bd22a2418e4c3b		https://www.encodeproject.org/files/ENCFF737XVC/@@download/ENCFF737XVC.bam	GRCh38			released				
ENCFF661GJC	bam	alignments	ENCSR999RWT	whole-genome shotgun bisulfite sequencing	UBERON:0000945	stomach	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF954OEH"	25386543218	ENCODE Processing Pipeline	b31bfff37a5123271c7659268a268ec4		https://www.encodeproject.org/files/ENCFF661GJC/@@download/ENCFF661GJC.bam	GRCh38			released				
ENCFF553DNR	bam	alignments	ENCSR999RWT	whole-genome shotgun bisulfite sequencing	UBERON:0000945	stomach	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF221YXG, ENCFF246HVP"	49975610622	ENCODE Processing Pipeline	31c3d2be8c45929c339279a253f8094c		https://www.encodeproject.org/files/ENCFF553DNR/@@download/ENCFF553DNR.bam	GRCh38			released				
ENCFF995SGT	bam	alignments	ENCSR265ZHH	whole-genome shotgun bisulfite sequencing	UBERON:0002108	small intestine	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF196SRZ, ENCFF246HVP"	97984597909	ENCODE Processing Pipeline	8d765b917ea787f7b7e54ae7ea73fa49		https://www.encodeproject.org/files/ENCFF995SGT/@@download/ENCFF995SGT.bam	GRCh38			released				
ENCFF848HWO	bam	alignments	ENCSR265ZHH	whole-genome shotgun bisulfite sequencing	UBERON:0002108	small intestine	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF682HPR"	2.04875E+11	ENCODE Processing Pipeline	faf4569a72954b09faf6f70c33b3a887		https://www.encodeproject.org/files/ENCFF848HWO/@@download/ENCFF848HWO.bam	GRCh38			released				
ENCFF520PHX	bam	alignments	ENCSR265ZHH	whole-genome shotgun bisulfite sequencing	UBERON:0002108	small intestine	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF104DYQ, ENCFF246HVP"	25578314669	ENCODE Processing Pipeline	4fdc3c747931a04ed18deb573d783c95		https://www.encodeproject.org/files/ENCFF520PHX/@@download/ENCFF520PHX.bam	GRCh38			released				
ENCFF780CEC	bam	alignments	ENCSR556KEJ	whole-genome shotgun bisulfite sequencing	UBERON:0002048	lung	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF435IGQ"	96990218715	ENCODE Processing Pipeline	e34ccb653f39e69bbb54b197a22ad3b7		https://www.encodeproject.org/files/ENCFF780CEC/@@download/ENCFF780CEC.bam	GRCh38			released				
ENCFF036ODG	bam	alignments	ENCSR556KEJ	whole-genome shotgun bisulfite sequencing	UBERON:0002048	lung	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF198UQU, ENCFF246HVP"	2.56011E+11	ENCODE Processing Pipeline	398167ae372948af25377bd401495ea9		https://www.encodeproject.org/files/ENCFF036ODG/@@download/ENCFF036ODG.bam	GRCh38			released				
ENCFF512FUD	bam	alignments	ENCSR414XEF	whole-genome shotgun bisulfite sequencing	UBERON:0008450	psoas muscle	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF356KRM"	78563514357	ENCODE Processing Pipeline	17165cbe41d7b1253286116a3f13d75c		https://www.encodeproject.org/files/ENCFF512FUD/@@download/ENCFF512FUD.bam	GRCh38			released				
ENCFF165QNS	bam	alignments	ENCSR414XEF	whole-genome shotgun bisulfite sequencing	UBERON:0008450	psoas muscle	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF937AFR"	76202902645	ENCODE Processing Pipeline	d3567054db6a979df5dda6613575479a		https://www.encodeproject.org/files/ENCFF165QNS/@@download/ENCFF165QNS.bam	GRCh38			released				
ENCFF151RSB	bam	alignments	ENCSR442IUA	whole-genome shotgun bisulfite sequencing	UBERON:0002080	heart right ventricle	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF634SCC"	92967473043	ENCODE Processing Pipeline	da7d8bef2c5b96a88b0e804d1e26ec88		https://www.encodeproject.org/files/ENCFF151RSB/@@download/ENCFF151RSB.bam	GRCh38			released				
ENCFF732MWA	bam	alignments	ENCSR442IUA	whole-genome shotgun bisulfite sequencing	UBERON:0002080	heart right ventricle	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF108TDR, ENCFF246HVP"	76051940527	ENCODE Processing Pipeline	d05b9189afb6ae210cde3050a7925d0f		https://www.encodeproject.org/files/ENCFF732MWA/@@download/ENCFF732MWA.bam	GRCh38			released				
ENCFF338XGV	bam	alignments	ENCSR626YZN	whole-genome shotgun bisulfite sequencing	UBERON:0002080	heart right ventricle	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF375NTZ"	2.41665E+11	ENCODE Processing Pipeline	d9df9526af9a7a9df25bb091262017a0		https://www.encodeproject.org/files/ENCFF338XGV/@@download/ENCFF338XGV.bam	GRCh38			released	inconsistent platforms			
ENCFF055IQZ	bam	alignments	ENCSR626YZN	whole-genome shotgun bisulfite sequencing	UBERON:0002080	heart right ventricle	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF233NET, ENCFF246HVP"	53686741205	ENCODE Processing Pipeline	0ba78d6e346f772eb05a711c119a36c0		https://www.encodeproject.org/files/ENCFF055IQZ/@@download/ENCFF055IQZ.bam	GRCh38			released	inconsistent platforms			
ENCFF663LBM	bam	alignments	ENCSR626YZN	whole-genome shotgun bisulfite sequencing	UBERON:0002080	heart right ventricle	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF578POQ"	25233304158	ENCODE Processing Pipeline	9cafe57544e42524526861eb159768f8		https://www.encodeproject.org/files/ENCFF663LBM/@@download/ENCFF663LBM.bam	GRCh38			released	inconsistent platforms			
ENCFF805HPH	bam	alignments	ENCSR626YZN	whole-genome shotgun bisulfite sequencing	UBERON:0002080	heart right ventricle	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF107YVE, ENCFF129PKG, ENCFF246HVP, ENCFF441ILR, ENCFF447JOT, ENCFF482JGN, ENCFF511YKV, ENCFF721QTH, ENCFF756MUH, ENCFF941XFF, ENCFF991WZT, ENCFF998QLW"	21269745978	ENCODE Processing Pipeline	a5aeb2fb8e77b808a63c3071387659cb		https://www.encodeproject.org/files/ENCFF805HPH/@@download/ENCFF805HPH.bam	GRCh38			released	inconsistent platforms			
ENCFF532BRS	bed bedMethyl	methylation state at CHG	ENCSR539UBP	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF272PBZ, ENCFF490FOO, ENCFF974OSM"	2832764161	ENCODE Processing Pipeline	5440833d973a8e972b637dbc6d169be8		https://www.encodeproject.org/files/ENCFF532BRS/@@download/ENCFF532BRS.bed.gz	GRCh38			released				
ENCFF810FOG	bed bedMethyl	methylation state at CHH	ENCSR539UBP	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF272PBZ, ENCFF490FOO, ENCFF974OSM"	9190942706	ENCODE Processing Pipeline	92ee1685da3c7e5a2a112cbd19f20bb8		https://www.encodeproject.org/files/ENCFF810FOG/@@download/ENCFF810FOG.bed.gz	GRCh38			released				
ENCFF318AMC	bed bedMethyl	methylation state at CpG	ENCSR539UBP	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF272PBZ, ENCFF490FOO, ENCFF974OSM"	714923500	ENCODE Processing Pipeline	241b1ebc86dc5496ac0ec3091c35ee57		https://www.encodeproject.org/files/ENCFF318AMC/@@download/ENCFF318AMC.bed.gz	GRCh38			released				
ENCFF017JID	bed bedMethyl	methylation state at CHG	ENCSR893BUA	whole-genome shotgun bisulfite sequencing	UBERON:0000947	aorta	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF375RJP, ENCFF888GNX"	2625925979	ENCODE Processing Pipeline	c7c686baaa43deaf3d847f52db4c4cbf		https://www.encodeproject.org/files/ENCFF017JID/@@download/ENCFF017JID.bed.gz	GRCh38			released				
ENCFF553HJV	bed bedMethyl	methylation state at CpG	ENCSR893BUA	whole-genome shotgun bisulfite sequencing	UBERON:0000947	aorta	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF375RJP, ENCFF888GNX"	650626532	ENCODE Processing Pipeline	46c37f901e80de3565d12df324e21e5b		https://www.encodeproject.org/files/ENCFF553HJV/@@download/ENCFF553HJV.bed.gz	GRCh38			released				
ENCFF223PYT	bed bedMethyl	methylation state at CHH	ENCSR893BUA	whole-genome shotgun bisulfite sequencing	UBERON:0000947	aorta	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF375RJP, ENCFF888GNX"	8387277326	ENCODE Processing Pipeline	f2cc6611df89d01bff23a736fd4f7cd8		https://www.encodeproject.org/files/ENCFF223PYT/@@download/ENCFF223PYT.bed.gz	GRCh38			released				
ENCFF204WSG	bed bedMethyl	methylation state at CHG	ENCSR862LLM	whole-genome shotgun bisulfite sequencing	UBERON:0002106	spleen	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF035IUM, ENCFF246HVP, ENCFF342EMY"	2664803704	ENCODE Processing Pipeline	db4dac33f564b4886fd598bcccde567a		https://www.encodeproject.org/files/ENCFF204WSG/@@download/ENCFF204WSG.bed.gz	GRCh38			released				
ENCFF730NQT	bed bedMethyl	methylation state at CpG	ENCSR862LLM	whole-genome shotgun bisulfite sequencing	UBERON:0002106	spleen	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF035IUM, ENCFF246HVP, ENCFF342EMY"	663517254	ENCODE Processing Pipeline	26ea0244caa5617f3345e1b95258418c		https://www.encodeproject.org/files/ENCFF730NQT/@@download/ENCFF730NQT.bed.gz	GRCh38			released				
ENCFF083GEQ	bed bedMethyl	methylation state at CHH	ENCSR862LLM	whole-genome shotgun bisulfite sequencing	UBERON:0002106	spleen	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF035IUM, ENCFF246HVP, ENCFF342EMY"	8545856729	ENCODE Processing Pipeline	baca4b404f5bfbedecceea0d3c85e48b		https://www.encodeproject.org/files/ENCFF083GEQ/@@download/ENCFF083GEQ.bed.gz	GRCh38			released				
ENCFF661ORW	bed bedMethyl	methylation state at CHG	ENCSR405XVT	whole-genome shotgun bisulfite sequencing	UBERON:0001264	pancreas	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF027YKJ, ENCFF246HVP, ENCFF566ITI"	2627754073	ENCODE Processing Pipeline	969cdea3c7715ac808a4d61bfff8c1fc		https://www.encodeproject.org/files/ENCFF661ORW/@@download/ENCFF661ORW.bed.gz	GRCh38			released				
ENCFF500DKA	bed bedMethyl	methylation state at CpG	ENCSR405XVT	whole-genome shotgun bisulfite sequencing	UBERON:0001264	pancreas	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF027YKJ, ENCFF246HVP, ENCFF566ITI"	653548206	ENCODE Processing Pipeline	cfc72ee0e51e62ffaeb872812d3acdc9		https://www.encodeproject.org/files/ENCFF500DKA/@@download/ENCFF500DKA.bed.gz	GRCh38			released				
ENCFF340WWH	bed bedMethyl	methylation state at CHH	ENCSR405XVT	whole-genome shotgun bisulfite sequencing	UBERON:0001264	pancreas	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF027YKJ, ENCFF246HVP, ENCFF566ITI"	8402698960	ENCODE Processing Pipeline	bd5140fa0487f56388ce669d55614058		https://www.encodeproject.org/files/ENCFF340WWH/@@download/ENCFF340WWH.bed.gz	GRCh38			released				
ENCFF789XRU	bed bedMethyl	methylation state at CHG	ENCSR517TCG	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF069MOF, ENCFF246HVP, ENCFF420PTH"	2642351094	ENCODE Processing Pipeline	b3b89464d3c764be6a1d05a7adf1eb11		https://www.encodeproject.org/files/ENCFF789XRU/@@download/ENCFF789XRU.bed.gz	GRCh38			released				
ENCFF477GKI	bed bedMethyl	methylation state at CpG	ENCSR517TCG	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF069MOF, ENCFF246HVP, ENCFF420PTH"	656844077	ENCODE Processing Pipeline	3fd4e0722ca5197f6fea3d096b50bc84		https://www.encodeproject.org/files/ENCFF477GKI/@@download/ENCFF477GKI.bed.gz	GRCh38			released				
ENCFF068IHF	bed bedMethyl	methylation state at CHH	ENCSR517TCG	whole-genome shotgun bisulfite sequencing	UBERON:0001013	adipose tissue	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF069MOF, ENCFF246HVP, ENCFF420PTH"	8449466851	ENCODE Processing Pipeline	7e0036fffc426f2332c6fd02a303f99c		https://www.encodeproject.org/files/ENCFF068IHF/@@download/ENCFF068IHF.bed.gz	GRCh38			released				
ENCFF877IOX	bed bedMethyl	methylation state at CHH	ENCSR559QOU	whole-genome shotgun bisulfite sequencing	UBERON:0001043	esophagus	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF231CCQ, ENCFF246HVP, ENCFF367QNV"	9204462744	ENCODE Processing Pipeline	100cdd3eed8ffdc8b07230b25478fd45		https://www.encodeproject.org/files/ENCFF877IOX/@@download/ENCFF877IOX.bed.gz	GRCh38			released				
ENCFF250XVE	bed bedMethyl	methylation state at CHG	ENCSR559QOU	whole-genome shotgun bisulfite sequencing	UBERON:0001043	esophagus	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF231CCQ, ENCFF246HVP, ENCFF367QNV"	2878784070	ENCODE Processing Pipeline	ffa10a2e92c7d6d10fedda887b5463ea		https://www.encodeproject.org/files/ENCFF250XVE/@@download/ENCFF250XVE.bed.gz	GRCh38			released				
ENCFF625GVK	bed bedMethyl	methylation state at CpG	ENCSR559QOU	whole-genome shotgun bisulfite sequencing	UBERON:0001043	esophagus	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF231CCQ, ENCFF246HVP, ENCFF367QNV"	732064586	ENCODE Processing Pipeline	8eab3ddd29a4717e0f86de259720fac5		https://www.encodeproject.org/files/ENCFF625GVK/@@download/ENCFF625GVK.bed.gz	GRCh38			released				
ENCFF336YNE	bed bedMethyl	methylation state at CHG	ENCSR987GWQ	whole-genome shotgun bisulfite sequencing	UBERON:0001159	sigmoid colon	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF194SXB, ENCFF246HVP, ENCFF705LNO"	2901803415	ENCODE Processing Pipeline	1fa558737315d69d86d032f547016d0a		https://www.encodeproject.org/files/ENCFF336YNE/@@download/ENCFF336YNE.bed.gz	GRCh38			released				
ENCFF519PPJ	bed bedMethyl	methylation state at CHH	ENCSR987GWQ	whole-genome shotgun bisulfite sequencing	UBERON:0001159	sigmoid colon	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF194SXB, ENCFF246HVP, ENCFF705LNO"	9237575630	ENCODE Processing Pipeline	fdcc4bfdee30fae728ea23bff679c30c		https://www.encodeproject.org/files/ENCFF519PPJ/@@download/ENCFF519PPJ.bed.gz	GRCh38			released				
ENCFF157POM	bed bedMethyl	methylation state at CpG	ENCSR987GWQ	whole-genome shotgun bisulfite sequencing	UBERON:0001159	sigmoid colon	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF194SXB, ENCFF246HVP, ENCFF705LNO"	735717264	ENCODE Processing Pipeline	3e03a86f470c2d2879d95118fb2bea3c		https://www.encodeproject.org/files/ENCFF157POM/@@download/ENCFF157POM.bed.gz	GRCh38			released				
ENCFF536RSX	bed bedMethyl	methylation state at CpG	ENCSR579AXB	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF093BBI, ENCFF246HVP, ENCFF479WOW"	732733386	ENCODE Processing Pipeline	740571c2c261f19aa192d2a62e6577d6		https://www.encodeproject.org/files/ENCFF536RSX/@@download/ENCFF536RSX.bed.gz	GRCh38			released				
ENCFF259ZEJ	bed bedMethyl	methylation state at CHH	ENCSR579AXB	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF093BBI, ENCFF246HVP, ENCFF479WOW"	9281089238	ENCODE Processing Pipeline	51254ae99377ff6810a7804554d84ea6		https://www.encodeproject.org/files/ENCFF259ZEJ/@@download/ENCFF259ZEJ.bed.gz	GRCh38			released				
ENCFF881IGR	bed bedMethyl	methylation state at CHG	ENCSR579AXB	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF093BBI, ENCFF246HVP, ENCFF479WOW"	2899613721	ENCODE Processing Pipeline	1f9929f21c31d763d7853f849b06a0af		https://www.encodeproject.org/files/ENCFF881IGR/@@download/ENCFF881IGR.bed.gz	GRCh38			released				
ENCFF833HAZ	bed bedMethyl	methylation state at CHG	ENCSR012TGL	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF382MFI, ENCFF501IFY, ENCFF984GJM"	2830263324	ENCODE Processing Pipeline	ae0a49968666845bff046c76718abdc7		https://www.encodeproject.org/files/ENCFF833HAZ/@@download/ENCFF833HAZ.bed.gz	GRCh38			released				
ENCFF587RNQ	bed bedMethyl	methylation state at CHH	ENCSR012TGL	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF382MFI, ENCFF501IFY, ENCFF984GJM"	9179121493	ENCODE Processing Pipeline	bfeafbe7ab5d7f3543c4fa758366f786		https://www.encodeproject.org/files/ENCFF587RNQ/@@download/ENCFF587RNQ.bed.gz	GRCh38			released				
ENCFF684JHX	bed bedMethyl	methylation state at CpG	ENCSR012TGL	whole-genome shotgun bisulfite sequencing	UBERON:0002084	heart left ventricle	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF382MFI, ENCFF501IFY, ENCFF984GJM"	712653475	ENCODE Processing Pipeline	c018c7ca25f5dc944e69c9f42b30da88		https://www.encodeproject.org/files/ENCFF684JHX/@@download/ENCFF684JHX.bed.gz	GRCh38			released				
ENCFF247ILV	bed bedMethyl	methylation state at CpG	ENCSR417YFD	whole-genome shotgun bisulfite sequencing	UBERON:0000992	ovary	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF294ZJM, ENCFF980COG"	714367475	ENCODE Processing Pipeline	b28244515d95f184afb5241d08bbf1b0		https://www.encodeproject.org/files/ENCFF247ILV/@@download/ENCFF247ILV.bed.gz	GRCh38			released				
ENCFF702EVG	bed bedMethyl	methylation state at CHG	ENCSR417YFD	whole-genome shotgun bisulfite sequencing	UBERON:0000992	ovary	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF294ZJM, ENCFF980COG"	2812042097	ENCODE Processing Pipeline	3ff8b16633ed30681afbf73282285bf8		https://www.encodeproject.org/files/ENCFF702EVG/@@download/ENCFF702EVG.bed.gz	GRCh38			released				
ENCFF874VKO	bed bedMethyl	methylation state at CHH	ENCSR417YFD	whole-genome shotgun bisulfite sequencing	UBERON:0000992	ovary	tissue	adult	female	30 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF294ZJM, ENCFF980COG"	9118042263	ENCODE Processing Pipeline	bbbbe07e25e04542f8d69d1ce2f36968		https://www.encodeproject.org/files/ENCFF874VKO/@@download/ENCFF874VKO.bed.gz	GRCh38			released				
ENCFF417ERA	bed bedMethyl	methylation state at CHG	ENCSR331PWE	whole-genome shotgun bisulfite sequencing	UBERON:0001159	sigmoid colon	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF570HVV, ENCFF930VIL"	2867590958	ENCODE Processing Pipeline	b1c70d17b6de794c2e3bc37e89aaffbf		https://www.encodeproject.org/files/ENCFF417ERA/@@download/ENCFF417ERA.bed.gz	GRCh38			released				
ENCFF455TQO	bed bedMethyl	methylation state at CpG	ENCSR331PWE	whole-genome shotgun bisulfite sequencing	UBERON:0001159	sigmoid colon	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF570HVV, ENCFF930VIL"	727685810	ENCODE Processing Pipeline	79f77410c7c326465b3cac4d677ef51e		https://www.encodeproject.org/files/ENCFF455TQO/@@download/ENCFF455TQO.bed.gz	GRCh38			released				
ENCFF576QRO	bed bedMethyl	methylation state at CHH	ENCSR331PWE	whole-genome shotgun bisulfite sequencing	UBERON:0001159	sigmoid colon	tissue	adult	male	34 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF570HVV, ENCFF930VIL"	9194940228	ENCODE Processing Pipeline	9fec9df958fb2e40bc70159d9254708f		https://www.encodeproject.org/files/ENCFF576QRO/@@download/ENCFF576QRO.bed.gz	GRCh38			released				
ENCFF299AJA	bed bedMethyl	methylation state at CHG	ENCSR797TEV	whole-genome shotgun bisulfite sequencing	UBERON:0002048	lung	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF581MVM, ENCFF865VQL"	2622430887	ENCODE Processing Pipeline	5e16e5bf9325f94cca19aad3956ba4e8		https://www.encodeproject.org/files/ENCFF299AJA/@@download/ENCFF299AJA.bed.gz	GRCh38			released				
ENCFF721VBY	bed bedMethyl	methylation state at CHH	ENCSR797TEV	whole-genome shotgun bisulfite sequencing	UBERON:0002048	lung	tissue	child	male	3 year	Homo sapiens							DNA		QIAGEN DNeasy Blood & Tissue Kit			FALSE	7/31/13	Roadmap				1							"ENCFF246HVP, ENCFF581MVM, ENCFF865VQL"	8371774962	ENCODE Processing Pipeline	f25855b809590e966594fad85f5a883b		https://www.encodeproject.org/files/ENCFF721VBY/@@download/ENCFF721VBY.bed.gz	GRCh38			released				
