CpG Probe ID 	Chr	Start	Cerebellum Average	Brain Average	Average of all tissues (not brain) 	Prefrontal Cortex Average	Leukocyte Average 
cg05938267	16	77228897	0.39995	0.772855	0.858656338	0.8051	0.9151125
cg05939149	2	43986106	0.466933333	0.589435	0.817064789	0.6495	0.973925
cg05942562	8	8177911	0.248366667	0.7595	0.896053521	0.79128	0.9465
cg05944967	18	77166811	0.40495	0.8133925	0.943849296	0.89048	0.9276625
cg05945584	5	688486	0.464383333	0.7932925	0.974923944	0.73888	0.9746
cg05957544	21	45360804	0.392166667	0.735855	0.867404225	0.77402	0.910025
cg05963605	2	10395189	0.211816667	0.81715	0.869928169	0.87498	0.9744375
cg05966641	6	134637428	0.169	0.2706025	0.855619718	0.4039	0.944075
cg05970547	4	190661634	0.397633333	0.8770525	0.940684507	0.93984	0.9582375
cg05972352	13	113663373	0.467366667	0.7579375	0.934357746	0.76968	0.9641875
cg05973414	8	810529	0.467783333	0.4363475	0.861905634	0.5223	0.9599
cg05996160	2	16124662	0.193616667	0.34817	0.825542254	0.41854	0.9001375
cg06003187	1	42629798	0.236166667	0.7664125	0.807125352	0.81826	0.92405
cg06009010	17	650835	0.434883333	0.8072175	0.86846338	0.82296	0.9489875
cg06010724	5	79911547	0.480516667	0.3451575	0.872794366	0.4259	0.95045
cg06012607	11	6413036	0.234433333	0.736905	0.876049296	0.7961	0.9345
cg06014251	12	52200919	0.486683333	0.85293	0.916073239	0.87908	0.9535875
cg06041759	11	528924	0.4816	0.627645	0.805432394	0.6425	0.9283
cg06045576	22	19948957	0.49455	0.82666	0.829742254	0.84354	0.9096875
cg06046344	11	64331745	0.46655	0.8470325	0.893940845	0.86982	0.9390375
cg06047778	11	2596300	0.4687	0.498065	0.81978169	0.54008	0.93985
cg06050631	6	140098850	0.457033333	0.6870875	0.852569014	0.7069	0.9328125
cg06051753	17	36499751	0.253533333	0.3537275	0.828764789	0.41888	0.918425
cg06053376	5	139055122	0.1921	0.4369575	0.860094366	0.62228	0.9436625
cg06054219	11	2293605	0.24125	0.7511275	0.864042254	0.82572	0.9486125
cg06057715	1	61554414	0.30485	0.4454225	0.900447887	0.41232	0.9728125
cg06072835	16	86112019	0.325166667	0.6870925	0.828714085	0.72194	0.9140875
cg06074534	16	85020055	0.2117	0.714935	0.920122535	0.61586	0.931575
cg06084952	16	30959315	0.222333333	0.5346125	0.892753521	0.44438	0.9559
cg06087623	1	2203012	0.149583333	0.6730275	0.929570423	0.65158	0.943825
cg06089606	3	89909180	0.331166667	0.3581225	0.815222535	0.50296	0.93035
cg06095296	16	22336989	0.4607	0.73848	0.882491549	0.77438	0.9237
cg06098291	16	22787289	0.355433333	0.7836525	0.872671831	0.8406	0.9472625
cg06104935	7	101712212	0.242483333	0.7609025	0.868560563	0.77946	0.9309125
cg06119137	6	168617767	0.262883333	0.564315	0.886829577	0.6055	0.9197125
cg06120688	7	50772867	0.260116667	0.7587325	0.889878873	0.79198	0.958775
cg06134678	6	9139720	0.36085	0.77138	0.845774648	0.75012	0.9368625
cg06142122	16	85695032	0.311016667	0.7093875	0.870246479	0.76916	0.93125
cg06147143	4	141564271	0.490883333	0.8382575	0.904129577	0.8712	0.9379125
cg06147194	17	72860652	0.388883333	0.81181	0.885423944	0.85088	0.91435
cg06147210	7	136927099	0.344983333	0.499855	0.864357746	0.52802	0.9159125
cg06154633	17	78860605	0.201066667	0.8428225	0.949276056	0.90958	0.9320125
cg06157924	4	942005	0.28735	0.76119	0.949329577	0.85058	0.9490125
cg06158994	11	133801225	0.488216667	0.7846325	0.839807042	0.80234	0.913
cg06173395	7	24924081	0.355966667	0.6835375	0.905223944	0.59256	0.9371875
cg06175416	4	178046085	0.457466667	0.816215	0.885614085	0.80732	0.953125
cg06180846	7	1481453	0.46235	0.854685	0.910742254	0.8966	0.917875
cg06193520	16	1373703	0.213983333	0.267855	0.855183099	0.41146	0.9240875
cg06197043	22	20236856	0.230316667	0.790475	0.903221127	0.8352	0.946975
cg06197360	20	60970103	0.446566667	0.80762	0.909925352	0.8663	0.9302875
cg06203102	1	155148157	0.190883333	0.371485	0.815615493	0.41676	0.9183625
cg06206670	13	113436564	0.244483333	0.256115	0.89106338	0.37144	0.9585375
cg06216640	4	77640141	0.226166667	0.7018075	0.845971831	0.69854	0.9229625
cg06219301	16	671340	0.294366667	0.72621	0.846774648	0.71348	0.9212125
cg06224893	2	25526639	0.200066667	0.6598875	0.838440845	0.72924	0.9348625
cg06233593	16	337645	0.3411	0.580225	0.871925352	0.55842	0.954475
cg06234863	17	55739985	0.342383333	0.2853125	0.826916901	0.33124	0.9329125
cg06239131	1	2483786	0.357083333	0.5234725	0.840991549	0.62704	0.9603
cg06240209	10	126716434	0.149433333	0.6461575	0.864695775	0.6836	0.9621625
cg06245967	16	87988862	0.334616667	0.6448	0.845235211	0.71204	0.9085125
cg06246474	7	101738831	0.2991	0.75088	0.914428169	0.82072	0.96495
cg06246941	15	45671708	0.1759	0.3602625	0.873538028	0.51682	0.9747875
cg06250135	8	26481822	0.158833333	0.27598	0.864226761	0.383	0.9574125
cg06254425	17	73056002	0.300116667	0.384855	0.842042254	0.38928	0.9034875
cg06264108	11	2603429	0.326816667	0.8315575	0.918311268	0.8944	0.9725125
cg06276229	16	3517150	0.432333333	0.739315	0.850042254	0.73428	0.9127125
cg06288444	11	133792211	0.204633333	0.7082825	0.895722535	0.69528	0.934
cg06289824	16	1076283	0.248983333	0.6632375	0.803377465	0.6295	0.9191375
cg06293172	2	25045211	0.4055	0.29747	0.867471831	0.37844	0.936675
cg06294954	7	101789639	0.2855	0.3954325	0.830428169	0.57196	0.9063625
cg06303574	13	98082992	0.380866667	0.6826275	0.913788732	0.68024	0.967925
cg06310698	20	35442341	0.241866667	0.707905	0.873056338	0.78652	0.9046125
cg06320418	16	766888	0.3376	0.352175	0.857194366	0.4399	0.921775
cg06323896	16	85410525	0.302016667	0.59282	0.887608451	0.61548	0.9436125
cg06331899	17	77174214	0.273066667	0.7945675	0.859270423	0.85212	0.9172
cg06332512	16	670800	0.318083333	0.4081925	0.839926761	0.4095	0.9736875
cg06351643	11	69624649	0.404	0.84535	0.859687324	0.86782	0.9506875
cg06352464	10	11088205	0.408633333	0.5305075	0.849878873	0.52522	0.918075
cg06359492	16	89162377	0.395416667	0.84196	0.935592958	0.8727	0.9322625
cg06363798	1	171604882	0.332966667	0.7972225	0.856687324	0.84448	0.90415
cg06364539	4	108500280	0.428133333	0.83774	0.92528169	0.84408	0.9317875
cg06369573	19	19755321	0.326933333	0.7531275	0.868995775	0.75478	0.9223125
cg06371628	16	89173705	0.210766667	0.7584075	0.882952113	0.82322	0.951575
cg06372151	12	49340730	0.318216667	0.7545775	0.842735211	0.72808	0.904075
cg06372779	7	24972527	0.259866667	0.3330275	0.871143662	0.41678	0.901325
cg06389888	2	135011991	0.401933333	0.80367	0.819157746	0.84342	0.910225
cg06390077	7	141385142	0.107483333	0.2847975	0.854585915	0.39384	0.9588125
cg06401914	17	77537585	0.267883333	0.7834075	0.878729577	0.79708	0.9258
cg06405341	17	63535223	0.134433333	0.54585	0.835715493	0.41588	0.9181625
cg06406157	11	60691287	0.183866667	0.4614775	0.82896338	0.44212	0.9318125
cg06411129	12	132695392	0.49335	0.807525	0.907633803	0.827	0.9355
cg06411987	10	133809855	0.36275	0.469475	0.824528169	0.49576	0.9404875
cg06412759	17	73147288	0.37045	0.8027475	0.910842254	0.79988	0.948525
cg06416110	7	157190100	0.173116667	0.7677	0.894232394	0.81098	0.9784625
cg06419212	16	89161567	0.358766667	0.83356	0.921829577	0.88852	0.9667
cg06434344	16	3515991	0.302816667	0.7489325	0.903021127	0.7324	0.9196625
cg06435751	17	79663509	0.481716667	0.7393275	0.871840845	0.75686	0.969425
cg06437430	5	1033714	0.13565	0.6029375	0.846669014	0.66998	0.9312125
cg06439269	4	2256756	0.242483333	0.754625	0.879104225	0.79274	0.9559125
cg06442865	17	48913413	0.492566667	0.84387	0.961059155	0.81336	0.9651
cg06466782	7	101049300	0.21005	0.57945	0.865077465	0.7005	0.9634375
cg06470951	2	240366416	0.25855	0.392085	0.811414085	0.56178	0.9797
cg06489500	11	1436059	0.179066667	0.7223675	0.909408451	0.70128	0.9539625
cg06507434	11	64597280	0.434966667	0.845795	0.914995775	0.88026	0.936275
cg06508379	19	19104064	0.424216667	0.4499675	0.8851	0.46696	0.933225
cg06522179	16	2647662	0.273416667	0.765545	0.880580282	0.83454	0.960625
cg06524162	17	36499074	0.327883333	0.7798875	0.858708451	0.80224	0.9114125
cg06528803	16	75273344	0.286833333	0.505925	0.864983099	0.61186	0.9182125
cg06531176	5	1282723	0.265733333	0.7772875	0.881774648	0.83958	0.970925
cg06533430	22	36894231	0.3835	0.779595	0.903274648	0.79354	0.95935
cg06538238	6	29588575	0.167166667	0.402155	0.824166197	0.37808	0.9492
cg06548292	18	74729145	0.3782	0.3561925	0.845343662	0.45118	0.9557625
cg06548410	19	1997657	0.17	0.719505	0.860664789	0.814	0.9186125
cg06553975	12	133085262	0.418583333	0.776075	0.853256338	0.81036	0.929425
cg06557580	16	1041216	0.193	0.38771	0.821940845	0.4876	0.964675
cg06557985	17	50233082	0.23425	0.74538	0.865966197	0.73662	0.921875
cg06562964	4	37686268	0.388383333	0.785465	0.878873239	0.77526	0.9392125
cg06565368	11	131907820	0.445016667	0.78613	0.811560563	0.72536	0.9025125
cg06571993	7	98579529	0.375033333	0.8808625	0.97871831	0.93596	0.9672875
cg06573253	11	66032674	0.390133333	0.6117225	0.810376056	0.60042	0.9262875
cg06577703	17	79431121	0.2626	0.7861575	0.881711268	0.84978	0.9147875
cg06579248	17	1375968	0.222716667	0.6819875	0.818570423	0.73134	0.923725
cg06581825	2	162838364	0.32965	0.7739775	0.92034507	0.76644	0.9716375
cg06585907	16	11001839	0.480066667	0.76169	0.945859155	0.83558	0.95585
cg06587187	12	130968614	0.166	0.7466525	0.828538028	0.80078	0.92845
cg06588782	2	2337093	0.148833333	0.3921325	0.839640845	0.41034	0.901
cg06602821	16	85614402	0.421216667	0.8861175	0.971007042	0.93892	0.945875
cg06602926	17	18584429	0.4465	0.5590825	0.812711268	0.56422	0.90575
cg06609498	2	240233240	0.391516667	0.4288475	0.80235493	0.52514	0.9544
cg06614697	1	3696285	0.213466667	0.647745	0.892528169	0.63676	0.9083125
cg06621431	2	168675141	0.4588	0.82716	0.893729577	0.84246	0.9148
cg06623668	19	13138816	0.139816667	0.3222775	0.864064789	0.41086	0.9205625
cg06629870	16	88144213	0.268516667	0.7568725	0.85453662	0.84542	0.940175
cg06631184	1	86534132	0.275266667	0.7968175	0.846549296	0.84404	0.9502875
cg06634179	2	26542043	0.19035	0.642105	0.845897183	0.73448	0.9206125
cg06634717	1	8442507	0.0598	0.1223525	0.895107042	0.21364	0.9488125
cg06660116	16	89433876	0.485583333	0.7624125	0.913540845	0.75928	0.966825
cg06662140	1	18809297	0.456183333	0.8654675	0.887015493	0.87596	0.944925
cg06664775	19	22033893	0.491433333	0.5512075	0.831683099	0.57684	0.9441875
cg06670039	16	12530246	0.132833333	0.7396775	0.938229577	0.68168	0.956025
cg06672008	16	87769500	0.414216667	0.641225	0.857167606	0.67418	0.9412375
cg06675144	5	127552620	0.3722	0.6439725	0.830235211	0.555	0.9129125
cg06676049	2	23839842	0.46795	0.6074975	0.847395775	0.54912	0.9442125
cg06678662	12	63023439	0.244283333	0.6646575	0.86765493	0.743	0.9144375
cg06687102	3	158441983	0.43395	0.807505	0.8681	0.82784	0.9157875
cg06698470	16	80654751	0.490816667	0.8112475	0.876533803	0.84536	0.9424375
cg06702891	12	132872081	0.334083333	0.7007575	0.807243662	0.68316	0.9061
cg06703573	16	1364331	0.285283333	0.76968	0.88341831	0.84178	0.958675
cg06709178	1	38328759	0.3098	0.82294	0.936102817	0.84258	0.9609875
cg06711298	2	97530602	0.38795	0.7685025	0.831235211	0.82436	0.9019625
cg06721712	1	243638141	0.15745	0.7430925	0.866023944	0.8205	0.9737875
cg06722022	16	87641631	0.449183333	0.742965	0.864470423	0.67332	0.9103
cg06736312	1	2238334	0.31125	0.6492525	0.915708451	0.52128	0.97355
cg06740995	1	223893441	0.2027	0.5534375	0.842447887	0.6213	0.942825
cg06742321	12	123595122	0.412016667	0.8122425	0.904635211	0.84098	0.9569375
cg06746670	16	51171260	0.39775	0.507485	0.854129577	0.5299	0.9530625
cg06748470	1	65467980	0.250933333	0.76408	0.808556338	0.73886	0.9447625
cg06756069	1	208523382	0.39695	0.82512	0.898133803	0.85174	0.9281375
cg06759632	1	1235430	0.297566667	0.6769225	0.857512676	0.66042	0.9095
cg06760423	7	789945	0.25875	0.8603725	0.970753521	0.93494	0.96615
cg06763124	17	64633191	0.314416667	0.7899725	0.908608451	0.79712	0.92265
cg06765022	7	76628673	0.251416667	0.6737475	0.805266197	0.58716	0.9014875
cg06767142	11	63821400	0.302433333	0.434395	0.908267606	0.50826	0.916025
cg06776548	1	154545724	0.266616667	0.7739425	0.907735211	0.78012	0.9498125
cg06777472	20	57873033	0.437133333	0.5434425	0.854383099	0.65916	0.909825
cg06782350	15	41060394	0.242566667	0.7122375	0.809280282	0.73354	0.907325
cg06783121	5	176314628	0.38595	0.8246675	0.899666197	0.86716	0.9413375
cg06784689	13	97991111	0.459616667	0.3227025	0.881601408	0.36266	0.9690625
cg06787004	22	19938981	0.179583333	0.4555975	0.827419718	0.56556	0.94595
cg06790053	1	246939453	0.1532	0.7794275	0.876304225	0.87212	0.9528125
cg06790449	7	136064937	0.49805	0.45919	0.87894507	0.58128	0.91555
cg06791083	1	2006465	0.174466667	0.3299225	0.898659155	0.36334	0.9423125
cg06791091	12	3332539	0.290316667	0.789065	0.915040845	0.86048	0.94775
cg06795858	7	2699820	0.16055	0.44038	0.80325493	0.47616	0.9108625
cg06803995	22	40815101	0.497933333	0.7228375	0.822384507	0.6536	0.92525
cg06806214	16	87392029	0.16855	0.756825	0.838271831	0.84044	0.9529625
cg06809074	8	976415	0.358266667	0.78056	0.817128169	0.84466	0.9404875
cg06809285	1	228359130	0.2648	0.760165	0.867611268	0.78738	0.9313625
cg06809635	1	40533357	0.324116667	0.76959	0.925898592	0.77904	0.9622375
cg06821641	1	2016915	0.221283333	0.73902	0.916715493	0.76016	0.9630625
cg06823022	1	109826878	0.470466667	0.6993425	0.884392958	0.72038	0.93575
cg06826710	1	246939249	0.244266667	0.822425	0.906480282	0.88672	0.9058625
cg06834177	1	6333843	0.344166667	0.300305	0.916209859	0.42354	0.949425
cg06835074	10	85985319	0.495783333	0.8098825	0.822566197	0.77158	0.9030375
cg06840243	17	74442338	0.478616667	0.434175	0.824623944	0.49092	0.924025
cg06840895	1	92705964	0.398866667	0.72671	0.849242254	0.6768	0.9081625
cg06844936	12	120621244	0.273666667	0.7615625	0.831076056	0.79658	0.925075
cg06854306	4	10575210	0.3225	0.6607925	0.835614085	0.71816	0.9280125
cg06855182	2	240228189	0.354183333	0.7864375	0.830764789	0.83216	0.946125
cg06866712	8	18743898	0.228816667	0.4194025	0.897761972	0.48042	0.9056375
cg06867623	14	100891947	0.2027	0.52326	0.869223944	0.62512	0.9078875
cg06874326	8	101662790	0.184166667	0.7317925	0.82088169	0.74358	0.935675
cg06876872	1	202110290	0.330283333	0.6354875	0.841847887	0.70628	0.963275
cg06877848	17	49242714	0.198	0.78156	0.906490141	0.86676	0.9705125
cg06884029	19	4986305	0.247866667	0.71759	0.867591549	0.79574	0.9100875
cg06890890	7	155592645	0.450933333	0.7406925	0.818280282	0.69404	0.9161875
cg06896529	16	81678968	0.24485	0.62818	0.832397183	0.54328	0.9785375
cg06898306	6	33996673	0.325266667	0.8333175	0.918622535	0.87528	0.936625
cg06905499	13	113647429	0.292783333	0.755265	0.880702817	0.79474	0.9630375
cg06906087	17	80053205	0.458783333	0.7333875	0.803905634	0.75964	0.9015875
cg06908618	16	87739453	0.0764	0.3462225	0.821021127	0.3327	0.9120375
cg06908655	7	151081001	0.209783333	0.707195	0.872714085	0.74214	0.9198
cg06908739	10	50732844	0.202083333	0.4460825	0.921083099	0.6035	0.971625
cg06915270	1	183891360	0.47105	0.8414125	0.915264789	0.88062	0.9597625
cg06916725	15	69423886	0.257066667	0.5065975	0.867150704	0.59884	0.958275
cg06932415	12	5627841	0.395983333	0.748115	0.886811268	0.73584	0.9326
cg06945634	8	30413794	0.2699	0.5769225	0.877140845	0.57398	0.950475
cg06947694	7	5389271	0.2367	0.8254	0.947577465	0.8455	0.9072
cg06948737	12	95471414	0.491933333	0.8032725	0.815842254	0.82192	0.95405
cg06951646	7	98586548	0.256066667	0.8160375	0.907169014	0.88902	0.9643625
cg06966363	10	105397554	0.27135	0.81196	0.840347887	0.87768	0.9650375
cg06971761	21	45379595	0.1583	0.6297875	0.8748	0.63288	0.92925
cg06977639	4	57470287	0.440516667	0.6940575	0.81463662	0.75978	0.915025
cg06979680	10	87676527	0.418716667	0.419285	0.856739437	0.53586	0.9438
cg06980013	1	1945959	0.251133333	0.6127875	0.834873239	0.70158	0.9161875
cg06981504	1	1234844	0.29355	0.48986	0.856749296	0.5597	0.912975
cg06982473	11	63676611	0.40065	0.77273	0.933973239	0.72608	0.9622875
cg06986989	1	235802839	0.330916667	0.6296275	0.883822535	0.67626	0.947025
cg06988422	1	54726670	0.397466667	0.76737	0.855838028	0.78506	0.9437125
cg06994572	12	122691993	0.260683333	0.72678	0.921191549	0.72252	0.97875
cg06996147	13	112331836	0.184666667	0.6150025	0.822377465	0.6481	0.9527625
cg06997997	17	19287677	0.215	0.4777625	0.813014085	0.59878	0.9031125
cg06999084	16	88873729	0.4054	0.56291	0.815177465	0.60604	0.9365625
cg07000514	7	1090232	0.303283333	0.593655	0.819567606	0.6316	0.9561375
cg07002602	17	17124752	0.252383333	0.583365	0.923467606	0.58402	0.971325
cg07006551	1	11716037	0.398933333	0.6987875	0.840349296	0.71006	0.9186
cg07010028	14	89878562	0.3416	0.8380475	0.917856338	0.90742	0.9452125
cg07022279	11	64703637	0.491833333	0.7992775	0.848064789	0.81284	0.9152875
cg07023563	1	17989633	0.248816667	0.8644325	0.96024507	0.94778	0.96805
cg07028415	6	3285475	0.4665	0.34375	0.883771831	0.41524	0.9429625
cg07031083	16	87391861	0.160133333	0.7821575	0.857795775	0.85224	0.9175875
cg07035046	9	79791064	0.48215	0.84429	0.862260563	0.86142	0.943875
cg07036112	16	2140438	0.315333333	0.692575	0.836095775	0.6845	0.94745
cg07043247	10	11085755	0.456416667	0.7793325	0.861883099	0.73772	0.9159375
cg07054292	2	127963330	0.363216667	0.6772775	0.806104225	0.6576	0.9046875
cg07061426	3	141111703	0.2234	0.75501	0.910192958	0.79628	0.946975
cg07062388	6	70507787	0.252816667	0.5148475	0.831773239	0.66052	0.9614125
cg07087919	1	2310084	0.221466667	0.7220025	0.833284507	0.77268	0.928525
cg07091346	11	888685	0.340466667	0.705755	0.880387324	0.8086	0.9362125
cg07094194	6	31130273	0.451016667	0.86286	0.913846479	0.883	0.920825
cg07096883	7	149979234	0.279833333	0.747895	0.8517	0.70016	0.949625
cg07102406	16	2294639	0.264066667	0.801165	0.880159155	0.85584	0.9526125
cg07104895	17	79936499	0.235783333	0.824085	0.918530986	0.86006	0.927875
cg07112556	10	105642168	0.338383333	0.8278675	0.848316901	0.88538	0.961475
cg07122170	1	11248185	0.48775	0.3631075	0.812049296	0.42394	0.9145125
cg07126091	8	140617161	0.215083333	0.7996025	0.873661972	0.87012	0.935275
cg07128233	10	65217182	0.309866667	0.6641175	0.813073239	0.6298	0.9341
cg07128900	16	70714357	0.405283333	0.3678625	0.875778873	0.44678	0.9449125
cg07131274	2	3270259	0.1614	0.3547125	0.87901831	0.4426	0.9651625
cg07137416	8	12871962	0.46395	0.849255	0.900812676	0.881	0.932025
cg07139165	11	133823125	0.232583333	0.7051	0.86635493	0.65876	0.9225
cg07140250	14	104151427	0.1567	0.60079	0.830346479	0.63812	0.9515125
cg07142325	1	119684001	0.411216667	0.83351	0.909270423	0.88428	0.956875
cg07143158	1	12609308	0.393683333	0.8559525	0.815166197	0.87832	0.96135
cg07145834	8	123878522	0.473483333	0.732775	0.851553521	0.67464	0.9479875
cg07148051	5	151031393	0.312366667	0.8235475	0.896376056	0.88138	0.963575
cg07151059	8	61568373	0.4338	0.78195	0.850860563	0.75726	0.910725
cg07152582	10	73822708	0.4433	0.7940575	0.894088732	0.78302	0.9297875
cg07153868	7	1054351	0.091583333	0.54451	0.863342254	0.57058	0.9545875
cg07154904	12	133143645	0.20165	0.4717925	0.940026761	0.5576	0.947025
cg07156990	14	102685678	0.27365	0.7043125	0.898887324	0.77452	0.9630875
cg07160540	1	15763849	0.269333333	0.7854225	0.812125352	0.846	0.903025
cg07166159	17	75209644	0.171383333	0.683475	0.874904225	0.66196	0.946475
cg07171780	16	67915238	0.272483333	0.55948	0.808160563	0.6068	0.9062125
cg07176561	7	157624788	0.2867	0.6802725	0.800967606	0.62724	0.9507125
cg07178278	16	73266047	0.165516667	0.2747975	0.920464789	0.35904	0.966325
cg07179981	7	922051	0.36445	0.804195	0.804061972	0.85184	0.9146875
cg07181257	1	27876033	0.228933333	0.6675775	0.833994366	0.68636	0.9381875
cg07189366	6	148634858	0.1733	0.3688275	0.810140845	0.50478	0.9378875
cg07194798	6	35528127	0.395283333	0.8249675	0.851019718	0.87686	0.9065
cg07196462	2	391060	0.413733333	0.8080475	0.839669014	0.85838	0.96285
cg07199834	14	106095491	0.481216667	0.87133	0.908267606	0.88052	0.92125
cg07209034	16	72459825	0.156733333	0.1635775	0.940040845	0.24224	0.9643
cg07209987	1	10221203	0.1485	0.3014675	0.885692958	0.46286	0.9673875
cg07222022	2	60525609	0.397566667	0.5030025	0.80433662	0.66492	0.9469125
cg07224918	1	17944423	0.374733333	0.72384	0.812077465	0.68926	0.94025
cg07225255	15	44086625	0.219766667	0.6509125	0.801626761	0.7101	0.9024125
cg07230792	6	43457174	0.35025	0.281035	0.810629577	0.33316	0.939425
cg07246187	12	58217366	0.314783333	0.734635	0.842985915	0.7664	0.916525
cg07246713	20	62722933	0.476516667	0.7998975	0.897838028	0.70716	0.9695875
cg07246946	16	88290859	0.484733333	0.6886375	0.877908451	0.69902	0.9029875
cg07249433	10	134420183	0.2834	0.328705	0.837170423	0.42472	0.9672125
cg07250771	12	70289007	0.452566667	0.8482375	0.873808451	0.87616	0.96225
cg07255889	17	32366609	0.397	0.79642	0.859907042	0.81946	0.9134375
cg07259165	6	113639635	0.188066667	0.2705025	0.859602817	0.404	0.9473125
cg07264904	13	113633855	0.379983333	0.746845	0.862233803	0.68456	0.9240125
cg07266412	7	101723521	0.119016667	0.253605	0.864743662	0.3091	0.9524125
cg07267550	17	74536269	0.405866667	0.83217	0.816561972	0.85956	0.9567375
cg07267674	5	1049712	0.406933333	0.49737	0.808998592	0.56718	0.9145875
cg07276007	11	969000	0.46165	0.8462725	0.92745493	0.8709	0.9533875
cg07277756	18	10589357	0.392316667	0.8497725	0.918167606	0.90116	0.912
cg07279162	10	50732496	0.357466667	0.5701375	0.856674648	0.5781	0.9487375
cg07285641	13	52345302	0.307216667	0.7694725	0.874619718	0.797	0.94385
cg07286253	5	111496047	0.1832	0.6475875	0.842798592	0.6873	0.9200375
cg07290310	3	125741734	0.295166667	0.712475	0.866914085	0.73764	0.9486125
cg07291601	11	2922807	0.17355	0.7946225	0.916132394	0.90338	0.9691375
cg07296855	13	114294418	0.2537	0.7473325	0.893967606	0.7396	0.9289125
cg07299736	8	135490787	0.368083333	0.8476475	0.861076056	0.8652	0.96545
cg07304551	16	85618571	0.228633333	0.67263	0.930733803	0.71542	0.9572375
cg07305719	10	64133406	0.30435	0.278315	0.833350704	0.32808	0.9123375
cg07305859	22	49042372	0.16285	0.7723175	0.847404225	0.8169	0.9452125
cg07310946	1	61505852	0.44625	0.7854	0.84573662	0.78238	0.923525
cg07319217	5	71534698	0.246233333	0.81829	0.933314085	0.88	0.959925
cg07338205	2	169757780	0.232433333	0.3923225	0.81751831	0.54448	0.94165
cg07338584	8	36757631	0.464033333	0.78194	0.833311268	0.78942	0.9262
cg07344990	16	625906	0.44515	0.8370875	0.975408451	0.80666	0.97855
cg07347049	13	113627866	0.167316667	0.7670275	0.898343662	0.80864	0.9568875
cg07351675	7	1578263	0.36455	0.7516925	0.867604225	0.66548	0.9667
cg07355507	6	16804166	0.156633333	0.2180275	0.813052113	0.33942	0.913775
cg07357716	15	31764211	0.3147	0.56639	0.846970423	0.58492	0.9639
cg07363657	1	61333617	0.207383333	0.3198375	0.863622535	0.37468	0.93965
cg07363977	11	976167	0.4267	0.81335	0.887523944	0.82972	0.9259625
cg07364009	16	48381505	0.382816667	0.8063425	0.888219718	0.74346	0.9097875
cg07366553	22	50644468	0.43695	0.76519	0.862661972	0.84372	0.92875
cg07373212	3	126577851	0.301716667	0.7191025	0.873905634	0.6573	0.9381375
cg07375207	16	717419	0.2002	0.75643	0.80791831	0.82482	0.92625
cg07375700	1	2013507	0.221816667	0.570135	0.879625352	0.53264	0.94575
cg07391690	7	149575067	0.1627	0.7343925	0.889629577	0.74324	0.9214125
cg07404106	13	114047697	0.260433333	0.6570175	0.875880282	0.68488	0.9353875
cg07429629	14	101495604	0.2738	0.768815	0.870508451	0.79574	0.9476
cg07431888	16	8813274	0.1312	0.2504825	0.809256338	0.3969	0.9352
cg07433499	12	133351687	0.46495	0.532585	0.914977465	0.48712	0.919775
cg07438238	8	22078982	0.3147	0.65924	0.853267606	0.78006	0.924675
cg07442105	16	66962501	0.2974	0.8365925	0.896157746	0.87772	0.949175
cg07443074	13	113698946	0.203933333	0.2827275	0.821460563	0.31706	0.92765
cg07444414	6	32117377	0.237666667	0.7461475	0.824901408	0.73984	0.9084875
cg07450849	4	80334832	0.203016667	0.4477525	0.839116901	0.46116	0.9200625
cg07454113	8	125498222	0.262333333	0.61934	0.847107042	0.69026	0.918525
cg07462512	12	130961759	0.200633333	0.7429275	0.861605634	0.8167	0.96125
cg07462954	4	2733734	0.31235	0.67325	0.876409859	0.60166	0.9454875
cg07464248	13	114204079	0.212033333	0.7230425	0.887952113	0.78004	0.9457
cg07468585	2	56192635	0.3442	0.618925	0.800661972	0.67714	0.90605
cg07472191	8	145773003	0.257516667	0.829885	0.959804225	0.89448	0.9597
cg07473634	13	113647389	0.34665	0.807915	0.899874648	0.7905	0.9161875
cg07474296	6	37676060	0.375683333	0.7894225	0.820190141	0.81278	0.910525
cg07477924	16	29857230	0.305283333	0.7628925	0.845316901	0.81124	0.936425
cg07478240	16	87174203	0.150566667	0.84171	0.969615493	0.93408	0.9621125
cg07479906	15	101102385	0.319633333	0.7273075	0.868947887	0.68858	0.944625
cg07483266	16	88952491	0.248433333	0.7453225	0.800043662	0.77682	0.9212125
cg07484191	6	104920530	0.4789	0.6706475	0.847226761	0.68564	0.9495125
cg07484220	16	136809	0.1925	0.7193	0.885178873	0.64574	0.95905
cg07487751	6	157982145	0.388866667	0.825865	0.891577465	0.8844	0.9415875
cg07491702	15	43030817	0.277716667	0.834945	0.902973239	0.908	0.9504125
cg07493232	14	91110426	0.218783333	0.78841	0.919753521	0.8615	0.9707625
cg07493324	22	26857165	0.282783333	0.7747975	0.905135211	0.77488	0.9403
cg07496962	6	34554635	0.33465	0.832905	0.936695775	0.89462	0.969025
cg07501462	6	31673880	0.248283333	0.73931	0.88243662	0.81134	0.94815
cg07502782	14	104152058	0.248866667	0.74291	0.89014507	0.72564	0.9226125
cg07503593	16	11001032	0.440866667	0.561655	0.876197183	0.62748	0.9555375
cg07505680	8	1933651	0.221083333	0.7343725	0.860874648	0.80774	0.95405
cg07505964	17	57229514	0.449183333	0.599005	0.836335211	0.6302	0.9113875
