							als1	als2						
chr2	152590321	152590397		chr2	152590326	152590327	100	87.5	100	100	100	87.5	100	100
chr2	152590321	152590397		chr2	152590327	152590328	83.33333333	100	94.44444444	100	90	100	100	100
chr2	152590321	152590397		chr2	152590355	152590356	66.66666667	0	0	0	91.66666667	0	100	0
chr2	152590321	152590397		chr2	152590356	152590357	NA	0	0	0	37.5	0	83.33333333	0
chr2	152590321	152590397		chr2	152590392	152590393	100	100	100	100	100	100	100	85.71428571
chr2	152590321	152590397		chr2	152590393	152590394	NA	100	83.33333333	100	85.71428571	83.33333333	100	NA
chr2	152590661	152590737		.	-1	-1	.	.	.	.	.	.	.	.
chr2	158666001	158666077		.	-1	-1	.	.	.	.	.	.	.	.
chr2	161335862	161335938		.	-1	-1	.	.	.	.	.	.	.	.
chr2	170366886	170366962		.	-1	-1	.	.	.	.	.	.	.	.
chr2	174454245	174454321		chr2	174454249	174454250	NA	NA	NA	91.66666667	NA	NA	NA	NA
chr2	174454245	174454321		chr2	174454250	174454251	NA	100	88.88888889	NA	100	100	100	NA
chr2	174454245	174454321		chr2	174454261	174454262	NA	NA	NA	100	NA	NA	NA	NA
chr2	174454245	174454321		chr2	174454262	174454263	NA	90.90909091	NA	NA	100	100	100	NA
chr2	179664144	179664220		.	-1	-1	.	.	.	.	.	.	.	.
chr2	179672616	179672692		chr2	179672633	179672634	NA	83.33333333	42.85714286	88.23529412	60	90	88.23529412	100
chr2	179672616	179672692		chr2	179672634	179672635	NA	92.30769231	55.55555556	NA	66.66666667	100	80	100
chr2	183780205	183780281		.	-1	-1	.	.	.	.	.	.	.	.
chr2	187474357	187474433		chr2	187474361	187474362	91.66666667	91.66666667	83.33333333	81.81818182	92.85714286	85.71428571	100	NA
chr2	187474357	187474433		chr2	187474362	187474363	77.77777778	100	100	NA	NA	100	100	NA
chr2	201342507	201342583		chr2	201342528	201342529	NA	NA	NA	100	NA	NA	100	NA
chr2	201342507	201342583		chr2	201342529	201342530	100	100	100	66.66666667	100	100	100	NA
chr2	202916058	202916134		chr2	202916125	202916126	NA	100	100	83.33333333	88.88888889	100	84.61538462	NA
chr2	202916058	202916134		chr2	202916126	202916127	NA	100	91.66666667	100	100	100	NA	90
chr2	211168472	211168548		chr2	211168500	211168501	NA	NA	71.42857143	NA	75	77.77777778	58.33333333	NA
chr2	211168472	211168548		chr2	211168501	211168502	NA	88.88888889	NA	NA	NA	83.33333333	NA	NA
chr2	217674994	217675070		.	-1	-1	.	.	.	.	.	.	.	.
chr2	219442207	219442283		chr2	219442247	219442248	NA	NA	NA	0	NA	NA	NA	NA
chr2	219442207	219442283		chr2	219442251	219442252	NA	NA	NA	0	NA	NA	NA	NA
chr2	219485871	219485947		chr2	219485872	219485873	NA	NA	88.88888889	NA	NA	81.25	NA	83.33333333
chr2	219485871	219485947		chr2	219485873	219485874	90	NA	66.66666667	100	NA	NA	57.14285714	NA
chr2	220280239	220280315		chr2	220280282	220280283	NA	100	75	90	100	77.77777778	100	66.66666667
chr2	220280239	220280315		chr2	220280283	220280284	NA	93.33333333	62.5	NA	90	78.57142857	66.66666667	54.54545455
chr2	220317297	220317373		.	-1	-1	.	.	.	.	.	.	.	.
chr2	224441689	224441765		chr2	224441712	224441713	90.90909091	100	100	75	NA	100	0	NA
chr2	224441689	224441765		chr2	224441713	224441714	NA	NA	100	100	NA	NA	NA	NA
chr2	224873836	224873912		.	-1	-1	.	.	.	.	.	.	.	.
chr2	225183576	225183652		.	-1	-1	.	.	.	.	.	.	.	.
chr2	227625134	227625210		.	-1	-1	.	.	.	.	.	.	.	.
chr2	232283625	232283701		.	-1	-1	.	.	.	.	.	.	.	.
chr2	234338013	234338089		chr2	234338062	234338063	100	83.33333333	81.81818182	90	83.33333333	91.66666667	100	100
chr2	234338013	234338089		chr2	234338063	234338064	71.42857143	85.71428571	62.5	75	90	77.77777778	66.66666667	NA
chr2	234764058	234764134		.	-1	-1	.	.	.	.	.	.	.	.
chr2	236415989	236416065		chr2	236416060	236416061	44.44444444	NA	30	33.33333333	42.85714286	NA	NA	NA
chr2	236415989	236416065		chr2	236416061	236416062	NA	NA	NA	NA	NA	NA	50	NA
chr2	236877386	236877462		chr2	236877415	236877416	NA	100	100	NA	100	100	100	100
chr2	236877386	236877462		chr2	236877416	236877417	NA	100	100	100	81.81818182	100	100	NA
chr2	236877386	236877462		chr2	236877426	236877427	NA	100	85.71428571	100	100	88.88888889	100	50
chr2	236877386	236877462		chr2	236877427	236877428	NA	100	100	100	100	90	100	NA
chr2	236877417	236877493		chr2	236877426	236877427	NA	100	85.71428571	100	100	88.88888889	100	50
chr2	236877417	236877493		chr2	236877427	236877428	NA	100	100	100	100	90	100	NA
chr2	236877417	236877493		chr2	236877464	236877465	NA	90.47619048	85.71428571	76.92307692	100	92.85714286	71.42857143	100
chr2	236877417	236877493		chr2	236877465	236877466	NA	92.85714286	100	100	100	100	90.90909091	NA
chr2	236877417	236877493		chr2	236877492	236877493	NA	95	87.5	93.33333333	100	100	100	91.66666667
chr2	237150228	237150304		.	-1	-1	.	.	.	.	.	.	.	.
chr2	238187080	238187156		chr2	238187109	238187110	100	100	96.15384615	NA	92.30769231	100	100	100
chr2	238187080	238187156		chr2	238187110	238187111	NA	85.71428571	NA	100	NA	85.71428571	NA	NA
chr2	238187080	238187156		chr2	238187150	238187151	NA	90	88.88888889	100	100	100	100	85.71428571
chr2	238187080	238187156		chr2	238187151	238187152	NA	NA	NA	100	NA	100	NA	NA
chr2	239064217	239064293		.	-1	-1	.	.	.	.	.	.	.	.
chr2	240224210	240224286		chr2	240224252	240224253	83.33333333	69.23076923	64.28571429	54.54545455	NA	50	20	NA
chr2	240224210	240224286		chr2	240224253	240224254	NA	87.5	100	46.66666667	33.33333333	54.54545455	71.42857143	NA
chr2	240224210	240224286		chr2	240224279	240224280	83.33333333	83.33333333	80	50	NA	NA	14.28571429	NA
chr2	240224210	240224286		chr2	240224280	240224281	NA	85.71428571	83.33333333	50	100	100	NA	NA
chr2	240228114	240228190		chr2	240228130	240228131	NA	87.5	NA	NA	NA	100	NA	NA
chr2	240228114	240228190		chr2	240228131	240228132	NA	100	NA	NA	100	100	NA	NA
chr2	242445829	242445905		.	-1	-1	.	.	.	.	.	.	.	.
chr3	8631722	8631798		chr3	8631755	8631756	88.88888889	73.33333333	50	100	64.28571429	91.66666667	60	NA
chr3	8631722	8631798		chr3	8631756	8631757	NA	NA	83.33333333	87.5	NA	NA	NA	NA
chr3	8631722	8631798		chr3	8631774	8631775	55.55555556	46.15384615	69.23076923	88.88888889	50	50	NA	NA
chr3	8631722	8631798		chr3	8631775	8631776	66.66666667	NA	57.14285714	42.85714286	NA	NA	NA	NA
chr3	8631722	8631798		chr3	8631780	8631781	66.66666667	58.33333333	61.53846154	77.77777778	50	37.5	NA	NA
chr3	8631722	8631798		chr3	8631781	8631782	50	NA	75	57.14285714	NA	NA	NA	NA
chr3	10332514	10332590		chr3	10332550	10332551	71.42857143	84.61538462	88.23529412	75	NA	84.61538462	100	NA
chr3	10332514	10332590		chr3	10332551	10332552	NA	NA	NA	NA	NA	NA	100	NA
chr3	12735543	12735619		chr3	12735600	12735601	NA	100	NA	NA	NA	83.33333333	83.33333333	NA
chr3	12735543	12735619		chr3	12735601	12735602	NA	100	NA	100	NA	NA	NA	NA
chr3	12735543	12735619		chr3	12735611	12735612	100	100	NA	NA	100	100	100	NA
chr3	12735543	12735619		chr3	12735612	12735613	NA	100	NA	100	NA	NA	NA	NA
chr3	12858474	12858550		.	-1	-1	.	.	.	.	.	.	.	.
chr3	13517822	13517898		.	-1	-1	.	.	.	.	.	.	.	.
chr3	14582826	14582902		.	-1	-1	.	.	.	.	.	.	.	.
chr3	15537243	15537319		.	-1	-1	.	.	.	.	.	.	.	.
chr3	20223848	20223924		.	-1	-1	.	.	.	.	.	.	.	.
chr3	33466180	33466256		chr3	33466253	33466254	NA	90.90909091	100	100	NA	85.71428571	100	100
chr3	33466180	33466256		chr3	33466254	33466255	NA	100	NA	100	100	NA	88.88888889	NA
chr3	37038516	37038592		.	-1	-1	.	.	.	.	.	.	.	.
chr3	41360205	41360281		chr3	41360209	41360210	85.71428571	100	92.30769231	100	100	100	100	NA
chr3	41360205	41360281		chr3	41360210	41360211	100	92.30769231	100	100	95.65217391	100	93.75	100
chr3	42726895	42726971		.	-1	-1	.	.	.	.	.	.	.	.
chr3	43405475	43405551		.	-1	-1	.	.	.	.	.	.	.	.
chr3	43795466	43795542		.	-1	-1	.	.	.	.	.	.	.	.
chr3	45646352	45646428		.	-1	-1	.	.	.	.	.	.	.	.
chr3	45647066	45647142		.	-1	-1	.	.	.	.	.	.	.	.
chr3	46605541	46605617		.	-1	-1	.	.	.	.	.	.	.	.
chr3	47952536	47952612		.	-1	-1	.	.	.	.	.	.	.	.
chr3	51812727	51812803		.	-1	-1	.	.	.	.	.	.	.	.
chr3	52870468	52870544		chr3	52870503	52870504	NA	100	81.81818182	NA	85.71428571	75	75	NA
chr3	61859060	61859136		.	-1	-1	.	.	.	.	.	.	.	.
chr3	65550308	65550384		.	-1	-1	.	.	.	.	.	.	.	.
chr3	66463656	66463732		chr3	66463723	66463724	92.30769231	87.5	100	85.71428571	100	77.77777778	90	75
chr3	66463656	66463732		chr3	66463724	66463725	88.88888889	86.95652174	90	88.88888889	76.47058824	88.88888889	87.5	NA
chr3	67559974	67560050		.	-1	-1	.	.	.	.	.	.	.	.
chr3	69171747	69171823		chr3	69171776	69171777	NA	88.88888889	90	100	100	87.5	100	NA
chr3	69171747	69171823		chr3	69171777	69171778	NA	100	86.66666667	85.71428571	100	81.81818182	91.66666667	85.71428571
chr3	69171747	69171823		chr3	69171788	69171789	NA	100	100	100	100	93.75	100	NA
chr3	69171747	69171823		chr3	69171789	69171790	71.42857143	88.88888889	100	100	100	100	100	100
chr3	69172128	69172204		.	-1	-1	.	.	.	.	.	.	.	.
chr3	81533895	81533971		.	-1	-1	.	.	.	.	.	.	.	.
chr3	99629762	99629838		.	-1	-1	.	.	.	.	.	.	.	.
chr3	99817497	99817573		chr3	99817517	99817518	NA	0	0	0	0	0	0	NA
chr3	99817497	99817573		chr3	99817518	99817519	NA	0	0	0	0	0	0	0
chr3	99817497	99817573		chr3	99817525	99817526	NA	0	0	0	0	0	NA	NA
chr3	99817497	99817573		chr3	99817526	99817527	NA	0	0	0	0	0	0	0
chr3	99817497	99817573		chr3	99817535	99817536	NA	0	0	11.11111111	0	0	NA	NA
chr3	99817497	99817573		chr3	99817536	99817537	NA	0	0	0	0	0	0	0
chr3	99817497	99817573		chr3	99817557	99817558	NA	0	9.090909091	0	0	0	NA	NA
chr3	99817497	99817573		chr3	99817558	99817559	NA	0	0	0	0	0	0	0
chr3	99817497	99817573		chr3	99817562	99817563	NA	0	0	0	0	16.66666667	NA	NA
chr3	99817497	99817573		chr3	99817563	99817564	NA	0	NA	0	0	0	NA	0
chr3	101502173	101502249		chr3	101502196	101502197	100	100	93.75	90	93.33333333	90	91.66666667	100
chr3	101502173	101502249		chr3	101502197	101502198	NA	100	100	87.5	100	90.90909091	93.75	NA
chr3	101502173	101502249		chr3	101502240	101502241	100	93.33333333	92.85714286	91.66666667	100	100	100	100
chr3	101502173	101502249		chr3	101502241	101502242	NA	100	100	100	85.71428571	87.5	100	NA
chr3	101808798	101808874		.	-1	-1	.	.	.	.	.	.	.	.
chr3	104555950	104556026		chr3	104555999	104556000	NA	81.81818182	63.63636364	88.88888889	63.63636364	66.66666667	77.77777778	NA
chr3	104555950	104556026		chr3	104556000	104556001	100	100	62.5	75	100	90	77.77777778	66.66666667
chr3	107871053	107871129		chr3	107871085	107871086	92.85714286	94.11764706	87.5	70	83.33333333	100	82.35294118	85.71428571
chr3	107871053	107871129		chr3	107871086	107871087	NA	100	90	85.71428571	NA	90.90909091	87.5	NA
chr3	109071984	109072060		.	-1	-1	.	.	.	.	.	.	.	.
chr3	119379145	119379221		chr3	119379188	119379189	100	92.85714286	100	90.90909091	66.66666667	83.33333333	90.90909091	NA
chr3	119379145	119379221		chr3	119379189	119379190	100	100	NA	90	100	85.71428571	66.66666667	NA
chr3	119379339	119379415		.	-1	-1	.	.	.	.	.	.	.	.
chr3	124798295	124798371		chr3	124798302	124798303	100	100	83.33333333	100	NA	83.33333333	83.33333333	NA
chr3	124798295	124798371		chr3	124798303	124798304	100	100	100	NA	85.71428571	87.5	100	85.71428571
chr3	124798295	124798371		chr3	124798342	124798343	100	100	100	100	100	100	100	NA
chr3	124798295	124798371		chr3	124798343	124798344	100	100	84.61538462	88.88888889	100	100	100	66.66666667
chr3	125567183	125567259		.	-1	-1	.	.	.	.	.	.	.	.
chr3	130463554	130463630		.	-1	-1	.	.	.	.	.	.	.	.
chr3	140805492	140805568		.	-1	-1	.	.	.	.	.	.	.	.
chr3	141150934	141151010		.	-1	-1	.	.	.	.	.	.	.	.
chr3	148712584	148712660		.	-1	-1	.	.	.	.	.	.	.	.
chr3	152066530	152066606		.	-1	-1	.	.	.	.	.	.	.	.
chr3	170894057	170894133		.	-1	-1	.	.	.	.	.	.	.	.
chr3	175338833	175338909		chr3	175338863	175338864	80	70	76.92307692	62.5	93.33333333	90.90909091	100	NA
chr3	176745415	176745491		.	-1	-1	.	.	.	.	.	.	.	.
chr3	187941924	187942000		chr3	187941997	187941998	80	88.88888889	100	75	85.71428571	78.57142857	100	100
chr3	187941924	187942000		chr3	187941998	187941999	NA	100	100	77.77777778	100	100	81.81818182	83.33333333
chr3	188272180	188272256		chr3	188272192	188272193	NA	100	100	87.5	93.75	92.30769231	93.75	100
chr3	188272180	188272256		chr3	188272193	188272194	100	91.66666667	100	90.90909091	84.61538462	100	92.85714286	100
chr3	195615551	195615627		chr3	195615566	195615567	NA	78.57142857	90.90909091	100	100	86.66666667	75	NA
chr3	195615551	195615627		chr3	195615567	195615568	100	90.90909091	91.66666667	100	100	NA	87.5	NA
chr3	195615551	195615627		chr3	195615587	195615588	NA	94.11764706	100	100	100	100	100	NA
chr3	195615551	195615627		chr3	195615588	195615589	100	100	100	100	100	NA	88.88888889	NA
chr3	195615651	195615727		chr3	195615675	195615676	88.88888889	88.23529412	93.75	77.77777778	100	100	77.77777778	71.42857143
chr3	195615651	195615727		chr3	195615676	195615677	100	92.30769231	90	92.85714286	90.90909091	100	100	100
chr3	195615651	195615727		chr3	195615687	195615688	NA	100	87.5	100	100	75	85.71428571	NA
chr3	195615651	195615727		chr3	195615688	195615689	100	90.90909091	100	81.81818182	87.5	100	83.33333333	100
chr3	195615651	195615727		chr3	195615700	195615701	NA	84.61538462	92.85714286	NA	100	NA	75	85.71428571
chr3	195615651	195615727		chr3	195615701	195615702	100	100	85.71428571	100	NA	100	100	100
chr3	197584212	197584288		.	-1	-1	.	.	.	.	.	.	.	.
chr4	1191978	1192054		.	-1	-1	.	.	.	.	.	.	.	.
chr4	1202578	1202654		chr4	1202599	1202600	NA	NA	NA	33.33333333	NA	NA	NA	NA
chr4	1202578	1202654		chr4	1202600	1202601	NA	62.5	NA	50	NA	50	28.57142857	NA
chr4	1202578	1202654		chr4	1202616	1202617	NA	NA	NA	80	NA	NA	100	NA
chr4	1202578	1202654		chr4	1202617	1202618	NA	75	NA	75	NA	85.71428571	NA	NA
chr4	1202578	1202654		chr4	1202639	1202640	NA	NA	NA	90.90909091	NA	NA	83.33333333	NA
chr4	1202578	1202654		chr4	1202640	1202641	NA	75	NA	NA	NA	NA	NA	NA
chr4	1202926	1203002		chr4	1202936	1202937	NA	NA	NA	70	NA	NA	NA	NA
chr4	1202926	1203002		chr4	1202966	1202967	NA	NA	NA	NA	NA	100	NA	NA
chr4	1202926	1203002		chr4	1202967	1202968	NA	100	NA	100	NA	NA	NA	NA
chr4	1495695	1495771		.	-1	-1	.	.	.	.	.	.	.	.
chr4	1646042	1646118		.	-1	-1	.	.	.	.	.	.	.	.
chr4	8154133	8154209		.	-1	-1	.	.	.	.	.	.	.	.
chr4	8154330	8154406		chr4	8154345	8154346	90	82.35294118	90.90909091	88.88888889	100	71.42857143	90	NA
chr4	8154330	8154406		chr4	8154384	8154385	NA	NA	NA	100	NA	NA	NA	NA
chr4	8154330	8154406		chr4	8154385	8154386	NA	100	100	81.81818182	90	100	100	NA
chr4	10086408	10086484		chr4	10086415	10086416	NA	NA	NA	100	NA	NA	NA	NA
chr4	10086408	10086484		chr4	10086416	10086417	NA	NA	100	100	100	100	NA	NA
chr4	10086408	10086484		chr4	10086433	10086434	NA	NA	NA	100	NA	NA	NA	NA
chr4	10086408	10086484		chr4	10086434	10086435	NA	NA	100	100	NA	100	NA	NA
chr4	10086408	10086484		chr4	10086451	10086452	NA	83.33333333	NA	100	NA	NA	100	NA
chr4	10086408	10086484		chr4	10086452	10086453	NA	NA	100	100	NA	85.71428571	NA	NA
chr4	10086408	10086484		chr4	10086471	10086472	NA	NA	NA	75	NA	NA	100	NA
chr4	10086408	10086484		chr4	10086472	10086473	NA	NA	100	NA	NA	100	NA	NA
chr4	10086408	10086484		chr4	10086477	10086478	NA	NA	NA	85.71428571	NA	NA	100	NA
chr4	10086408	10086484		chr4	10086478	10086479	NA	NA	NA	100	NA	100	NA	NA
chr4	10110088	10110164		chr4	10110150	10110151	NA	NA	NA	NA	100	NA	NA	NA
chr4	15375791	15375867		.	-1	-1	.	.	.	.	.	.	.	.
chr4	15376041	15376117		.	-1	-1	.	.	.	.	.	.	.	.
chr4	15376054	15376130		.	-1	-1	.	.	.	.	.	.	.	.
chr4	15376060	15376136		.	-1	-1	.	.	.	.	.	.	.	.
chr4	15376095	15376171		.	-1	-1	.	.	.	.	.	.	.	.
chr4	15376105	15376181		.	-1	-1	.	.	.	.	.	.	.	.
chr4	24745643	24745719		.	-1	-1	.	.	.	.	.	.	.	.
chr4	25097811	25097887		chr4	25097842	25097843	100	100	100	88.88888889	100	100	100	NA
chr4	25097811	25097887		chr4	25097858	25097859	100	100	100	90	92.30769231	88.88888889	92.30769231	NA
chr4	25097811	25097887		chr4	25097873	25097874	100	100	100	91.66666667	93.75	100	100	NA
chr4	25097811	25097887		chr4	25097875	25097876	100	100	100	83.33333333	75	87.5	93.33333333	NA
chr4	25097984	25098060		chr4	25098048	25098049	100	NA	85.71428571	100	NA	92.30769231	100	NA
chr4	25097984	25098060		chr4	25098049	25098050	NA	90.90909091	NA	100	100	100	100	NA
chr4	53690549	53690625		.	-1	-1	.	.	.	.	.	.	.	.
chr4	53906355	53906431		chr4	53906430	53906431	NA	0	0	NA	NA	0	0	0
chr4	76621969	76622045		chr4	76621987	76621988	NA	83.33333333	NA	75	NA	NA	100	NA
chr4	76621969	76622045		chr4	76621988	76621989	NA	94.44444444	100	87.5	100	88.23529412	66.66666667	100
chr4	76621969	76622045		chr4	76622019	76622020	NA	85.71428571	NA	88.88888889	NA	NA	100	NA
chr4	76621969	76622045		chr4	76622020	76622021	NA	89.47368421	93.75	NA	77.77777778	86.66666667	75	85.71428571
chr4	76995419	76995495		.	-1	-1	.	.	.	.	.	.	.	.
chr4	80836477	80836553		.	-1	-1	.	.	.	.	.	.	.	.
chr4	87974017	87974093		.	-1	-1	.	.	.	.	.	.	.	.
chr4	88570499	88570575		.	-1	-1	.	.	.	.	.	.	.	.
chr4	88570512	88570588		.	-1	-1	.	.	.	.	.	.	.	.
chr4	88570563	88570639		.	-1	-1	.	.	.	.	.	.	.	.
chr4	95457331	95457407		.	-1	-1	.	.	.	.	.	.	.	.
chr4	95460696	95460772		.	-1	-1	.	.	.	.	.	.	.	.
chr4	100571547	100571623		.	-1	-1	.	.	.	.	.	.	.	.
chr4	100573461	100573537		.	-1	-1	.	.	.	.	.	.	.	.
chr4	100574380	100574456		.	-1	-1	.	.	.	.	.	.	.	.
chr4	100574521	100574597		.	-1	-1	.	.	.	.	.	.	.	.
chr4	100574578	100574654		chr4	100574631	100574632	46.15384615	93.75	76.92307692	92.85714286	54.54545455	80	88.88888889	85.71428571
chr4	100574578	100574654		chr4	100574632	100574633	100	100	71.42857143	87.5	100	91.66666667	100	77.77777778
chr4	106155241	106155317		.	-1	-1	.	.	.	.	.	.	.	.
chr4	119948467	119948543		.	-1	-1	.	.	.	.	.	.	.	.
chr4	119956105	119956181		.	-1	-1	.	.	.	.	.	.	.	.
chr4	129767513	129767589		chr4	129767549	129767550	62.5	90.90909091	92.30769231	76.92307692	90.90909091	66.66666667	76.47058824	NA
chr4	129767513	129767589		chr4	129767550	129767551	66.66666667	73.33333333	92.85714286	90.90909091	83.33333333	76.92307692	90	NA
chr4	139766331	139766407		chr4	139766360	139766361	NA	NA	100	NA	NA	NA	NA	NA
chr4	139766331	139766407		chr4	139766361	139766362	NA	100	90	93.75	NA	90.90909091	100	NA
chr4	146097357	146097433		chr4	146097388	146097389	NA	100	100	90	100	100	88.88888889	85.71428571
chr4	146097357	146097433		chr4	146097389	146097390	NA	100	88.88888889	83.33333333	NA	83.33333333	75	85.71428571
chr4	146104420	146104496		.	-1	-1	.	.	.	.	.	.	.	.
chr4	148947361	148947437		chr4	148947385	148947386	75	60	63.63636364	45.45454545	71.42857143	75	36.36363636	75
chr4	148947361	148947437		chr4	148947386	148947387	83.33333333	85.71428571	85.71428571	87.5	66.66666667	77.77777778	90	62.5
chr4	148947361	148947437		chr4	148947423	148947424	83.33333333	81.81818182	87.5	87.5	92.85714286	100	90	66.66666667
chr4	148947361	148947437		chr4	148947424	148947425	100	100	75	100	87.5	71.42857143	100	90
chr4	152332861	152332937		.	-1	-1	.	.	.	.	.	.	.	.
chr4	152592013	152592089		chr4	152592024	152592025	85.71428571	75	73.33333333	75	100	72.72727273	93.33333333	88.88888889
chr4	152592013	152592089		chr4	152592025	152592026	77.77777778	84.61538462	76.92307692	71.42857143	80	66.66666667	80	NA
chr4	152592013	152592089		chr4	152592078	152592079	NA	100	81.81818182	100	83.33333333	100	91.66666667	50
chr4	152592013	152592089		chr4	152592079	152592080	100	83.33333333	100	NA	88.88888889	100	100	NA
chr4	152592013	152592089		chr4	152592087	152592088	NA	100	100	85.71428571	90	100	75	100
chr4	152592013	152592089		chr4	152592088	152592089	100	90	100	100	100	100	100	100
chr4	154475491	154475567		chr4	154475491	154475492	100	85.71428571	80	87.5	83.33333333	71.42857143	87.5	NA
chr4	154475491	154475567		chr4	154475540	154475541	100	100	100	100	85.71428571	82.35294118	NA	75
chr4	154475491	154475567		chr4	154475541	154475542	83.33333333	77.77777778	100	80	90	100	71.42857143	85.71428571
chr4	165881349	165881425		chr4	165881374	165881375	80	70	NA	75	NA	NA	NA	NA
chr4	165881349	165881425		chr4	165881375	165881376	100	76.92307692	100	84.61538462	100	87.5	94.11764706	NA
chr4	169717606	169717682		.	-1	-1	.	.	.	.	.	.	.	.
chr4	177190246	177190322		.	-1	-1	.	.	.	.	.	.	.	.
chr4	177190250	177190326		.	-1	-1	.	.	.	.	.	.	.	.
chr4	177190346	177190422		.	-1	-1	.	.	.	.	.	.	.	.
chr4	177191461	177191537		chr4	177191479	177191480	92.85714286	87.5	77.77777778	82.35294118	85.71428571	84.21052632	68.75	83.33333333
chr4	184941320	184941396		.	-1	-1	.	.	.	.	.	.	.	.
chr4	185677474	185677550		.	-1	-1	.	.	.	.	.	.	.	.
chr4	185724762	185724838		chr4	185724762	185724763	NA	NA	100	NA	NA	NA	NA	NA
chr4	185724762	185724838		chr4	185724763	185724764	80	90.90909091	100	100	100	100	100	NA
chr4	186063035	186063111		chr4	186063078	186063079	85.71428571	92.30769231	100	80	75	92.30769231	100	85.71428571
chr4	186063035	186063111		chr4	186063079	186063080	87.5	93.75	85.71428571	90	88.88888889	87.5	81.81818182	NA
chr4	186425622	186425698		.	-1	-1	.	.	.	.	.	.	.	.
chr4	186425646	186425722		.	-1	-1	.	.	.	.	.	.	.	.
chr4	186435542	186435618		chr4	186435548	186435549	NA	70	NA	NA	NA	NA	NA	NA
chr4	186435592	186435668		chr4	186435651	186435652	NA	83.33333333	NA	NA	NA	57.14285714	NA	NA
chr4	186435592	186435668		chr4	186435665	186435666	NA	37.5	NA	NA	NA	14.28571429	NA	NA
chr4	187621210	187621286		chr4	187621246	187621247	46.15384615	57.14285714	63.63636364	50	62.5	45.45454545	55.55555556	42.85714286
chr4	187621210	187621286		chr4	187621247	187621248	44.44444444	72.72727273	42.85714286	54.54545455	55.55555556	60	57.14285714	NA
chr5	154986	155062		chr5	154986	154987	NA	NA	83.33333333	NA	NA	100	NA	NA
chr5	154986	155062		chr5	154987	154988	NA	100	86.66666667	100	88.88888889	82.35294118	100	NA
chr5	154986	155062		chr5	155021	155022	NA	NA	83.33333333	88.88888889	NA	80	NA	NA
chr5	154986	155062		chr5	155022	155023	NA	100	94.44444444	100	100	84.61538462	44.44444444	NA
chr5	194532	194608		chr5	194583	194584	NA	100	100	92.85714286	100	83.33333333	100	NA
chr5	194532	194608		chr5	194584	194585	100	72.72727273	100	100	92.30769231	100	86.36363636	NA
chr5	194532	194608		chr5	194594	194595	NA	100	100	100	100	100	87.5	NA
chr5	194532	194608		chr5	194595	194596	100	75	90.90909091	90.90909091	92.30769231	88.88888889	70	NA
chr5	956446	956522		chr5	956462	956463	NA	NA	83.33333333	NA	NA	NA	NA	NA
chr5	956446	956522		chr5	956494	956495	NA	NA	85.71428571	83.33333333	NA	NA	NA	NA
chr5	1120946	1121022		.	-1	-1	.	.	.	.	.	.	.	.
chr5	1855859	1855935		chr5	1855872	1855873	NA	83.33333333	NA	NA	NA	100	100	NA
chr5	1855859	1855935		chr5	1855873	1855874	NA	100	93.75	100	100	NA	100	NA
chr5	1855859	1855935		chr5	1855877	1855878	NA	NA	NA	NA	NA	100	100	NA
chr5	1855859	1855935		chr5	1855878	1855879	NA	100	93.75	91.66666667	87.5	NA	100	NA
chr5	1855859	1855935		chr5	1855922	1855923	NA	87.5	NA	88.88888889	NA	100	80	NA
chr5	1855859	1855935		chr5	1855923	1855924	NA	83.33333333	58.33333333	100	100	NA	NA	NA
chr5	3225781	3225857		chr5	3225808	3225809	100	94.11764706	91.66666667	100	100	88.88888889	100	NA
chr5	3225781	3225857		chr5	3225809	3225810	NA	88.88888889	100	NA	NA	NA	100	NA
chr5	3225781	3225857		chr5	3225836	3225837	90	100	100	85.71428571	100	100	80	NA
chr5	3225781	3225857		chr5	3225837	3225838	NA	100	90	NA	NA	NA	33.33333333	NA
chr5	3225781	3225857		chr5	3225840	3225841	90	94.44444444	92.30769231	100	70	90.90909091	80	NA
chr5	3225781	3225857		chr5	3225841	3225842	NA	87.5	90.90909091	NA	NA	NA	100	NA
chr5	3225781	3225857		chr5	3225848	3225849	50	94.44444444	60	0	36.36363636	60	90	NA
chr5	3225781	3225857		chr5	3225849	3225850	NA	100	54.54545455	NA	NA	NA	100	NA
chr5	6491809	6491885		chr5	6491873	6491874	75	100	100	70	NA	71.42857143	87.5	NA
chr5	6491809	6491885		chr5	6491874	6491875	66.66666667	100	88.23529412	100	100	83.33333333	100	NA
chr5	7398962	7399038		chr5	7399023	7399024	50	84.61538462	91.66666667	54.54545455	70	80	75	NA
chr5	7398962	7399038		chr5	7399024	7399025	NA	100	58.33333333	NA	85.71428571	100	78.57142857	83.33333333
chr5	10139105	10139181		chr5	10139156	10139157	NA	92.85714286	83.33333333	83.33333333	NA	69.23076923	66.66666667	NA
chr5	10139105	10139181		chr5	10139157	10139158	NA	100	100	94.73684211	100	100	95	NA
chr5	10139105	10139181		chr5	10139160	10139161	NA	93.33333333	72.72727273	NA	NA	81.81818182	66.66666667	NA
chr5	10139105	10139181		chr5	10139161	10139162	NA	100	100	84.21052632	100	100	100	NA
chr5	10139105	10139181		chr5	10139163	10139164	NA	100	90	NA	NA	63.63636364	83.33333333	NA
chr5	10139105	10139181		chr5	10139164	10139165	NA	100	93.33333333	100	100	100	100	NA
