CpG. Probe	chr	start	"Average of all tissues, not lung"	Fibrotic Average	Lung Average	Leukocyte Average
cg06732667	8	141312916	0.961141441	0.456325	0.405325	0.9685625
cg06745145	7	90664816	0.880347748	-1	-1	0.9443625
cg06754965	16	88072117	0.893079279	-1	-1	0.91195
cg06756069	1	208523382	0.871822523	-1	-1	0.9281375
cg06761920	1	247614873	0.88026036	-1	-1	0.930375
cg06772736	12	93397394	0.901236036	-1	-1	0.9438125
cg06773295	1	3028577	0.886410811	-1	-1	0.9663875
cg06775420	16	1742245	0.88693964	-1	-1	0.95925
cg06776548	1	154545724	0.859521622	0.36025	0.89265	0.9498125
cg06776907	1	40714009	0.829763964	-1	-1	0.9073125
cg06777002	10	124266269	0.862382883	-1	-1	0.93375
cg06780673	10	89367706	0.904832432	-1	-1	0.9292375
cg06784198	1	2777213	0.839472072	0.39465	0.819625	0.9277125
cg06785720	16	89109464	0.864413514	-1	-1	0.920125
cg06787991	15	86219075	0.898879279	-1	-1	0.9683125
cg06791457	12	34457072	0.851356757	-1	-1	0.917825
cg06791812	14	105677543	0.951727027	-1	-1	0.965025
cg06793484	7	207605	0.953165766	-1	-1	0.96035
cg06794569	16	1451278	0.885291892	-1	-1	0.9351125
cg06801252	20	25570529	0.892775676	-1	-1	0.9034125
cg06806158	6	166905187	0.82672973	-1	-1	0.932475
cg06813951	12	119632882	0.914325225	0.408375	0.9012	0.953975
cg06815243	10	132870532	0.964555856	-1	-1	0.9745875
cg06815302	6	57335405	0.815947748	-1	-1	0.920875
cg06816558	2	113912567	0.879977477	-1	-1	0.9453375
cg06817802	5	1291319	0.934388288	-1	-1	0.9621125
cg06818515	16	2944443	0.961328829	-1	-1	0.9637125
cg06823022	1	109826878	0.817708108	-1	-1	0.93575
cg06833098	17	38290796	0.85914955	-1	-1	0.9547375
cg06833564	16	4665307	0.820802703	0.4301	0.622775	0.92255
cg06837179	16	29245216	0.937720721	-1	-1	0.9431625
cg06839424	4	1007283	0.966318018	-1	-1	0.9738625
cg06844276	6	44823426	0.932140541	-1	-1	0.975125
cg06846441	7	4780516	0.952018919	-1	-1	0.9603625
cg06849459	1	183891439	0.882795495	-1	-1	0.901625
cg06852824	2	231582109	0.885811712	0.414375	0.945825	0.9269375
cg06855379	3	49699923	0.928020721	-1	-1	0.9392125
cg06859106	4	17582677	0.803435135	-1	-1	0.9279875
cg06860598	X	24380910	0.84762973	-1	-1	0.941625
cg06862410	10	86001246	0.861054955	-1	-1	0.9122125
cg06862644	17	3375469	0.888934234	-1	-1	0.91115
cg06874334	12	108106067	0.884147748	-1	-1	0.938475
cg06875707	5	35231999	0.855241441	-1	-1	0.907225
cg06876157	10	129197625	0.871474775	-1	-1	0.913875
cg06878009	16	77874011	0.829337838	-1	-1	0.918875
cg06878808	1	17575210	0.878854955	-1	-1	0.9143125
cg06879378	7	28466920	0.925735135	-1	-1	0.941775
cg06884304	11	85952331	0.88622973	0.425275	0.887575	0.9467375
cg06886738	14	102515026	0.894828829	-1	-1	0.9482375
cg06897120	16	4613204	0.806841441	-1	-1	0.9213125
cg06898946	2	73172128	0.940203604	-1	-1	0.943875
cg06901238	17	77706717	0.889117117	-1	-1	0.9243375
cg06903612	6	31122367	0.949383784	-1	-1	0.9248875
cg06908379	5	158529986	0.819635135	-1	-1	0.9182125
cg06910087	1	53666810	0.900393694	-1	-1	0.9422375
cg06910977	7	64251334	0.895547748	-1	-1	0.939225
cg06913629	X	15806126	0.838763063	-1	-1	0.9484875
cg06915918	1	92001242	0.968463964	-1	-1	0.95935
cg06919865	10	134732891	0.863164865	0.33885	0.347275	0.9196375
cg06920324	7	149264011	0.822765766	-1	-1	0.9568875
cg06921262	12	132630375	0.889276577	-1	-1	0.952175
cg06922155	5	889617	0.884459459	-1	-1	0.914875
cg06936246	16	2752365	0.862302703	-1	-1	0.9613875
cg06936265	6	88493152	0.912459459	-1	-1	0.947525
cg06937619	6	31104593	0.865026126	-1	-1	0.9434875
cg06938654	X	21875563	0.890191892	-1	-1	0.909275
cg06941554	16	88894725	0.957693694	-1	-1	0.94055
cg06942978	5	1266595	0.9318	-1	-1	0.9388625
cg06950479	16	240114	0.958954955	0.468625	0.93975	0.9606125
cg06951398	1	9376694	0.920294595	-1	-1	0.9556375
cg06951664	16	85966425	0.913055856	-1	-1	0.949875
cg06959457	10	82363384	0.972612613	0.456725	0.9476	0.96555
cg06961205	6	6623143	0.800952252	-1	-1	0.93565
cg06966750	11	15097454	0.870212613	-1	-1	0.93075
cg06973164	11	129903187	0.914856757	-1	-1	0.9138
cg06973463	1	1002664	0.849852252	-1	-1	0.9547
cg06976634	11	886709	0.958572973	0.4727	0.962875	0.9506125
cg06978943	1	984992	0.950708108	-1	-1	0.948925
cg06980252	7	137605253	0.921294595	-1	-1	0.960875
cg06981910	7	129847046	0.874692793	-1	-1	0.933625
cg06985259	1	22471831	0.908522523	0.39	0.91645	0.929625
cg06990967	5	2041382	0.902842342	-1	-1	0.9518
cg06992390	16	69352766	0.948527928	-1	-1	0.9517375
cg06992868	10	1167688	0.84357027	-1	-1	0.9207
cg06994502	17	74846138	0.853952252	-1	-1	0.902175
cg06995003	7	107483851	0.934516216	-1	-1	0.96795
cg06995808	11	111382509	0.89566036	-1	-1	0.9336125
cg06996555	7	151542415	0.905183784	-1	-1	0.920675
cg06997184	8	93661575	0.816225225	-1	-1	0.908325
cg06997275	2	208815981	0.829223423	-1	-1	0.927675
cg07008938	1	172599229	0.894776577	-1	-1	0.916425
cg07018450	12	79198254	0.924867568	-1	-1	0.9427
cg07020832	6	46644680	0.917488288	-1	-1	0.9533125
cg07023209	7	157058393	0.897088288	-1	-1	0.9592625
cg07035001	7	146321053	0.884523423	-1	-1	0.9284
cg07035437	2	85041893	0.921375676	-1	-1	0.963475
cg07042346	2	111981120	0.922616216	-1	-1	0.92155
cg07050192	10	22038263	0.897785586	-1	-1	0.9550625
cg07060383	2	201272755	0.94226036	-1	-1	0.976425
cg07065453	8	143162526	0.928462162	-1	-1	0.9544375
cg07078979	2	34128696	0.933211712	0.434275	0.902975	0.9315125
cg07080867	4	184243006	0.913265766	0.371975	0.89765	0.911725
cg07082358	7	102981127	0.875220721	-1	-1	0.956075
cg07084376	7	156336589	0.919375676	-1	-1	0.9147375
cg07089276	3	100207343	0.885994595	-1	-1	0.9036125
cg07093702	6	30619047	0.896576577	-1	-1	0.93065
cg07094785	11	62481055	0.849059459	-1	-1	0.9238875
cg07095637	7	2079008	0.877133333	-1	-1	0.93635
cg07098123	7	91507250	0.889633333	0.4105	0.889625	0.948875
cg07110474	12	123255435	0.879867568	-1	-1	0.9607875
cg07112556	10	105642168	0.840947748	-1	-1	0.961475
cg07114751	1	21552839	0.907295495	-0.23315	0.63625	0.948625
cg07115976	1	1155731	0.884228829	-1	-1	0.9116375
cg07116312	16	89173855	0.967248649	-1	-1	0.9754625
cg07121021	10	37414597	0.890411712	-1	-1	0.931025
cg07123182	11	2722391	0.825458559	-1	-1	0.941525
cg07124492	10	772600	0.972223423	0.488	0.97695	0.9769375
cg07126542	10	131363429	0.972911712	-1	-1	0.9598
cg07129731	7	99695537	0.865931532	-1	-1	0.9129
cg07131943	7	134932683	0.928090991	-1	-1	0.9668
cg07134266	13	112886222	0.853745946	-1	-1	0.9291375
cg07136641	8	57079634	0.897245045	-1	-1	0.931475
cg07137519	10	131688736	0.908240541	-1	-1	0.94255
cg07139519	8	143234741	0.883463063	-1	-1	0.9012875
cg07140885	10	99495859	0.909489189	-1	-1	0.9639375
cg07141950	8	81178394	0.948261261	-1	-1	0.9386375
cg07142325	1	119684001	0.881969369	-1	-1	0.956875
cg07142833	22	48944598	0.879708108	-1	-1	0.939775
cg07144124	7	151827908	0.901202703	-1	-1	0.939325
cg07150380	12	101005838	0.905854054	-1	-1	0.9467625
cg07151957	15	62544111	0.914937838	-1	-1	0.941825
cg07152030	1	228285404	0.914090991	-1	-1	0.9678625
cg07153264	16	30937201	0.924930631	-1	-1	0.945475
cg07154035	15	102075428	0.954394595	-1	-1	0.9425875
cg07155158	17	79164542	0.9389	-1	-1	0.9495625
cg07161669	11	2925187	0.916625225	-1	-1	0.9711875
cg07162667	17	40929602	0.860027928	-1	-1	0.9667625
cg07178206	1	192603870	0.868392793	-1	-1	0.9401375
cg07178808	16	1838150	0.850768468	-1	-1	0.9369875
cg07180538	7	4786899	0.884533333	-1	-1	0.956
cg07183267	1	151149061	0.846126126	-1	-1	0.92815
cg07185041	6	31845721	0.828663964	-1	-1	0.92015
cg07193515	6	29275337	0.906952252	0.42505	0.893025	0.942975
cg07196035	7	35672974	0.875281982	-1	-1	0.928075
cg07200199	17	48795899	0.87610991	-1	-1	0.948975
cg07201739	6	30026287	0.894831532	-1	-1	0.956725
cg07207053	12	132601934	0.969044144	0.485675	0.9795	0.9709
cg07209941	20	39974568	0.957700901	-1	-1	0.9590875
cg07210132	7	1021631	0.880293694	-1	-1	0.9034125
cg07214760	12	118546039	0.869077477	-1	-1	0.9287625
cg07215511	16	4933716	0.973536937	-1	-1	0.97145
cg07222059	12	4433874	0.965722523	0.486025	0.98105	0.9592625
cg07222414	1	98550994	0.929413514	-1	-1	0.974775
cg07226317	12	52976095	0.894915315	-1	-1	0.9456875
cg07227102	11	1092135	0.893811712	-1	-1	0.901175
cg07237540	18	77495904	0.861344144	-1	-1	0.9563625
cg07238699	5	71929673	0.851515315	-1	-1	0.9387375
cg07249785	10	134885740	0.895355856	-1	-1	0.918375
cg07251141	10	127914071	0.834833333	-1	-1	0.964625
cg07255925	10	93073139	0.873836036	-1	-1	0.9406125
cg07257628	3	69027233	0.835096396	-1	-1	0.940775
cg07258419	12	77379270	0.878716216	0.392625	0.889975	0.9133
cg07259687	2	196411625	0.913245045	-1	-1	0.9662125
cg07266350	3	49460521	0.879199099	-1	-1	0.9565875
cg07271869	3	195974329	0.946101802	-1	-1	0.967025
cg07274820	16	50056573	0.84473964	-1	-1	0.918375
cg07277061	7	31373496	0.892107207	-1	-1	0.9059375
cg07283891	7	76623290	0.952142342	-1	-1	0.965075
cg07289002	3	52737166	0.930835135	-1	-1	0.9792
cg07297896	10	130844607	0.802509009	0.4715	0.318225	0.9401625
cg07298859	6	166406045	0.929010811	-1	-1	0.966675
cg07299645	7	147256263	0.902999099	-1	-1	0.939925
cg07302293	11	64391697	0.881383784	-1	-1	0.94415
cg07303744	4	738661	0.959128829	-1	-1	0.95305
cg07304551	16	85618571	0.837723423	-1	-1	0.9572375
cg07304756	10	114646497	0.89270991	-1	-1	0.9263
cg07309941	1	210440605	0.950054955	0.458775	0.891675	0.9519875
cg07311363	1	5773334	0.894543243	-1	-1	0.93325
cg07313271	7	6889162	0.904756757	-1	-1	0.9237375
cg07314603	3	176079998	0.957717117	-1	-1	0.9449625
cg07315006	3	174812890	0.91133964	-1	-1	0.9158625
cg07319014	16	89777268	0.964137838	-1	-1	0.96965
cg07335435	16	29853394	0.887234234	-1	-1	0.947525
cg07335603	5	134344570	0.903820721	-1	-1	0.949275
cg07338450	15	35202392	0.885653153	-1	-1	0.9341875
cg07338984	12	48194303	0.90305045	-1	-1	0.96095
cg07339393	10	3789537	0.864397297	-1	-1	0.9635125
cg07348723	4	110661983	0.897005405	-1	-1	0.9559875
cg07355262	7	5347698	0.939003604	-1	-1	0.9446875
cg07356488	11	121477737	0.873663964	-1	-1	0.924775
cg07361017	15	53049382	0.893862162	-1	-1	0.9354625
cg07364632	2	234369262	0.944596396	-1	-1	0.9117875
cg07364781	12	26221695	0.886372973	-1	-1	0.9094625
cg07365623	2	46656259	0.974025225	0.4785	0.968325	0.9629375
cg07367144	7	151833529	0.828957658	0.355075	0.750325	0.9214125
cg07372659	6	20866952	0.884702703	-1	-1	0.9575875
cg07374414	1	3701164	0.939857658	-1	-1	0.9376
cg07374961	7	157233142	0.940327928	-1	-1	0.9298875
cg07395000	7	97857971	0.936927027	-1	-1	0.9485875
cg07395055	2	118569210	0.839942342	-1	-1	0.9123125
cg07395941	8	1078200	0.92116036	-1	-1	0.947275
cg07400057	11	7111072	0.922212613	-1	-1	0.954325
cg07416257	1	77221292	0.881234234	-1	-1	0.9005125
cg07417666	12	94197684	0.882944144	-1	-1	0.9481875
cg07423939	5	107713125	0.928291892	0.44435	0.929825	0.9768625
cg07423985	2	184125416	0.944152252	-1	-1	0.9457
cg07428200	17	78046742	0.93529009	-1	-1	0.95785
cg07428496	8	124026000	0.90783964	-1	-1	0.9528125
cg07428851	6	4575594	0.876265766	-1	-1	0.9155125
cg07439241	3	9258481	0.913651351	-1	-1	0.95045
cg07443080	16	85305891	0.935528829	-1	-1	0.9344
cg07454355	17	58681179	0.873481081	-1	-1	0.9353625
cg07458747	14	105538414	0.94345045	-1	-1	0.92175
cg07461014	12	51817271	0.870835135	-1	-1	0.9384
cg07463848	8	49985379	0.829510811	-1	-1	0.907975
cg07464206	11	15960015	0.912618919	0.4781	0.538275	0.9159
cg07465609	6	66205227	0.845504505	-1	-1	0.9015875
cg07467562	4	135248622	0.948069369	-1	-1	0.9247375
cg07468752	6	151054883	0.831668468	-1	-1	0.97285
cg07469887	10	131262384	0.890394595	-1	-1	0.9456625
cg07470275	15	99788558	0.909934234	-1	-1	0.917425
cg07471951	7	91567342	0.894258559	0.4087	0.883425	0.934775
cg07475940	3	170304889	0.881562162	-1	-1	0.9472125
cg07476030	6	107078648	0.845281081	-1	-1	0.947075
cg07488338	5	89663024	0.846023423	-1	-1	0.929
cg07488832	2	69101168	0.90652973	-1	-1	0.955625
cg07490085	4	3876413	0.920788288	-1	-1	0.9436125
cg07498938	6	31851155	0.88257027	-1	-1	0.9318625
cg07505680	8	1933651	0.815288288	-1	-1	0.95405
cg07509464	2	106359129	0.908052252	0.44105	0.910675	0.9486875
cg07513332	6	167530253	0.840828829	-1	-1	0.921975
cg07514503	7	25593420	0.956337838	-1	-1	0.9610625
cg07527729	10	134472187	0.901498198	-1	-1	0.90795
cg07529675	15	22956051	0.89098018	-1	-1	0.917925
cg07539601	10	8277249	0.867836036	-1	-1	0.9303125
cg07540629	19	46277811	0.892648649	-1	-1	0.933025
cg07540917	16	87742602	0.958051351	0.456825	0.94655	0.966625
cg07542448	6	94799944	0.87900991	-1	-1	0.927875
cg07542540	16	89122431	0.840996396	-1	-1	0.9263875
cg07543055	6	32807239	0.928795495	-1	-1	0.9691
cg07548325	2	48807373	0.845266667	-1	-1	0.9327625
cg07549120	8	145758650	0.867004505	-1	-1	0.948925
cg07560587	16	88016574	0.919530631	-1	-1	0.95625
cg07562139	6	168147329	0.945057658	-1	-1	0.9452875
cg07567767	5	5239990	0.946891892	0.470575	0.96675	0.9560875
cg07571337	10	93805844	0.80711982	0.36185	0.7781	0.93355
cg07577957	10	98803188	0.961636937	-1	-1	0.963425
cg07584003	1	214522542	0.910122523	-1	-1	0.9543625
cg07588430	6	41561444	0.929223423	-1	-1	0.971075
cg07590060	1	151149310	0.927684685	-1	-1	0.969125
cg07594031	1	205597307	0.925572973	-1	-1	0.9750125
cg07594539	4	2930073	0.903502703	-1	-1	0.9287625
cg07596235	13	51414275	0.882456757	-1	-1	0.9288625
cg07596883	1	16269985	0.875947748	0.41225	0.88415	0.954325
cg07600374	6	134278787	0.857354054	0.4199	0.879925	0.911775
cg07604565	20	30389511	0.842318919	-1	-1	0.9154875
cg07609381	6	32056606	0.915116216	-1	-1	0.961175
cg07609463	2	105455216	0.906581982	-1	-1	0.9709125
cg07611531	2	54853149	0.926827928	0.460425	0.937375	0.9408875
cg07613023	6	90734981	0.884244144	-1	-1	0.928875
cg07616879	10	134631386	0.829566667	0.48995	0.3735	0.9140375
cg07618101	3	160879687	0.940418919	-1	-1	0.9722125
cg07623058	5	2128976	0.850969369	0.3894	0.8754	0.956125
cg07625630	6	31382118	0.899682883	-1	-1	0.9233375
cg07627491	6	32917165	0.831928829	-1	-1	0.9133
cg07628855	7	25100356	0.809487387	-1	-1	0.9473
cg07632488	3	128046323	0.90525045	-1	-1	0.9488
cg07634195	11	1312565	0.877910811	-1	-1	0.905175
cg07644681	19	2339964	0.897462162	-1	-1	0.9563875
cg07653901	22	50250238	0.863493694	-1	-1	0.95375
cg07658936	17	12874897	0.901174775	-1	-1	0.9409875
cg07670240	3	192397931	0.830014414	-1	-1	0.9036625
cg07671477	5	1228671	0.940672973	-1	-1	0.9590375
cg07678592	12	49178406	0.826013514	-1	-1	0.9229125
cg07686122	7	75609018	0.809735135	-1	-1	0.9069875
cg07689001	11	1023495	0.907455856	-1	-1	0.9275125
cg07690287	2	185998337	0.905425225	-1	-1	0.9129625
cg07690349	11	1257659	0.945013514	-1	-1	0.9418875
cg07690778	10	102295134	0.892385586	-1	-1	0.9308375
cg07706812	16	71746357	0.88423964	-1	-1	0.9583375
cg07707817	3	121285706	0.859199099	0.39755	0.791775	0.9588875
cg07709155	8	2186975	0.846581081	-1	-1	0.9396625
cg07719401	16	15711282	0.907848649	-1	-1	0.934225
cg07721042	8	127439142	0.858757658	-1	-1	0.9040625
cg07722359	2	239318105	0.931014414	0.391925	0.869875	0.9097875
cg07725191	6	31636239	0.839294595	-1	-1	0.9264
cg07726215	1	171116322	0.901556757	-1	-1	0.937225
cg07729367	3	128479008	0.887767568	-1	-1	0.914625
cg07733363	4	2248976	0.957341441	0.48835	0.9813	0.974075
cg07739398	12	24365132	0.870423423	-1	-1	0.91285
cg07743122	8	144411725	0.870087387	-1	-1	0.9401125
cg07751919	5	781020	0.880821622	-1	-1	0.92415
cg07765659	19	56133368	0.942771171	-1	-1	0.9498375
cg07778534	16	89601834	0.958392793	-1	-1	0.9676
cg07780179	13	114074813	0.910735135	-1	-1	0.954575
cg07780694	2	238990408	0.805833333	0.4721	0.947175	0.9578125
cg07781087	16	736823	0.936095495	-1	-1	0.9741625
cg07789281	1	155896909	0.873825225	-1	-1	0.9619625
cg07792636	1	27878409	0.857373874	-1	-1	0.9287625
cg07795307	19	17974121	0.884434234	-1	-1	0.91765
cg07796823	5	45696928	0.896100901	-1	-1	0.95145
cg07797747	1	155536779	0.918821622	-1	-1	0.93985
cg07800837	1	238162957	0.876779279	-1	-1	0.9054625
cg07804577	17	1645462	0.916038739	-1	-1	0.9348125
cg07805480	3	195544580	0.942495495	-1	-1	0.9367
cg07806674	1	27994978	0.820069369	-1	-1	0.9418625
cg07808967	10	3063296	0.963897297	-1	-1	0.96155
cg07809369	7	94954455	0.898604505	-1	-1	0.930225
cg07810204	1	1169394	0.949547748	-1	-1	0.9299875
cg07817967	1	184721222	0.914654955	-1	-1	0.939325
cg07831918	16	84690554	0.943899099	-1	-1	0.938675
cg07832178	7	50198848	0.936815315	-1	-1	0.9604375
cg07832739	4	127122592	0.94452973	-1	-1	0.924275
cg07834492	2	86066766	0.94364955	-1	-1	0.95075
cg07841762	7	99704525	0.809701802	0.291475	0.747	0.92335
cg07847664	7	613118	0.866255856	-1	-1	0.9333375
cg07853407	5	172152187	0.866532432	-1	-1	0.925525
cg07859478	19	808116	0.923827027	-1	-1	0.9593125
cg07860140	10	134926479	0.923138739	-1	-1	0.9088125
cg07861463	10	114912175	0.964869369	-1	-1	0.967275
cg07871144	16	12151014	0.82906036	-1	-1	0.9638375
cg07875884	16	1433721	0.944134234	-1	-1	0.9335125
cg07876051	10	3159145	0.900503604	0.315325	0.5266	0.9482375
cg07876716	10	131718624	0.89114955	-1	-1	0.933875
cg07880562	X	41333643	0.9102	-1	-1	0.9411125
cg07893491	4	38056620	0.86750991	-1	-1	0.9292625
cg07896558	17	78444761	0.842845946	-1	-1	0.934525
cg07903425	5	112253327	0.914035135	-1	-1	0.949275
cg07905119	7	1779084	0.851537838	-1	-1	0.937175
cg07910529	7	2160871	0.874466667	-1	-1	0.9095625
cg07921436	2	54856099	0.883947748	-1	-1	0.9678375
cg07931792	19	12707809	0.852304505	-1	-1	0.9604
cg07933563	20	30176335	0.900130631	-1	-1	0.944575
cg07935320	8	124218630	0.944005405	-1	-1	0.9353875
cg07940971	10	568540	0.955162162	0.480575	0.9743	0.9632625
cg07941978	7	157915200	0.929344144	-1	-1	0.960925
cg07947459	1	19186245	0.848898198	-1	-1	0.9369625
cg07949165	1	179054983	0.934389189	-1	-1	0.9694875
cg07954620	16	89633841	0.97067027	-1	-1	0.968375
cg07957806	17	17046995	0.948647748	-1	-1	0.9554375
cg07960138	4	812884	0.830420721	-1	-1	0.9144875
cg07963363	8	92983012	0.951623423	-0.0265	0.955725	0.9485625
cg07966265	1	10733477	0.882843243	-1	-1	0.905475
cg07969602	3	129982835	0.967838739	-1	-1	0.9627125
cg07973026	4	103553119	0.953536036	-1	-1	0.9712375
cg07990582	10	1222408	0.888664865	-1	-1	0.9106
cg07993112	2	44363533	0.854715315	-1	-1	0.943475
cg08001952	8	140974696	0.938120721	-1	-1	0.9545875
cg08008141	13	48761357	0.870964865	-1	-1	0.9164875
cg08009265	1	153044457	0.869854955	-1	-1	0.9135625
cg08012201	2	169096802	0.914356757	-1	-1	0.9566375
cg08035638	1	222548893	0.908727027	-1	-1	0.9527375
cg08044634	3	10436197	0.89947027	-1	-1	0.9305625
cg08053432	3	167046228	0.916087387	-1	-1	0.9513125
cg08054907	6	26019358	0.875211712	-1	-1	0.9222
cg08074131	6	31476968	0.86871982	0.419025	0.86435	0.91615
cg08080498	8	22404955	0.895977477	-1	-1	0.9609875
cg08081615	2	242970538	0.955841441	-1	-1	0.9522
cg08085917	12	133147010	0.980454955	-1	-1	0.9728625
cg08086751	3	111080883	0.88480991	-1	-1	0.9243375
cg08095566	2	161221369	0.810445045	-1	-1	0.914325
cg08095931	14	106144659	0.908336937	-1	-1	0.951625
cg08096684	4	56708199	0.909896396	-1	-1	0.9187875
cg08099331	16	11037187	0.858626126	-1	-1	0.92925
cg08107075	7	24606883	0.868818018	-1	-1	0.9306625
cg08108333	7	157320662	0.975044144	-1	-1	0.9742625
cg08113916	1	117528420	0.858041441	-1	-1	0.9290625
cg08121961	1	160824025	0.929223423	-1	-1	0.9468375
cg08125488	6	31591517	0.893845946	-1	-1	0.952775
cg08130793	2	240067079	0.870593694	-1	-1	0.927925
cg08131003	8	54507118	0.902458559	-1	-1	0.9241625
cg08136587	14	53163071	0.884603604	-1	-1	0.9521
cg08141142	14	105936715	0.89905045	-1	-1	0.9620875
cg08143701	19	1957871	0.896906306	0.484925	0.970425	0.955025
cg08144406	7	51381086	0.844122523	-1	-1	0.939525
cg08144858	16	14644576	0.891645045	-1	-1	0.937375
cg08146698	7	178613	0.951048649	0.46475	0.955425	0.914625
cg08162892	12	132221187	0.871476577	-1	-1	0.963875
cg08166513	1	233120048	0.957677477	-1	-1	0.961775
cg08170637	17	79988088	0.808226126	-1	-1	0.900475
cg08182191	2	106714396	0.845877477	-1	-1	0.93625
cg08182565	11	66607594	0.923902703	-1	-1	0.9640125
cg08185105	2	92031986	0.876966667	-1	-1	0.9075875
cg08185808	16	809910	0.811259459	-1	-1	0.95965
cg08186965	8	2133250	0.820833333	-1	-1	0.940125
cg08195405	10	103334202	0.920613514	-1	-1	0.969575
cg08197751	11	5982261	0.929891892	-1	-1	0.90945
cg08199529	11	104894514	0.888259459	-1	-1	0.9175
cg08201851	8	30003660	0.896205405	-1	-1	0.9357125
cg08204155	22	20133578	0.914225225	-1	-1	0.927275
cg08204790	2	59522360	0.870624324	-1	-1	0.943075
cg08214023	10	7763676	0.903627928	-1	-1	0.9250625
cg08224160	5	178411787	0.955640541	-1	-1	0.9462125
cg08228217	7	111366042	0.885322523	-1	-1	0.9222125
cg08229905	16	88969224	0.889552252	-1	-1	0.900625
cg08230140	6	38690580	0.894955856	-1	-1	0.9260375
cg08237898	1	27999992	0.896081982	-1	-1	0.9330625
cg08249899	16	20975258	0.937518919	-1	-1	0.922075
cg08260625	1	1602789	0.894718919	-1	-1	0.91915
cg08270023	12	132619174	0.824903604	-1	-1	0.917825
cg08270240	19	21933659	0.884728829	-1	-1	0.921075
cg08271745	19	4490433	0.807934234	-1	-1	0.94675
cg08272073	1	16558399	0.876942342	-1	-1	0.9275125
cg08274029	6	30036904	0.865151351	-1	-1	0.941975
cg08279055	2	46707678	0.917644144	-1	-1	0.934575
cg08279693	1	152657950	0.866655856	-1	-1	0.9113875
cg08280159	8	145504568	0.940809009	-1	-1	0.945025
cg08294044	8	73849039	0.861872973	-1	-1	0.953025
cg08305453	10	17181911	0.881853153	-1	-1	0.9434625
cg08309041	10	134002714	0.868307207	-1	-1	0.9635875
cg08309135	7	127984393	0.862776577	-1	-1	0.9342375
cg08310400	7	5262452	0.913394595	-1	-1	0.96825
cg08310476	2	196520760	0.871240541	-1	-1	0.95335
cg08310519	11	86305199	0.901763964	0.443375	0.9269	0.9249875
cg08311803	2	231854570	0.962489189	0.484725	0.978525	0.9628875
cg08312035	1	228402305	0.88495045	0.413275	0.886225	0.9365125
cg08314240	17	28852915	0.89409009	0.406675	0.889125	0.9411875
cg08317426	15	89421243	0.968854955	-1	-1	0.968975
cg08319778	4	7435463	0.961045045	-1	-1	0.9673875
cg08321048	10	133951963	0.931947748	0.4003	0.82985	0.936475
cg08323480	6	168139199	0.89082973	-1	-1	0.904375
cg08352575	2	10916238	0.908222523	-1	-1	0.919325
cg08356027	17	79941053	0.963034234	-1	-1	0.9585875
cg08359192	2	61194733	0.898345045	-1	-1	0.9561125
cg08363013	17	42145230	0.89343964	-1	-1	0.90515
cg08363671	15	99512700	0.904975676	-1	-1	0.9607
cg08369319	15	86302212	0.869310811	-1	-1	0.9514375
cg08372713	7	45180845	0.8339	-1	-1	0.9184875
cg08373477	4	1957896	0.94165045	-1	-1	0.9769
cg08374552	5	111006369	0.865144144	0.361875	0.891625	0.922675
cg08374687	4	123300658	0.922315315	-1	-1	0.9354625
cg08381537	19	310296	0.865276577	-1	-1	0.932375
cg08392325	2	121508131	0.858685586	-1	-1	0.94575
cg08394355	6	31597565	0.873114414	0.448875	0.537675	0.9066625
cg08398691	10	131217895	0.866645946	0.464875	0.44125	0.919625
cg08401743	22	42296927	0.897253153	-1	-1	0.945225
cg08402381	10	34587560	0.951971171	-1	-1	0.937375
cg08403994	7	151129211	0.939254955	0.4245	0.892	0.93995
cg08414068	5	31857916	0.894508108	-1	-1	0.935875
cg08418323	5	824311	0.897281982	-1	-1	0.90755
cg08426800	19	1229184	0.94560991	-1	-1	0.93375
cg08441530	11	134025433	0.823766667	-1	-1	0.9567375
cg08448668	1	245852157	0.851561261	-1	-1	0.913475
cg08449138	19	3135146	0.898816216	-1	-1	0.9564875
cg08457315	6	151673369	0.918304505	-1	-1	0.964075
cg08459764	4	132677675	0.95071982	-1	-1	0.963125
cg08463820	7	157453872	0.910023423	-1	-1	0.9314125
cg08472727	13	24847935	0.884494595	-1	-1	0.937025
cg08473924	5	55115187	0.866727027	-1	-1	0.9152875
cg08484080	1	1986139	0.875658559	-1	-1	0.94685
cg08488058	3	143318826	0.933762162	-1	-1	0.946625
cg08497649	10	135111434	0.975336036	0.48865	0.989875	0.9746
cg08498179	16	334749	0.92348018	-1	-1	0.9224125
cg08498322	7	178952	0.90564955	-1	-1	0.9607375
cg08498475	19	11564512	0.894169369	-1	-1	0.959975
cg08500323	5	180057594	0.913936937	-1	-1	0.939375
cg08504310	19	36214022	0.88998018	-1	-1	0.930825
cg08515072	8	144387935	0.960134234	-1	-1	0.943225
cg08520423	16	68013968	0.971164865	0.4408	0.95445	0.965575
cg08523848	16	88532266	0.971032432	-1	-1	0.9711125
cg08524389	4	3510683	0.915301802	0.4281	0.870425	0.9209125
cg08524816	20	55099626	0.805348649	-1	-1	0.902425
cg08529628	3	62180163	0.942291892	-1	-1	0.9642625
cg08536838	17	63559901	0.834213514	-1	-1	0.93875
cg08538528	11	134354379	0.926587387	-1	-1	0.953325
