PeakID (cmd=annotatePeaks.pl pc-site.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
0-274	chr8	127770820	127770820	+	0	NA	Intergenic	Intergenic	-200109	NM_174911	157638	Hs.741352	NM_174911	ENSG00000168672	FAM84B	BCMP101|NSE2	family with sequence similarity 84 member B	protein-coding
0-472	chr3	114610564	114610564	+	0	NA	intron (NM_001164343, intron 3 of 11)	intron (NM_001164343, intron 3 of 11)	8905	NR_121662	26137	Hs.202577	NM_015642	ENSG00000181722	ZBTB20	DPZF|HOF|ODA-8S|PRIMS|ZNF288	zinc finger and BTB domain containing 20	protein-coding
0-30	chr4	148201420	148201420	+	0	NA	Intergenic	L1MA9|LINE|L1	-200649	NR_045958	1909	Hs.183713	NM_001957	ENSG00000151617	EDNRA	ET-A|ETA|ETA-R|ETAR|ETRA|MFDA|hET-AR	endothelin receptor type A	protein-coding
0-290	chr16	78657097	78657097	+	0	NA	intron (NM_001291997, intron 7 of 7)	MLT1E1A|LTR|ERVL-MaLR	523787	NR_120435	51741	Hs.461453	NM_016373	ENSG00000186153	WWOX	D16S432E|EIEE28|FOR|FRA16D|HHCMA56|PRO0128|SCAR12|SDR41C1|WOX1	WW domain containing oxidoreductase	protein-coding
0-181	chr5	101352746	101352746	+	0	NA	Intergenic	MLT2B2|LTR|ERVL	279507	NM_180991	353189	Hs.127648	NM_180991	ENSG00000173930	SLCO4C1	OATP-H|OATP-M1|OATP4C1|OATPX|PRO2176|SLC21A20	solute carrier organic anion transporter family member 4C1	protein-coding
0-6	chr15	85921894	85921894	+	0	NA	Intergenic	AluJb|SINE|Alu	-1933	NR_106993	102465803		NR_106993	ENSG00000170776	MIR7706	hsa-mir-7706	microRNA 7706	ncRNA
0-10	chr4	22379744	22379744	+	0	NA	Intergenic	L1P3|LINE|L1	-38455	NR_037877	100505912	Hs.270471	NR_037877		LOC100505912	-	uncharacterized LOC100505912	ncRNA
0-289	chr12	27461073	27461073	+	0	NA	intron (NM_015000, intron 3 of 13)	intron (NM_015000, intron 3 of 13)	-24714	NM_001248005	56938	Hs.445447	NM_020183	ENSG00000029153	ARNTL2	BMAL2|CLIF|MOP9|PASD9|bHLHe6	aryl hydrocarbon receptor nuclear translocator like 2	protein-coding
0-401	chr8	41885522	41885522	+	0	NA	intron (NM_006766, intron 2 of 16)	L1MA4A|LINE|L1	-23746	NR_136589	105379393	Hs.742878	NR_136589		LOC105379393	-	uncharacterized LOC105379393	ncRNA
0-491	chr6	90014764	90014764	+	0	NA	intron (NM_002043, intron 1 of 8)	L1PREC2|LINE|L1	10254	NM_002043	2570	Hs.379330	NM_002043	ENSG00000111886	GABRR2	-	gamma-aminobutyric acid type A receptor rho2 subunit	protein-coding
0-292	chr20	58825437	58825437	+	0	NA	intron (NR_046099, intron 3 of 4)	intron (NR_046099, intron 3 of 4)	-58095	NR_030376	693231		NR_030376	ENSG00000207802	MIR646	MIRN646|hsa-mir-646	microRNA 646	ncRNA
0-358	chr9	18799399	18799399	+	0	NA	intron (NM_001040272, intron 20 of 28)	intron (NM_001040272, intron 20 of 28)	226095	NR_036107	100422869		NR_036107	ENSG00000264638	MIR3152	-	microRNA 3152	ncRNA
0-348	chr12	60222699	60222699	+	0	NA	Intergenic	Intergenic	139581	NR_073055	9194	Hs.88156	NM_004731	ENSG00000118596	SLC16A7	MCT2	solute carrier family 16 member 7	protein-coding
0-354	chr13	28070869	28070869	+	0	NA	Intergenic	Intergenic	-46130	NM_001166263	219402	Hs.534582	NM_152912	ENSG00000122033	MTIF3	IF3mt	mitochondrial translational initiation factor 3	protein-coding
0-496	chr11	7102369	7102369	+	0	NA	Intergenic	LTR19A|LTR|ERV1	-7796	NM_014469	27288	Hs.121605	NM_014469	ENSG00000170748	RBMXL2	HNRNPG-T|HNRNPGT|HNRPGT	RNA binding motif protein, X-linked like 2	protein-coding
0-201	chr8	81395534	81395534	+	0	NA	Intergenic	Intergenic	-2320	NM_001277145	65986	Hs.591868	NM_023929	ENSG00000205189	ZBTB10	RINZF	zinc finger and BTB domain containing 10	protein-coding
0-179	chr1	238077011	238077011	+	0	NA	intron (NR_027247, intron 8 of 11)	intron (NR_027247, intron 8 of 11)	-22789	NM_021186	57829	Hs.136241	NM_021186	ENSG00000116996	ZP4	ZBP|ZP1|ZPB|Zp-4	zona pellucida glycoprotein 4	protein-coding
0-88	chr20	7550955	7550955	+	0	NA	Intergenic	L1PB2|LINE|L1	198700	NR_107029	102465865		NR_107029	ENSG00000278159	MIR8062	hsa-mir-8062	microRNA 8062	ncRNA
0-14	chr2	1650114	1650114	+	0	NA	intron (NM_012293, intron 17 of 22)	intron (NM_012293, intron 17 of 22)	98205	NM_012293	7837	Hs.332197	NM_012293	ENSG00000130508	PXDN	COPOA|D2S448|D2S448E|MG50|PRG2|PXN|VPO	peroxidasin	protein-coding
0-498	chr4	39308676	39308676	+	0	NA	intron (NM_001204747, intron 13 of 24)	MIR|SINE|MIR	59325	NM_001204747	5981	Hs.507475	NM_002913	ENSG00000035928	RFC1	A1|MHCBFB|PO-GA|RECC1|RFC|RFC140	replication factor C subunit 1	protein-coding
0-237	chr3	44639104	44639104	+	0	NA	Intergenic	Intergenic	12648	NM_173658	285349	Hs.733134	NM_173658	ENSG00000144792	ZNF660	-	zinc finger protein 660	protein-coding
0-196	chr3	187147965	187147965	+	0	NA	Intergenic	L1PA15-16|LINE|L1	61797	NM_022147	64108	Hs.43388	NM_022147	ENSG00000136514	RTP4	IFRG28|Z3CXXC4	receptor transporter protein 4	protein-coding
0-485	chr2	101496217	101496217	+	0	NA	intron (NM_002518, intron 1 of 20)	intron (NM_002518, intron 1 of 20)	59604	NM_002518	4862	Hs.156832	NM_002518	ENSG00000170485	NPAS2	MOP4|PASD4|bHLHe9	neuronal PAS domain protein 2	protein-coding
0-112	chr11	17988326	17988326	+	0	NA	intron (NM_012139, intron 8 of 10)	intron (NM_012139, intron 8 of 10)	46383	NR_104040	26297	Hs.32470	NM_012139	ENSG00000129158	SERGEF	DELGEF|Gnefr	secretion regulating guanine nucleotide exchange factor	protein-coding
0-126	chr3	132792232	132792232	+	0	NA	intron (NM_001136469, intron 2 of 5)	L1MA8|LINE|L1	35100	NM_023943	66000	Hs.191616	NM_023943	ENSG00000144868	TMEM108	CT124	transmembrane protein 108	protein-coding
0-55	chr6	150807266	150807266	+	0	NA	Intergenic	Intergenic	-113735	NM_001329804	57480	Hs.189781	NM_001029884	ENSG00000120278	PLEKHG1	ARHGEF41	pleckstrin homology and RhoGEF domain containing G1	protein-coding
0-27	chr4	13883989	13883989	+	0	NA	intron (NR_121681, intron 3 of 3)	intron (NR_121681, intron 3 of 3)	227186	NR_121681	101929071	Hs.543714	NR_121681	ENSG00000250634	LINC01182	-	long intergenic non-protein coding RNA 1182	ncRNA
0-457	chr4	47028259	47028259	+	0	NA	Intergenic	Intergenic	-5036	NM_000812	2560	Hs.27283	NM_000812	ENSG00000163288	GABRB1	EIEE45	gamma-aminobutyric acid type A receptor beta1 subunit	protein-coding
0-266	chr8	135437065	135437065	+	0	NA	Intergenic	Intergenic	-173249	NR_002438	594840	Hs.626298	NR_002438	ENSG00000248492	ZFAT-AS1	NCRNA00070|SAS-ZFAT|ZFAT-AS|ZFATAS	ZFAT antisense RNA 1	ncRNA
0-194	chr15	44925657	44925657	+	0	NA	intron (NM_001160227, intron 8 of 37)	intron (NM_001160227, intron 8 of 37)	30219	NM_025137	80208	Hs.656271	NM_025137	ENSG00000104133	SPG11	ALS5|CMT2X|KIAA1840	spastic paraplegia 11 (autosomal recessive)	protein-coding
0-298	chr3	120494556	120494556	+	0	NA	intron (NM_005513, intron 3 of 4)	intron (NM_005513, intron 3 of 4)	32998	NM_005513	2960	Hs.445272	NM_005513	ENSG00000153767	GTF2E1	FE|TF2E1|TFIIE-A	general transcription factor IIE subunit 1	protein-coding
0-310	chr14	88450714	88450714	+	0	NA	intron (NM_001201402, intron 5 of 16)	intron (NM_001201402, intron 5 of 16)	8901	NM_000153	2581	Hs.513439	NM_000153	ENSG00000054983	GALC	-	galactosylceramidase	protein-coding
0-82	chr15	55495953	55495953	+	0	NA	3' UTR (NM_183234, exon 7 of 7)	3' UTR (NM_183234, exon 7 of 7)	-6722	NM_016304	51187	Hs.274772	NM_016304	ENSG00000137876	RSL24D1	C15orf15|HRP-L30-iso|L30|RLP24|RPL24|RPL24L|TVAS3	ribosomal L24 domain containing 1	protein-coding
0-243	chr12	88164921	88164921	+	0	NA	Intergenic	MLT1H2|LTR|ERVL-MaLR	13567	NR_033410	400058	Hs.572212	NR_033410		MKRN9P	MKRN5|MKRN9|MKRNP6|RNF65|ZNF127L3	makorin ring finger protein 9, pseudogene	pseudo
0-389	chr8	37998988	37998988	+	0	NA	Intergenic	Intergenic	9612	NM_000349	6770	Hs.521535	NM_000349	ENSG00000147465	STAR	STARD1	steroidogenic acute regulatory protein	protein-coding
0-372	chr1	174028469	174028469	+	0	NA	Intergenic	AluSz|SINE|Alu	-66259	NM_172071	149041	Hs.30258	NM_172071	ENSG00000135870	RC3H1	RNF198|ROQUIN	ring finger and CCCH-type domains 1	protein-coding
0-338	chr4	109646343	109646343	+	0	NA	Intergenic	AluSx3|SINE|Alu	37892	NM_001331031	64850	Hs.106576	NM_031279	ENSG00000164089	ETNPPL	AGXT2L1	ethanolamine-phosphate phospho-lyase	protein-coding
0-141	chr5	31382004	31382004	+	0	NA	Intergenic	Intergenic	150278	NM_013235	29102	Hs.97997	NM_013235	ENSG00000113360	DROSHA	ETOHI2|HSA242976|RANSE3L|RN3|RNASE3L|RNASEN	drosha ribonuclease III	protein-coding
0-265	chr14	100030576	100030576	+	0	NA	intron (NM_001144995, intron 1 of 5)	intron (NM_001144995, intron 1 of 5)	40151	NM_001144995	317762	Hs.709288	NM_001144995	ENSG00000205476	CCDC85C	-	coiled-coil domain containing 85C	protein-coding
0-170	chr8	108996588	108996588	+	0	NA	intron (NM_001282863, intron 2 of 4)	intron (NM_001282863, intron 2 of 4)	97579	NM_001317942	340419	Hs.444834	NM_178565	ENSG00000147655	RSPO2	CRISTIN2	R-spondin 2	protein-coding
0-87	chr4	42164240	42164240	+	0	NA	Intergenic	Intergenic	-9345	NM_001159547	389206	Hs.120591	NM_207406	ENSG00000188848	BEND4	CCDC4	BEN domain containing 4	protein-coding
0-420	chr7	80423476	80423476	+	0	NA	intron (NM_006379, intron 11 of 17)	intron (NM_006379, intron 11 of 17)	125191	NM_006379	10512	Hs.269109	NM_006379	ENSG00000075223	SEMA3C	SEMAE|SemE	semaphorin 3C	protein-coding
0-173	chr6	39816859	39816859	+	0	NA	intron (NM_015345, intron 1 of 24)	MADE2|DNA|TcMar-Mariner	48297	NR_125831	100505635	Hs.668513	NR_125831	ENSG00000235033	LOC100505635	-	uncharacterized LOC100505635	ncRNA
0-40	chr3	188729882	188729882	+	0	NA	Intergenic	L1PA11|LINE|L1	-64454	NR_046873	100874043	Hs.616287	NR_046873	ENSG00000234076	TPRG1-AS1	-	TPRG1 antisense RNA 1	ncRNA
0-414	chr1	2018030	2018030	+	0	NA	intron (NM_001242874, intron 1 of 14)	L1MC4|LINE|L1	12605	NM_001242874	5590	Hs.496255	NM_002744	ENSG00000067606	PRKCZ	PKC-ZETA|PKC2	protein kinase C zeta	protein-coding
0-152	chr3	23732525	23732525	+	0	NA	Intergenic	MLT1G1|LTR|ERVL-MaLR	-114859	NM_003341	7324	Hs.164853	NM_003341	ENSG00000170142	UBE2E1	UBCH6	ubiquitin conjugating enzyme E2 E1	protein-coding
0-467	chr11	9012233	9012233	+	0	NA	intron (NM_020645, intron 1 of 6)	AluSz6|SINE|Alu	13363	NM_020645	56675	Hs.523467	NM_020645	ENSG00000175352	NRIP3	C11orf14|NY-SAR-105	nuclear receptor interacting protein 3	protein-coding
0-215	chr5	3401983	3401983	+	0	NA	Intergenic	Intergenic	102135	NR_104618	102467075	Hs.652949	NR_104618	ENSG00000250716	LINC01017	-	long intergenic non-protein coding RNA 1017	ncRNA
0-445	chr5	142338412	142338412	+	0	NA	intron (NM_015071, intron 11 of 22)	FLAM_C|SINE|Alu	-89937	NR_046680	100874239	Hs.570896	NR_046680	ENSG00000226272	ARHGAP26-AS1	-	ARHGAP26 antisense RNA 1	ncRNA
0-19	chr18	49887530	49887530	+	0	NA	intron (NM_005215, intron 1 of 28)	intron (NM_005215, intron 1 of 28)	20988	NM_005215	1630	Hs.162025	NM_005215	ENSG00000187323	DCC	CRC18|CRCR1|IGDCC1|MRMV1|NTN1R1	DCC netrin 1 receptor	protein-coding
0-132	chr8	11516391	11516391	+	0	NA	Intergenic	Intergenic	-18037	NM_001308094	2626	Hs.243987	NM_002052	ENSG00000136574	GATA4	ASD2|TACHD|TOF|VSD1	GATA binding protein 4	protein-coding
0-252	chr1	230166030	230166030	+	0	NA	Intergenic	LTR54B|LTR|ERV1	-27506	NM_001291866	2590	Hs.743964	NM_004481	ENSG00000143641	GALNT2	GalNAc-T2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
0-374	chr3	181231803	181231803	+	0	NA	intron (NR_075093, intron 2 of 4)	L1ME4a|LINE|L1	-71529	NR_125407	102724604	Hs.570524	NR_125407	ENSG00000241231	LOC102724604	-	uncharacterized LOC102724604	ncRNA
0-70	chr7	27120271	27120271	+	0	NA	Intergenic	AluSc8|SINE|Alu	15354	NM_153620	3198	Hs.67397	NM_005522	ENSG00000105991	HOXA1	BSAS|HOX1|HOX1F	homeobox A1	protein-coding
0-362	chr13	27658403	27658403	+	0	NA	intron (NM_182488, intron 6 of 8)	AluSc|SINE|Alu	-41267	NR_046547	100874070	Hs.524923	NR_046547		USP12-AS1	-	USP12 antisense RNA 1	ncRNA
0-91	chr7	114125713	114125713	+	0	NA	intron (NM_148898, intron 2 of 17)	intron (NM_148898, intron 2 of 17)	59156	NM_148899	93986	Hs.282787	NM_014491	ENSG00000128573	FOXP2	CAGH44|SPCH1|TNRC10	forkhead box P2	protein-coding
0-259	chr3	106601114	106601114	+	0	NA	Intergenic	L1MA10|LINE|L1	358371	NR_028303	100302640	Hs.648607	NR_028303	ENSG00000242759	LINC00882	-	long intergenic non-protein coding RNA 882	ncRNA
0-180	chr3	87083122	87083122	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	-42849	NM_001320493	389136	Hs.606507	NM_016206	ENSG00000206538	VGLL3	VGL-3|VGL3	vestigial like family member 3	protein-coding
0-15	chr12	15611776	15611776	+	0	NA	intron (NM_030667, intron 1 of 26)	L1MB1|LINE|L1	-87502	NM_030669	5800	Hs.160871	NM_002848	ENSG00000151490	PTPRO	GLEPP1|NPHS6|PTP-OC|PTP-U2|PTPROT|PTPU2|R-PTP-O	protein tyrosine phosphatase, receptor type O	protein-coding
0-100	chr11	3624116	3624116	+	0	NA	Intergenic	Tigger1|DNA|TcMar-Tigger	-23574	NR_002720	7221	Hs.131910	NR_002720	ENSG00000182048	TRPC2	-	transient receptor potential cation channel subfamily C member 2, pseudogene	pseudo
0-326	chr13	33820812	33820812	+	0	NA	intron (NM_001243476, intron 5 of 17)	AT_rich|Low_complexity|Low_complexity	-30879	NR_046693	100874241	Hs.662433	NR_046693	ENSG00000236581	STARD13-AS	STARD13-AS2	STARD13 antisense RNA	ncRNA
0-185	chr10	74993975	74993975	+	0	NA	intron (NM_173348, intron 10 of 13)	intron (NM_173348, intron 10 of 13)	13114	NM_015190	23234	Hs.408577	NM_015190	ENSG00000213551	DNAJC9	HDJC9|JDD1|SB73	DnaJ heat shock protein family (Hsp40) member C9	protein-coding
0-182	chr3	136059364	136059364	+	0	NA	exon (NM_005862, exon 32 of 34)	exon (NM_005862, exon 32 of 34)	90197	NM_000532	5096	Hs.63788	NM_000532	ENSG00000114054	PCCB	-	propionyl-CoA carboxylase beta subunit	protein-coding
0-193	chr12	93626792	93626792	+	0	NA	intron (NR_040096, intron 2 of 4)	intron (NR_040096, intron 2 of 4)	58650	NR_120492	102724933	Hs.663947	NR_120492	ENSG00000258171	LOC102724933	-	uncharacterized LOC102724933	ncRNA
0-61	chr2	73640071	73640071	+	0	NA	intron (NM_015120, intron 2 of 22)	L1MD3|LINE|L1	27185	NM_015120	7840	Hs.184720	NM_015120	ENSG00000116127	ALMS1	ALSS	ALMS1, centrosome and basal body associated protein	protein-coding
0-275	chr9	132865560	132865560	+	0	NA	intron (NM_020960, intron 12 of 17)	intron (NM_020960, intron 12 of 17)	40938	NR_135124	401554	Hs.522437	NR_135124	ENSG00000196979	LOC401554	-	uncharacterized LOC401554	ncRNA
0-381	chr2	213809191	213809191	+	0	NA	Intergenic	Intergenic	-18131	NR_039936	100616472		NR_039936	ENSG00000283637	MIR4776-2	mir-4776-2	microRNA 4776-2	ncRNA
0-9	chr4	184083956	184083956	+	0	NA	intron (NM_024949, intron 1 of 22)	intron (NM_024949, intron 1 of 22)	63493	NM_024949	80014	Hs.333179	NM_024949	ENSG00000151718	WWC2	BOMB	WW and C2 domain containing 2	protein-coding
0-20	chr3	61741761	61741761	+	0	NA	intron (NM_002841, intron 2 of 29)	intron (NM_002841, intron 2 of 29)	194518	NM_002841	5793	Hs.595541	NM_002841	ENSG00000144724	PTPRG	HPTPG|PTPG|R-PTP-GAMMA|RPTPG	protein tyrosine phosphatase, receptor type G	protein-coding
0-221	chr6	152125186	152125186	+	0	NA	intron (NM_001122742, intron 2 of 9)	intron (NM_001122742, intron 2 of 9)	-1622	NM_001291241	2099	Hs.208124	NM_000125	ENSG00000091831	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	estrogen receptor 1	protein-coding
0-412	chr8	125499881	125499881	+	0	NA	TTS (NM_001317890)	TTS (NM_001317890)	12873	NM_007218	11236	Hs.744151	NM_007218	ENSG00000170881	RNF139	HRCA1|RCA1|TRC8	ring finger protein 139	protein-coding
0-99	chr1	67757887	67757887	+	0	NA	Intergenic	HERVL-int|LTR|ERVL	-15160	NR_047584	3595	Hs.479347	NM_001559	ENSG00000081985	IL12RB2	-	interleukin 12 receptor subunit beta 2	protein-coding
0-308	chr6	110218897	110218897	+	0	NA	Intergenic	MER83B|LTR|ERV1	-80562	NM_001286099	2830	Hs.46332	NM_005284	ENSG00000146360	GPR6	-	G protein-coupled receptor 6	protein-coding
0-477	chr7	96815599	96815599	+	0	NA	Intergenic	L1MA3|LINE|L1	69694	NM_020186	57001	Hs.592269	NM_020186	ENSG00000196636	SDHAF3	ACN9|DC11|LYRM10|Sdh7	succinate dehydrogenase complex assembly factor 3	protein-coding
0-451	chr7	138951923	138951923	+	0	NA	intron (NM_173569, intron 7 of 17)	intron (NM_173569, intron 7 of 17)	35692	NM_173569	254048	Hs.153458	NM_173569	ENSG00000157741	UBN2	-	ubinuclein 2	protein-coding
0-154	chr15	53818033	53818033	+	0	NA	intron (NR_102334, intron 18 of 19)	intron (NR_102334, intron 18 of 19)	15016	NR_102336	256764	Hs.122125	NM_182758	ENSG00000166415	WDR72	AI2A3	WD repeat domain 72	protein-coding
0-139	chr5	73897784	73897784	+	0	NA	Intergenic	L1MA6|LINE|L1	-38064	NM_001292004	3074	Hs.69293	NM_000521	ENSG00000049860	HEXB	ENC-1AS|HEL-248|HEL-S-111	hexosaminidase subunit beta	protein-coding
0-399	chr9	134515834	134515834	+	0	NA	intron (NM_001304275, intron 4 of 23)	intron (NM_001304275, intron 4 of 23)	69395	NM_198679	2889	Hs.127897	NM_005312	ENSG00000107263	RAPGEF1	C3G|GRF2	Rap guanine nucleotide exchange factor 1	protein-coding
0-92	chr18	11648730	11648730	+	0	NA	Intergenic	L1ME2|LINE|L1	6210	NR_106975	102465690		NR_106975	ENSG00000283492	MIR7153	hsa-mir-7153|mir-7153	microRNA 7153	ncRNA
0-352	chr19	46070987	46070987	+	0	NA	intron (NM_025136, intron 1 of 1)	intron (NM_025136, intron 1 of 1)	17135	NM_025136	80207	Hs.466945	NM_025136	ENSG00000125741	OPA3	MGA3	OPA3, outer mitochondrial membrane lipid metabolism regulator	protein-coding
0-486	chr2	184972523	184972523	+	0	NA	Intergenic	L1PA5|LINE|L1	-271179	NR_039638	100616305		NR_039638	ENSG00000266808	MIR548AE1	-	microRNA 548ae-1	ncRNA
0-448	chr1	18787020	18787020	+	0	NA	Intergenic	Intergenic	-20404	NM_152375	127707	Hs.406913	NM_152375	ENSG00000179023	KLHDC7A	-	kelch domain containing 7A	protein-coding
0-383	chr16	81412784	81412784	+	0	NA	3' UTR (NM_022041, exon 11 of 11)	3' UTR (NM_022041, exon 11 of 11)	-5839	NR_039871	100616150		NR_039871	ENSG00000261609	MIR4720	-	microRNA 4720	ncRNA
0-320	chr15	80915984	80915984	+	0	NA	Intergenic	L1MB8|LINE|L1	42540	NR_049837	100847042		NR_049837	ENSG00000172379	MIR5572	-	microRNA 5572	ncRNA
0-42	chrX	148222599	148222599	+	0	NA	Intergenic	Intergenic	364285	NM_001166550	3423	Hs.6795	NM_000202	ENSG00000010404	IDS	MPS2|SIDS	iduronate 2-sulfatase	protein-coding
0-208	chr2	198761080	198761080	+	0	NA	intron (NM_006226, intron 1 of 5)	intron (NM_006226, intron 1 of 5)	91654	NM_006226	5334	Hs.153322	NM_006226	ENSG00000115896	PLCL1	PLCE|PLCL|PLDL1|PPP1R127|PRIP	phospholipase C like 1	protein-coding
0-251	chr5	143202965	143202965	+	0	NA	Intergenic	L2c|LINE|L2	11239	NM_021182	57824	Hs.158320	NM_021182	ENSG00000158497	HMHB1	HB-1|HB-1Y|HLA-HB1	histocompatibility minor HB-1	protein-coding
0-65	chr1	42001297	42001297	+	0	NA	intron (NM_001127714, intron 4 of 7)	intron (NM_001127714, intron 4 of 7)	-50943	NM_001956	1907	Hs.1407	NM_001956	ENSG00000127129	EDN2	ET-2|ET2|PPET2	endothelin 2	protein-coding
0-165	chr2	11591146	11591146	+	0	NA	intron (NM_212540, intron 4 of 6)	intron (NM_212540, intron 4 of 6)	15157	NM_001278276	1876	Hs.603093	NM_198256	ENSG00000169016	E2F6	E2F-6	E2F transcription factor 6	protein-coding
0-2	chr13	109323926	109323926	+	0	NA	intron (NM_001198950, intron 2 of 34)	intron (NM_001198950, intron 2 of 34)	42355	NM_001198950	23026	Hs.656587	NM_015011	ENSG00000041515	MYO16	MYAP3|MYR8|Myo16b|NYAP3|PPP1R107	myosin XVI	protein-coding
0-432	chr17	3301252	3301252	+	0	NA	exon (NM_003553, exon 1 of 1)	exon (NM_003553, exon 1 of 1)	452	NM_003553	8387	Hs.278485	NM_003553	ENSG00000180016	OR1E1	HGM071|OR13-66|OR17-2|OR17-32|OR1E5|OR1E6|OR1E8P|OR1E9P|OST547	olfactory receptor family 1 subfamily E member 1	protein-coding
0-235	chr12	89032246	89032246	+	0	NA	Intergenic	Intergenic	-57996	NM_000899	4254	Hs.1048	NM_000899	ENSG00000049130	KITLG	DCUA|DFNA69|FPH2|FPHH|KL-1|Kitl|MGF|SCF|SF|SHEP7	KIT ligand	protein-coding
0-4	chr3	184783432	184783432	+	0	NA	Intergenic	MSTA|LTR|ERVL-MaLR	87370	NM_001025266	285382	Hs.380048	NM_001025266	ENSG00000187068	C3orf70	-	chromosome 3 open reading frame 70	protein-coding
0-368	chr15	62546732	62546732	+	0	NA	Intergenic	Intergenic	-5738	NR_136885	255180	Hs.370479	NM_173805		GOLGA2P11	-	golgin A2 pseudogene 11	pseudo
0-94	chr11	106763856	106763856	+	0	NA	intron (NM_001256424, intron 4 of 8)	intron (NM_001256424, intron 4 of 8)	125315	NM_000855	2977	Hs.24321	NM_000855	ENSG00000152402	GUCY1A2	GC-SA2|GUC1A2	guanylate cyclase 1 soluble subunit alpha 2	protein-coding
0-349	chr1	65121133	65121133	+	0	NA	intron (NM_001293274, intron 11 of 25)	intron (NM_001293274, intron 11 of 25)	75603	NR_039957	100616338		NR_039957	ENSG00000264470	MIR4794	-	microRNA 4794	ncRNA
0-329	chr2	215937020	215937020	+	0	NA	intron (NR_103740, intron 2 of 54)	intron (NR_103740, intron 2 of 54)	-40210	NM_015657	26154	Hs.134585	NM_015657	ENSG00000144452	ABCA12	ARCI4A|ARCI4B|ICR2B|LI2	ATP binding cassette subfamily A member 12	protein-coding
0-438	chr5	26597763	26597763	+	0	NA	Intergenic	L1MB3|LINE|L1	440926	NM_016279	1007	Hs.272212	NM_016279	ENSG00000113100	CDH9	-	cadherin 9	protein-coding
0-115	chr6	163211500	163211500	+	0	NA	intron (NM_001080379, intron 1 of 4)	intron (NM_001080379, intron 1 of 4)	62498	NM_001080379	135138	Hs.25791	NM_152410	ENSG00000112530	PACRG	GLUP|HAK005771|PARK2CRG	PARK2 coregulated	protein-coding
0-296	chr1	5555343	5555343	+	0	NA	Intergenic	Intergenic	-68788	NR_039612	100616489		NR_039612	ENSG00000264341	MIR4417	mir-4417	microRNA 4417	ncRNA
0-130	chr9	99232378	99232378	+	0	NA	intron (NM_014282, intron 4 of 7)	AluJb|SINE|Alu	19941	NM_014282	22927	Hs.494567	NM_014282	ENSG00000130956	HABP4	IHABP-4|IHABP4|Ki-1/57|SERBP1L	hyaluronan binding protein 4	protein-coding
0-147	chr3	33061536	33061536	+	0	NA	intron (NM_001079811, intron 12 of 15)	intron (NM_001079811, intron 12 of 15)	68470	NM_005508	1233	Hs.184926	NM_005508	ENSG00000183813	CCR4	CC-CKR-4|CD194|CKR4|CMKBR4|ChemR13|HGCN:14099|K5-5	C-C motif chemokine receptor 4	protein-coding
0-8	chr9	120362125	120362125	+	0	NA	Intergenic	AluJo|SINE|Alu	-48759	NR_109806	101928797	Hs.382317	NR_109806	ENSG00000233569	LOC101928797	-	uncharacterized LOC101928797	ncRNA
0-493	chr6	4960500	4960500	+	0	NA	Intergenic	L1MB7|LINE|L1	-43550	NR_126016	100129461	Hs.131700	NR_126015	ENSG00000272142	LYRM4-AS1	-	LYRM4 antisense RNA 1	ncRNA
0-32	chr13	19530372	19530372	+	0	NA	Intergenic	(TCCA)n|Simple_repeat|Simple_repeat	50793	NR_104118	100652856	Hs.549878	NR_104118		LINC00408	-	long intergenic non-protein coding RNA 408	ncRNA
0-232	chr16	80675259	80675259	+	0	NA	intron (NM_152342, intron 2 of 6)	L1MA2|LINE|L1	-68554	NR_104666	101928276	Hs.149769	NR_104665	ENSG00000260737	LINC01227	-	long intergenic non-protein coding RNA 1227	ncRNA
0-384	chr11	121188619	121188619	+	0	NA	Intergenic	Intergenic	25042	NM_001024956	6309	Hs.287749	NM_006918	ENSG00000109929	SC5D	ERG3|S5DES|SC5DL	sterol-C5-desaturase	protein-coding
0-131	chr3	174101257	174101257	+	0	NA	Intergenic	Intergenic	-462671	NR_046664	100874010	Hs.624265	NR_046664	ENSG00000228213	NLGN1-AS1	-	NLGN1 antisense RNA 1	ncRNA
0-79	chr6	37897613	37897613	+	0	NA	intron (NM_021943, intron 1 of 5)	intron (NM_021943, intron 1 of 5)	110306	NM_021943	60685	Hs.36959	NM_021943	ENSG00000156639	ZFAND3	TEX27	zinc finger AN1-type containing 3	protein-coding
0-28	chr7	28884545	28884545	+	0	NA	Intergenic	Intergenic	113484	NM_014817	9865	Hs.744120	NM_014817	ENSG00000255690	TRIL	-	TLR4 interactor with leucine rich repeats	protein-coding
0-311	chr16	605430	605430	+	0	NA	TTS (NM_005632)	TTS (NM_005632)	-4992	NM_145270	146325	Hs.632220	NM_145270	ENSG00000161992	PRR35	C16orf11|LA16c-366D1.2	proline rich 35	protein-coding
