Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1	52919604	52919604	+	0	NA	"intron (NM_015269, intron 20 of 29)"	L1MC1|LINE|L1	49385	NM_032864	84950	Hs.5301	NM_032284	ENSG00000134748	PRPF38A	PRP38A|Prp38	pre-mRNA processing factor 38A	protein-coding
chr10	78211243	78211243	+	0	NA	"intron (NR_131178, intron 7 of 7)"	AluY|SINE|Alu	-436559	NR_120655	101929328	Hs.664552	NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
chr1	41016771	41016771	+	0	NA	Intergenic	Intergenic	19538	NM_152373	127396	Hs.524767	NM_152373	ENSG00000117010	ZNF684	-	zinc finger protein 684	protein-coding
chr1	80823906	80823906	+	0	NA	Intergenic	Intergenic	-177534	NR_125941	101927412	Hs.171273	NR_125940	ENSG00000234184	LINC01781	-	long intergenic non-protein coding RNA 1781	ncRNA
chr1	62285288	62285288	+	0	NA	"intron (NM_176877, intron 14 of 42)"	"intron (NM_176877, intron 14 of 42)"	77139	NM_176877	10207	Hs.478125	NM_005799	ENSG00000132849	PATJ	Cipp|INADL|InaD-like|hINADL	"PATJ, crumbs cell polarity complex component"	protein-coding
chr10	75904753	75904753	+	0	NA	"intron (NM_207012, intron 1 of 9)"	"intron (NM_207012, intron 1 of 9)"	5796	NM_001320264	26985	Hs.500104	NM_012095	ENSG00000185009	AP3M1	-	adaptor related protein complex 3 mu 1 subunit	protein-coding
chr1	191684969	191684969	+	0	NA	Intergenic	L2a|LINE|L2	-442623	NM_130782	64407	Hs.440890	NM_130782	ENSG00000150681	RGS18	RGS13	regulator of G-protein signaling 18	protein-coding
chr1	59136945	59136945	+	0	NA	"intron (NM_001085487, intron 12 of 19)"	MIR|SINE|MIR	28802	NM_001085487	114803	Hs.744921	NM_001085487	ENSG00000162601	MYSM1	2A-DUB|2ADUB	"Myb like, SWIRM and MPN domains 1"	protein-coding
chr10	59466546	59466546	+	0	NA	Intergenic	Intergenic	-402227	NR_037490	100500834		NR_037490	ENSG00000264747	MIR3924	-	microRNA 3924	ncRNA
chr10	123904597	123904597	+	0	NA	"intron (NM_206862, intron 7 of 22)"	"intron (NM_206862, intron 7 of 22)"	-18344	NM_206860	10579	Hs.501252	NM_006997	ENSG00000138162	TACC2	AZU-1|ECTACC	transforming acidic coiled-coil containing protein 2	protein-coding
chr1	196858774	196858774	+	0	NA	"intron (NM_001201551, intron 1 of 9)"	"intron (NM_001201551, intron 1 of 9)"	1630	NM_001201551	10877	Hs.710100	NM_006684	ENSG00000134365	CFHR4	CFHL4|FHR-4|FHR4	complement factor H related 4	protein-coding
chr1	226380082	226380082	+	0	NA	Intergenic	Intergenic	-5659	NM_022735	64746	Hs.520207	NM_022735	ENSG00000182827	ACBD3	GCP60|GOCAP1|GOLPH1|PAP7	acyl-CoA binding domain containing 3	protein-coding
chr1	42282008	42282008	+	0	NA	"intron (NM_024503, intron 1 of 8)"	"intron (NM_024503, intron 1 of 8)"	102370	NM_001127714	59269	Hs.403972	NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
chr1	228432082	228432082	+	0	NA	"exon (NM_052843, exon 11 of 81)"	"exon (NM_052843, exon 11 of 81)"	-30717	NR_073154	574407	Hs.650039	NM_001025495	ENSG00000162913	C1orf145	-	chromosome 1 open reading frame 145	ncRNA
chr10	55107765	55107765	+	0	NA	Intergenic	Intergenic	-576305	NM_000242	4153	Hs.499674	NM_000242	ENSG00000165471	MBL2	COLEC1|HSMBPC|MBL|MBL2D|MBP|MBP-C|MBP1|MBPD	mannose binding lectin 2	protein-coding
chr10	12079329	12079329	+	0	NA	"intron (NM_080599, intron 1 of 21)"	AluJb|SINE|Alu	5511	NM_015542	26019	Hs.370689	NM_015542	ENSG00000151461	UPF2	HUPF2|RENT2|smg-3	UPF2 regulator of nonsense transcripts homolog (yeast)	protein-coding
chr1	53874490	53874490	+	0	NA	Intergenic	Intergenic	31203	NR_002314	163742	Hs.99394	NR_002314	ENSG00000236253	SLC25A3P1	-	solute carrier family 25 member 3 pseudogene 1	pseudo
chr1	190478628	190478628	+	0	NA	Intergenic	Intergenic	30947	NR_110717	101929120	Hs.602301	NR_110716		LINC01351	-	long intergenic non-protein coding RNA 1351	ncRNA
chr1	122591694	122591694	+	0	NA	Intergenic	Intergenic	1330784	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chr1	21358601	21358601	+	0	NA	"intron (NM_001198803, intron 4 of 12)"	"intron (NM_001198803, intron 4 of 12)"	-43676	NR_031657	100302155		NR_031657	ENSG00000221808	MIR1256	MIRN1256|hsa-mir-1256	microRNA 1256	ncRNA
chr10	101757947	101757947	+	0	NA	"intron (NM_015221, intron 1 of 16)"	AluSc8|SINE|Alu	11763	NM_015221	23268	Hs.500771	NM_015221	ENSG00000107554	DNMBP	ARHGEF36|TUBA	dynamin binding protein	protein-coding
chr10	45168968	45168968	+	0	NA	Intergenic	Intergenic	-237796	NM_001123376	643236	Hs.292788	NM_001123376	ENSG00000187783	TMEM72	C10orf127|KSP37	transmembrane protein 72	protein-coding
chr1	20526322	20526322	+	0	NA	Intergenic	Intergenic	-13343	NR_110078	101928017	Hs.550803	NR_110078	ENSG00000225986	UBXN10-AS1	-	UBXN10 antisense RNA 1	ncRNA
chr10	103668560	103668560	+	0	NA	"intron (NM_024541, intron 23 of 25)"	AluSq2|SINE|Alu	-64883	NM_173192	30819	Hs.97044	NM_014591	ENSG00000120049	KCNIP2	KCHIP2	potassium voltage-gated channel interacting protein 2	protein-coding
chr1	224965541	224965541	+	0	NA	Intergenic	Intergenic	-151815	NM_001145154	127602	Hs.133977	NM_001373	ENSG00000185842	DNAH14	C1orf67|Dnahc14|HL-18|HL18	dynein axonemal heavy chain 14	protein-coding
chr1	207826602	207826602	+	0	NA	"intron (NM_175710, intron 1 of 11)"	"intron (NM_175710, intron 1 of 11)"	8144	NM_175710	1379	Hs.628568	NM_175710	ENSG00000197721	CR1L	-	complement C3b/C4b receptor 1 like	protein-coding
chr1	80816842	80816842	+	0	NA	Intergenic	Intergenic	-184598	NR_125941	101927412	Hs.171273	NR_125940	ENSG00000234184	LINC01781	-	long intergenic non-protein coding RNA 1781	ncRNA
chr1	207911239	207911239	+	0	NA	Intergenic	Intergenic	-14144	NM_172353	4179	Hs.510402	NM_002389	ENSG00000117335	CD46	AHUS2|MCP|MIC10|TLX|TRA2.10	CD46 molecule	protein-coding
chr1	155689370	155689370	+	0	NA	"intron (NM_001199850, intron 3 of 11)"	AluSg7|SINE|Alu	-26189	NR_024117	100129405	Hs.656361	NR_024117		MSTO2P	MSTO2	"misato family member 2, pseudogene"	pseudo
chr1	98186221	98186221	+	0	NA	"3' UTR (NM_001160301, exon 6 of 6)"	"3' UTR (NM_001160301, exon 6 of 6)"	-76256	NR_046591	100873933	Hs.568669	NR_046591	ENSG00000235777	DPYD-AS2	-	DPYD antisense RNA 2	ncRNA
chr1	214679244	214679244	+	0	NA	"intron (NM_005401, intron 1 of 18)"	AluJo|SINE|Alu	45780	NM_005401	5784	Hs.193557	NM_005401	ENSG00000152104	PTPN14	PEZ|PTP36	"protein tyrosine phosphatase, non-receptor type 14"	protein-coding
chr1	59117009	59117009	+	0	NA	Intergenic	L2a|LINE|L2	48738	NM_001085487	114803	Hs.744921	NM_001085487	ENSG00000162601	MYSM1	2A-DUB|2ADUB	"Myb like, SWIRM and MPN domains 1"	protein-coding
chr1	246023698	246023698	+	0	NA	"intron (NM_001167740, intron 9 of 11)"	"intron (NM_001167740, intron 9 of 11)"	557016	NM_022743	64754	Hs.567571	NM_022743	ENSG00000185420	SMYD3	KMT3E|ZMYND1|ZNFN3A1|bA74P14.1	SET and MYND domain containing 3	protein-coding
chr1	166037329	166037329	+	0	NA	"intron (NM_001320302, intron 1 of 1)"	"intron (NM_001320302, intron 1 of 1)"	86706	NR_030626	100126349		NR_030626	ENSG00000215952	MIR921	MIRN921|hsa-mir-921	microRNA 921	ncRNA
chr1	98280160	98280160	+	0	NA	"intron (NM_001160301, intron 3 of 5)"	L2|LINE|L2	17683	NR_046591	100873933	Hs.568669	NR_046591	ENSG00000235777	DPYD-AS2	-	DPYD antisense RNA 2	ncRNA
chr1	205213379	205213379	+	0	NA	"intron (NM_014858, intron 2 of 4)"	L2c|LINE|L2	-2245	NM_001297611	9911	Hs.6360	NM_014858	ENSG00000133069	TMCC2	HUCEP11	transmembrane and coiled-coil domain family 2	protein-coding
chr1	36714359	36714359	+	0	NA	"intron (NM_001321471, intron 2 of 12)"	"intron (NM_001321471, intron 2 of 12)"	24342	NM_005119	9967	Hs.744057	NM_005119	ENSG00000054118	THRAP3	TRAP150	thyroid hormone receptor associated protein 3	protein-coding
chr1	124714345	124714345	+	0	NA	Intergenic	Intergenic	3453435	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chr1	4945737	4945737	+	0	NA	Intergenic	Intergenic	230632	NM_018836	55966	Hs.12473	NM_018836	ENSG00000196581	AJAP1	MOT8|SHREW-1|SHREW1	adherens junctions associated protein 1	protein-coding
chr1	22689020	22689020	+	0	NA	Intergenic	Intergenic	-89324	NM_014870	9923	Hs.418966	NM_014870	ENSG00000184677	ZBTB40	ZNF923	zinc finger and BTB domain containing 40	protein-coding
chr1	52207292	52207292	+	0	NA	"intron (NM_148909, intron 5 of 23)"	"intron (NM_148909, intron 5 of 23)"	11806	NM_148904	114883	Hs.21938	NM_024586	ENSG00000117859	OSBPL9	ORP-9|ORP9	oxysterol binding protein like 9	protein-coding
chr1	47933074	47933074	+	0	NA	Intergenic	Intergenic	-30085	NR_126355	102724077	Hs.159718	NR_126355		LINC01389	-	long intergenic non-protein coding RNA 1389	ncRNA
chr10	70800672	70800672	+	0	NA	Intergenic	Intergenic	-46530	NM_001321053	5552	Hs.1908	NM_002727	ENSG00000122862	SRGN	PPG|PRG|PRG1	serglycin	protein-coding
chr10	3912137	3912137	+	0	NA	Intergenic	MLT2D|LTR|ERVL	35995	NR_134490	105376365	Hs.460114	NR_134490	ENSG00000230573	LOC105376365	-	uncharacterized LOC105376365	ncRNA
chr1	205906228	205906228	+	0	NA	"intron (NM_134325, intron 1 of 21)"	MIRc|SINE|MIR	6360	NM_052934	115019	Hs.164073	NM_052934	ENSG00000174502	SLC26A9	-	solute carrier family 26 member 9	protein-coding
chr10	27108234	27108234	+	0	NA	"intron (NM_001012750, intron 2 of 10)"	L1ME1|LINE|L1	41782	NM_001178121	10006	Hs.508148	NM_005470	ENSG00000136754	ABI1	ABI-1|ABLBP4|E3B1|NAP1BP|SSH3BP|SSH3BP1	abl interactor 1	protein-coding
chr1	207818971	207818971	+	0	NA	"intron (NM_175710, intron 1 of 11)"	"intron (NM_175710, intron 1 of 11)"	513	NM_175710	1379	Hs.628568	NM_175710	ENSG00000197721	CR1L	-	complement C3b/C4b receptor 1 like	protein-coding
chr1	147849620	147849620	+	0	NA	"intron (NM_001037501, intron 18 of 19)"	AluJo|SINE|Alu	-10814	NR_106967	102466225		NR_106967	ENSG00000278596	MIR6077	MIR6077-1|MIR6077-2|hsa-mir-6077|hsa-mir-6077-1|hsa-mir-6077-2	microRNA 6077	ncRNA
chr1	107826514	107826514	+	0	NA	"intron (NM_001330665, intron 2 of 6)"	"intron (NM_001330665, intron 2 of 6)"	135823	NM_001113226	22854	Hs.133046	NM_014917	ENSG00000162631	NTNG1	Lmnt1	netrin G1	protein-coding
chr1	41249065	41249065	+	0	NA	promoter-TSS (NM_172163)	promoter-TSS (NM_172163)	-619	NM_004700	9132	Hs.473058	NM_004700	ENSG00000117013	KCNQ4	DFNA2|DFNA2A|KV7.4	potassium voltage-gated channel subfamily Q member 4	protein-coding
chr10	132473325	132473325	+	0	NA	Intergenic	Intergenic	287606	NR_036180	100422867		NR_036180	ENSG00000264803	MIR378C	mir-378c	microRNA 378c	ncRNA
chr1	25622022	25622022	+	0	NA	"intron (NM_001282867, intron 3 of 9)"	L2|LINE|L2	23045	NM_001282868	6007	Hs.449968	NM_016124	ENSG00000187010	RHD	CD240D|DIIIc|RH|RH30|RHCED|RHDVA(TT)|RHDel|RHPII|RHXIII|Rh4|RhDCw|RhII|RhK562-II|RhPI	Rh blood group D antigen	protein-coding
chr1	197125603	197125603	+	0	NA	"non-coding (NR_135153, exon 11 of 11)"	"non-coding (NR_135153, exon 11 of 11)"	-9779	NM_018136	259266	Hs.121028	NM_018136	ENSG00000066279	ASPM	ASP|Calmbp1|MCPH5	abnormal spindle microtubule assembly	protein-coding
chr11	103679177	103679177	+	0	NA	Intergenic	Intergenic	-41457	NR_039842	100616457		NR_039842	ENSG00000264200	MIR4693	-	microRNA 4693	ncRNA
chr10	68851932	68851932	+	0	NA	"intron (NR_111909, intron 2 of 2)"	"intron (NR_111909, intron 2 of 2)"	79908	NR_111909	347731	Hs.652155	NM_178011	ENSG00000198739	LRRTM3	-	leucine rich repeat transmembrane neuronal 3	protein-coding
chr10	23189670	23189670	+	0	NA	Intergenic	MSTB1|LTR|ERVL-MaLR	-27283	NM_001282746	219681	Hs.659807	NM_173081	ENSG00000165309	ARMC3	CT81|KU-CT-1	armadillo repeat containing 3	protein-coding
chr1	246439764	246439764	+	0	NA	"intron (NM_001167740, intron 5 of 11)"	MIR|SINE|MIR	140950	NM_022743	64754	Hs.567571	NM_022743	ENSG00000185420	SMYD3	KMT3E|ZMYND1|ZNFN3A1|bA74P14.1	SET and MYND domain containing 3	protein-coding
chr1	226789247	226789247	+	0	NA	"intron (NM_001003665, intron 3 of 3)"	"intron (NM_001003665, intron 3 of 3)"	52746	NM_001003665	375057	Hs.116827	NM_001003665	ENSG00000203685	STUM	C1orf95	"stum, mechanosensory transduction mediator homolog"	protein-coding
chr10	66487524	66487524	+	0	NA	Intergenic	MER11C|LTR|ERVK	-97761	NR_001446	305	Hs.591361	NR_001446		ANXA2P3	ANX2L3|ANX2P3|LIP2|LPC2C	annexin A2 pseudogene 3	pseudo
chr1	204281893	204281893	+	0	NA	"intron (NM_014935, intron 1 of 22)"	"intron (NM_014935, intron 1 of 22)"	47164	NM_014935	22874	Hs.253146	NM_014935	ENSG00000143850	PLEKHA6	PEPP-3|PEPP3	pleckstrin homology domain containing A6	protein-coding
chr1	229433541	229433541	+	0	NA	"intron (NM_001271998, intron 3 of 5)"	"intron (NM_001271998, intron 3 of 5)"	-6588	NM_006542	10638	Hs.296169	NM_006542	ENSG00000213029	SPHAR	-	S-phase response (cyclin related)	protein-coding
chr1	157524125	157524125	+	0	NA	Intergenic	L1M5|LINE|L1	-1815	NM_001195388	83416	Hs.415950	NM_031281	ENSG00000143297	FCRL5	BXMAS1|CD307|CD307e|FCRH5|IRTA2|PRO820	Fc receptor like 5	protein-coding
chr1	113121482	113121482	+	0	NA	"intron (NM_138729, intron 9 of 13)"	"intron (NM_138729, intron 9 of 13)"	40279	NM_001308264	54879	Hs.201921	NM_017744	ENSG00000007341	ST7L	FAM4B|ST7R|STLR	suppression of tumorigenicity 7 like	protein-coding
chr10	131215228	131215228	+	0	NA	Intergenic	Intergenic	-50220	NM_002412	4255	Hs.501522	NM_002412	ENSG00000170430	MGMT	-	O-6-methylguanine-DNA methyltransferase	protein-coding
chr1	45667501	45667501	+	0	NA	"intron (NM_020883, intron 1 of 13)"	"intron (NM_020883, intron 1 of 13)"	4749	NM_020883	57643	Hs.656613	NM_020883	ENSG00000162415	ZSWIM5	-	zinc finger SWIM-type containing 5	protein-coding
chr10	109773502	109773502	+	0	NA	"intron (NR_125760, intron 4 of 4)"	L1ME3C|LINE|L1	55549	NR_125760	103695365	Hs.648991	NR_125760	ENSG00000229981	LINC01435	TCONS_00018040	long intergenic non-protein coding RNA 1435	ncRNA
chr10	22738536	22738536	+	0	NA	Intergenic	Intergenic	-11678	NR_036533	100499489	Hs.7444	NR_036533		LOC100499489	-	uncharacterized LOC100499489	ncRNA
chr1	74140631	74140631	+	0	NA	Intergenic	Intergenic	368778	NR_110677	101927295	Hs.436589	NR_110676	ENSG00000233973	LINC01360	-	long intergenic non-protein coding RNA 1360	ncRNA
chr1	234628276	234628276	+	0	NA	Intergenic	MLT1A0|LTR|ERVL-MaLR	-13427	NM_005646	6894	Hs.498115	NM_005646	ENSG00000059588	TARBP1	TRM3|TRP-185|TRP185	TAR (HIV-1) RNA binding protein 1	protein-coding
chr1	181193872	181193872	+	0	NA	Intergenic	Intergenic	-11652	NR_046249	100287948	Hs.742594	NR_046249	ENSG00000179452	LINC01699	GM140	long intergenic non-protein coding RNA 1699	ncRNA
chr1	124776556	124776556	+	0	NA	Intergenic	Intergenic	3515646	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chr1	70540562	70540562	+	0	NA	"intron (NM_001330635, intron 23 of 26)"	AT_rich|Low_complexity|Low_complexity	130799	NM_017768	55631	Hs.147836	NM_017768	ENSG00000066557	LRRC40	dJ677H15.1	leucine rich repeat containing 40	protein-coding
chr1	241650515	241650515	+	0	NA	Intergenic	L1MC4a|LINE|L1	32570	NM_000143	2271	Hs.592490	NM_000143	ENSG00000091483	FH	FMRD|HLRCC|LRCC|MCL|MCUL1	fumarate hydratase	protein-coding
chr1	168465887	168465887	+	0	NA	Intergenic	MIR3|SINE|MIR	-1005	NR_125956	101928565	Hs.563806	NR_125956	ENSG00000228697	LOC101928565	-	uncharacterized LOC101928565	ncRNA
chr10	101062902	101062902	+	0	NA	Intergenic	MER66-int|LTR|ERV1	-25954	NM_001345888	26507	Hs.274579	NM_020348	ENSG00000119946	CNNM1	ACDP1|CLP-1	cyclin and CBS domain divalent metal cation transport mediator 1	protein-coding
chr1	13449672	13449672	+	0	NA	"exon (NM_001024661, exon 3 of 4)"	"exon (NM_001024661, exon 3 of 4)"	2984	NM_001024661	729528	Hs.531192	NM_001024661	ENSG00000204481	PRAMEF14	-	PRAME family member 14	protein-coding
chr10	58645365	58645365	+	0	NA	Intergenic	Intergenic	418954	NR_037490	100500834		NR_037490	ENSG00000264747	MIR3924	-	microRNA 3924	ncRNA
chr10	36276961	36276961	+	0	NA	Intergenic	Intergenic	209731	NR_110138	102578074		NR_110138	ENSG00000280719	PCAT5	LINC01452|TPCAT-10-36067	prostate cancer associated transcript 5 (non-protein coding)	ncRNA
chr1	112399667	112399667	+	0	NA	promoter-TSS (NR_046783)	promoter-TSS (NR_046783)	-140	NR_046783	100874295	Hs.738190	NR_046783	ENSG00000232558	KCND3-IT1	-	KCND3 intronic transcript 1	ncRNA
chr10	23155340	23155340	+	0	NA	Intergenic	Intergenic	-61613	NM_001282746	219681	Hs.659807	NM_173081	ENSG00000165309	ARMC3	CT81|KU-CT-1	armadillo repeat containing 3	protein-coding
chr1	153591303	153591303	+	0	NA	TTS (NM_005979)	TTS (NM_005979)	-2495	NM_020672	57402	Hs.288998	NM_020672	ENSG00000189334	S100A14	BCMP84|S100A15	S100 calcium binding protein A14	protein-coding
chr1	207776338	207776338	+	0	NA	"intron (NM_000651, intron 35 of 46)"	L1ME4a|LINE|L1	-42120	NM_175710	1379	Hs.628568	NM_175710	ENSG00000197721	CR1L	-	complement C3b/C4b receptor 1 like	protein-coding
chr1	223799910	223799910	+	0	NA	"intron (NM_001143962, intron 10 of 16)"	"intron (NM_001143962, intron 10 of 16)"	53526	NM_001143962	388743	Hs.291487	NM_001143962	ENSG00000203697	CAPN8	nCL-2	calpain 8	protein-coding
chr10	86623851	86623851	+	0	NA	Intergenic	MER5B|DNA|hAT-Charlie	334810	NR_120668	101929624	Hs.588831	NR_120667	ENSG00000237267	LINC01519	-	long intergenic non-protein coding RNA 1519	ncRNA
chr1	94796724	94796724	+	0	NA	Intergenic	Intergenic	-83408	NM_001328664	9411	Hs.483238	NM_004815	ENSG00000137962	ARHGAP29	PARG1	Rho GTPase activating protein 29	protein-coding
chr1	206458524	206458524	+	0	NA	Intergenic	Intergenic	-57676	NM_001170637	23380	Hs.497575	NM_015326	ENSG00000266028	SRGAP2	ARHGAP34|FNBP2|SRGAP2A|SRGAP3	SLIT-ROBO Rho GTPase activating protein 2	protein-coding
chr1	92670092	92670092	+	0	NA	Intergenic	Intergenic	-13481	NM_001012425	388649	Hs.558823	NM_001012425	ENSG00000203910	C1orf146	-	chromosome 1 open reading frame 146	protein-coding
chr10	7905709	7905709	+	0	NA	"intron (NM_031923, intron 2 of 6)"	(TA)n|Simple_repeat|Simple_repeat	45242	NM_031923	83860	Hs.527688	NM_031923	ENSG00000165632	TAF3	TAF140|TAFII-140|TAFII140	TATA-box binding protein associated factor 3	protein-coding
chr1	150496010	150496010	+	0	NA	Intergenic	AluSx|SINE|Alu	7777	NR_051960	100874054	Hs.576460	NR_051960	ENSG00000228126	FALEC	FAL1|LINC00568|ncRNA-a1	focally amplified long non-coding RNA in epithelial cancer	ncRNA
chr1	96833635	96833635	+	0	NA	"intron (NR_110693, intron 1 of 5)"	Tigger3b|DNA|TcMar-Tigger	6046	NR_110693	101928241	Hs.514137	NR_110693	ENSG00000231987	LINC01787	-	long intergenic non-protein coding RNA 1787	ncRNA
chr10	34492845	34492845	+	0	NA	"intron (NM_001184785, intron 22 of 24)"	"intron (NM_001184785, intron 22 of 24)"	-431237	NR_038932	100505583	Hs.568804	NR_038932	ENSG00000261683	LINC00838	-	long intergenic non-protein coding RNA 838	ncRNA
chr1	17874687	17874687	+	0	NA	"intron (NM_018125, intron 1 of 28)"	MER34A|LTR|ERV1	8357	NR_137288	55160	Hs.443460	NM_018125	ENSG00000074964	ARHGEF10L	GrinchGEF	Rho guanine nucleotide exchange factor 10 like	protein-coding
chr10	89019038	89019038	+	0	NA	"intron (NR_024397, intron 4 of 5)"	L1PA10|LINE|L1	33833	NM_001099338	728118	Hs.710565	NM_001099338	ENSG00000184923	NUTM2A	FAM22A	NUT family member 2A	protein-coding
chr1	241794798	241794798	+	0	NA	"3' UTR (NM_001821, exon 1 of 1)"	"3' UTR (NM_001821, exon 1 of 1)"	4434	NM_001821	1122	Hs.654545	NM_001821	ENSG00000203668	CHML	REP2	"CHM like, Rab escort protein 2"	protein-coding
chr1	208098927	208098927	+	0	NA	Intergenic	MLT1G|LTR|ERVL-MaLR	-14244	NM_001773	947	Hs.374990	NM_001773	ENSG00000174059	CD34	-	CD34 molecule	protein-coding
chr10	51944063	51944063	+	0	NA	Intergenic	Intergenic	64307	NM_019893	56624	Hs.512645	NM_019893	ENSG00000188611	ASAH2	BCDase|HNAC1|LCDase|N-CDase|NCDase	N-acylsphingosine amidohydrolase 2	protein-coding
chr1	54126212	54126212	+	0	NA	"intron (NM_147193, intron 1 of 9)"	"intron (NM_147193, intron 1 of 9)"	73665	NM_147193	148979	Hs.306691	NM_147193	ENSG00000174332	GLIS1	-	GLIS family zinc finger 1	protein-coding
chr10	65997957	65997957	+	0	NA	Intergenic	Intergenic	-587328	NR_001446	305	Hs.591361	NR_001446		ANXA2P3	ANX2L3|ANX2P3|LIP2|LPC2C	annexin A2 pseudogene 3	pseudo
chr1	203819284	203819284	+	0	NA	"intron (NM_001319238, intron 17 of 19)"	"intron (NM_001319238, intron 17 of 19)"	-11429	NM_001304464	6635	Hs.334612	NM_003094	ENSG00000182004	SNRPE	HYPT11|SME|Sm-E|snRNP-E	small nuclear ribonucleoprotein polypeptide E	protein-coding
chr1	208099332	208099332	+	0	NA	Intergenic	AT_rich|Low_complexity|Low_complexity	-14649	NM_001773	947	Hs.374990	NM_001773	ENSG00000174059	CD34	-	CD34 molecule	protein-coding
chr1	6011375	6011375	+	0	NA	"intron (NM_001291593, intron 6 of 26)"	"intron (NM_001291593, intron 6 of 26)"	-40983	NM_001199861	8514	Hs.440497	NM_003636	ENSG00000069424	KCNAB2	AKR6A5|HKvbeta2|HKvbeta2.1|HKvbeta2.2|KCNA2B|KV-BETA-2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	protein-coding
chr10	75267903	75267903	+	0	NA	TTS (NR_132103)	TTS (NR_132103)	-12121	NM_001142353	5532	Hs.500067	NM_021132	ENSG00000107758	PPP3CB	CALNA2|CALNB|CNA2|PP2Bbeta	protein phosphatase 3 catalytic subunit beta	protein-coding
chr10	99901377	99901377	+	0	NA	"intron (NM_001256620, intron 1 of 8)"	MLT1G3|LTR|ERVL-MaLR	6996	NM_138469	27291	Hs.419800	NM_014472	ENSG00000166024	R3HCC1L	C10orf28|GIDRP86|GIDRP88|PSORT	R3H domain and coiled-coil containing 1 like	protein-coding
chr1	13922227	13922227	+	0	NA	"intron (NM_001006625, intron 1 of 5)"	"intron (NM_001006625, intron 1 of 5)"	10260	NM_001006624	10630	Hs.468675	NM_006474	ENSG00000162493	PDPN	AGGRUS|GP36|GP40|Gp38|HT1A-1|OTS8|PA2.26|T1A|T1A-2|T1A2|TI1A	podoplanin	protein-coding
chr1	13892865	13892865	+	0	NA	Intergenic	HERVH-int|LTR|ERV1	-17387	NM_006474	10630	Hs.468675	NM_006474	ENSG00000162493	PDPN	AGGRUS|GP36|GP40|Gp38|HT1A-1|OTS8|PA2.26|T1A|T1A-2|T1A2|TI1A	podoplanin	protein-coding
chr10	35464410	35464410	+	0	NA	promoter-TSS (NM_001267567)	promoter-TSS (NM_001267567)	-105	NM_182770	1390	Hs.200250	NM_001881	ENSG00000095794	CREM	CREM-2|ICER|hCREM-2	cAMP responsive element modulator	protein-coding
chr1	82287767	82287767	+	0	NA	"intron (NM_001330645, intron 1 of 20)"	"intron (NM_001330645, intron 1 of 20)"	21685	NM_001330645	23266	Hs.24212	NM_012302	ENSG00000117114	ADGRL2	CIRL2|CL2|LEC1|LPHH1|LPHN2	adhesion G protein-coupled receptor L2	protein-coding
chr10	114002640	114002640	+	0	NA	Intergenic	L1M1|LINE|L1	-40774	NM_058222	6975	Hs.345485	NM_058222	ENSG00000119913	TECTB	-	tectorin beta	protein-coding
chr1	226244295	226244295	+	0	NA	Intergenic	Tigger1|DNA|TcMar-Tigger	-6113	NM_002107	3020	Hs.533624	NM_002107	ENSG00000163041	H3F3A	H3.3A|H3F3	H3 histone family member 3A	protein-coding
chr10	38114706	38114706	+	0	NA	"intron (NM_001267607, intron 6 of 6)"	"intron (NM_001267607, intron 6 of 6)"	-30603	NR_051997	100419868	Hs.741719	NR_051997		ZNF33BP1	-	zinc finger protein 33B pseudogene 1	pseudo
chr10	15881233	15881233	+	0	NA	"intron (NM_024948, intron 4 of 14)"	"intron (NM_024948, intron 4 of 14)"	21299	NM_024948	80013	Hs.158870	NM_024948	ENSG00000148481	FAM188A	C10orf97|CARP|DERP5|MST126|MSTP126|my042	family with sequence similarity 188 member A	protein-coding
chr1	223743751	223743751	+	0	NA	"intron (NM_001143962, intron 10 of 16)"	CpG	109685	NM_001143962	388743	Hs.291487	NM_001143962	ENSG00000203697	CAPN8	nCL-2	calpain 8	protein-coding
chr10	39478080	39478080	+	0	NA	Intergenic	Intergenic	488353	NR_045000	399746	Hs.742607	NR_045000		ACTR3BP5	FKSG74	ACTR3B pseudogene 5	pseudo
chr1	247145669	247145669	+	0	NA	"intron (NR_037894, intron 4 of 6)"	"intron (NR_037894, intron 4 of 6)"	25726	NM_020394	57116	Hs.669893	NM_020394	ENSG00000197472	ZNF695	SBZF3	zinc finger protein 695	protein-coding
