chr	start	end	not_musc_avg	musc_average	dist	leuk_average	chr	start	end	als.1.meth	als.1.unmeth	als.2.meth	als.2.unmeth	als.3.meth	als.3.unmeth	als.4.meth	als.4.unmeth	ctrl.1.meth	ctrl.1.unmeth	ctrl.2.meth	ctrl.2.unmeth	ctrl.3.meth	ctrl.3.unmeth	ctrl.4.meth	ctrl.4.unmeth
chr2	1647047	1647348	0.914445045	0.488866667	0.425578378	0.9646875	chr2	1647184	1647185	7	0	8	0	10	2	NA	NA	11	1	5	2	6	0	NA	NA
chr2	1647047	1647348	0.914445045	0.488866667	0.425578378	0.9646875	chr2	1647302	1647303	NA	NA	7	0	7	0	5	2	7	0	7	3	NA	NA	NA	NA
chr2	1647047	1647348	0.914445045	0.488866667	0.425578378	0.9646875	chr2	1647303	1647304	NA	NA	12	1	7	0	9	0	7	0	NA	NA	NA	NA	NA	NA
chr2	1681003	1681304	0.838243243	0.452316667	0.385926577	0.948075	chr2	1681003	1681004	NA	NA	6	0	8	2	NA	NA	NA	NA	NA	NA	8	3	NA	NA
chr2	1681003	1681304	0.838243243	0.452316667	0.385926577	0.948075	chr2	1681004	1681005	NA	NA	NA	NA	NA	NA	7	1	NA	NA	NA	NA	NA	NA	NA	NA
chr2	1681003	1681304	0.838243243	0.452316667	0.385926577	0.948075	chr2	1681009	1681010	NA	NA	6	0	9	1	5	1	NA	NA	NA	NA	7	1	NA	NA
chr2	1681003	1681304	0.838243243	0.452316667	0.385926577	0.948075	chr2	1681010	1681011	NA	NA	NA	NA	NA	NA	7	1	NA	NA	NA	NA	NA	NA	NA	NA
chr2	1681003	1681304	0.838243243	0.452316667	0.385926577	0.948075	chr2	1681139	1681140	0	6	4	3	2	12	3	5	1	8	2	8	3	3	NA	NA
chr2	1681003	1681304	0.838243243	0.452316667	0.385926577	0.948075	chr2	1681140	1681141	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	NA	NA	NA	NA	NA
chr2	1681003	1681304	0.838243243	0.452316667	0.385926577	0.948075	chr2	1681200	1681201	NA	NA	4	2	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	1681003	1681304	0.838243243	0.452316667	0.385926577	0.948075	chr2	1681201	1681202	1	7	NA	NA	NA	NA	0	9	NA	NA	NA	NA	2	6	0	6
chr2	1681003	1681304	0.838243243	0.452316667	0.385926577	0.948075	chr2	1681203	1681204	NA	NA	4	2	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	1681003	1681304	0.838243243	0.452316667	0.385926577	0.948075	chr2	1681204	1681205	3	5	NA	NA	0	6	1	8	NA	NA	NA	NA	2	6	2	4
chr2	1690442	1690743	0.809235135	0.318883333	0.490351802	0.9144	chr2	1690451	1690452	11	1	1	12	10	2	6	0	10	1	6	0	6	2	NA	NA
chr2	1690442	1690743	0.809235135	0.318883333	0.490351802	0.9144	chr2	1690452	1690453	8	1	0	12	9	3	4	5	9	5	9	5	8	2	6	2
chr2	1732022	1732323	0.827724324	0.478466667	0.349257658	0.9343625	chr2	1732158	1732159	5	3	6	6	5	1	8	1	4	2	7	1	6	4	NA	NA
chr2	1732022	1732323	0.827724324	0.478466667	0.349257658	0.9343625	chr2	1732159	1732160	NA	NA	NA	NA	8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	1732022	1732323	0.827724324	0.478466667	0.349257658	0.9343625	chr2	1732192	1732193	4	5	7	6	NA	NA	2	4	6	3	0	7	7	2	NA	NA
chr2	1732022	1732323	0.827724324	0.478466667	0.349257658	0.9343625	chr2	1732225	1732226	NA	NA	9	1	NA	NA	4	2	3	4	0	7	5	2	NA	NA
chr2	1732022	1732323	0.827724324	0.478466667	0.349257658	0.9343625	chr2	1732236	1732237	NA	NA	9	1	NA	NA	5	1	4	3	7	0	7	0	5	1
chr2	1732022	1732323	0.827724324	0.478466667	0.349257658	0.9343625	chr2	1732277	1732278	NA	NA	9	1	NA	NA	6	2	NA	NA	4	2	9	0	5	1
chr2	1732022	1732323	0.827724324	0.478466667	0.349257658	0.9343625	chr2	1732291	1732292	NA	NA	6	1	NA	NA	5	2	NA	NA	8	0	10	0	6	0
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742859	1742860	NA	NA	0	7	1	9	0	6	0	6	0	12	0	7	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742861	1742862	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742862	1742863	NA	NA	0	7	0	10	0	6	0	6	0	11	0	7	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742875	1742876	NA	NA	NA	NA	NA	NA	0	10	NA	NA	NA	NA	NA	NA	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742876	1742877	NA	NA	0	9	0	9	0	7	0	7	1	11	0	7	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742900	1742901	NA	NA	NA	NA	NA	NA	0	9	NA	NA	NA	NA	0	6	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742901	1742902	NA	NA	1	13	2	15	1	7	1	10	1	13	1	6	0	7
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742910	1742911	NA	NA	NA	NA	NA	NA	0	12	0	6	0	7	0	7	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742911	1742912	0	7	0	16	1	18	0	9	1	13	0	15	0	9	0	7
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742919	1742920	NA	NA	NA	NA	NA	NA	0	12	0	6	0	7	0	7	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1742920	1742921	0	8	0	16	0	19	0	9	1	13	0	15	0	9	0	7
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743009	1743010	0	7	0	18	0	8	0	9	0	9	0	11	1	10	0	6
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743010	1743011	NA	NA	0	10	1	9	0	9	0	13	0	7	0	13	0	6
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743040	1743041	0	8	0	17	0	8	0	11	0	7	0	11	1	13	0	7
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743041	1743042	NA	NA	0	9	0	8	0	6	0	7	NA	NA	0	11	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743062	1743063	0	9	0	15	0	7	0	10	0	7	0	13	0	16	0	6
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743063	1743064	NA	NA	0	7	1	9	NA	NA	1	5	NA	NA	0	12	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743065	1743066	0	9	0	14	1	6	0	10	0	7	0	13	0	16	0	6
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743066	1743067	NA	NA	0	7	0	10	NA	NA	0	6	NA	NA	1	11	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743074	1743075	0	9	0	14	0	6	0	9	0	9	0	13	0	14	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743075	1743076	NA	NA	0	7	0	9	NA	NA	NA	NA	NA	NA	0	12	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743081	1743082	0	9	0	10	NA	NA	2	8	0	9	0	12	0	14	1	5
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743082	1743083	NA	NA	0	7	0	6	NA	NA	NA	NA	NA	NA	0	11	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743083	1743084	0	9	1	11	NA	NA	1	9	0	9	0	12	1	13	0	6
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743084	1743085	NA	NA	0	7	0	6	NA	NA	NA	NA	0	6	0	11	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743096	1743097	0	6	1	7	NA	NA	0	6	0	6	3	8	1	11	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743097	1743098	NA	NA	NA	NA	1	6	NA	NA	NA	NA	NA	NA	0	9	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743111	1743112	0	6	0	9	NA	NA	1	5	NA	NA	0	7	0	10	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743112	1743113	NA	NA	NA	NA	0	6	NA	NA	NA	NA	0	6	0	8	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743116	1743117	0	6	1	9	NA	NA	NA	NA	NA	NA	0	7	0	9	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743117	1743118	NA	NA	NA	NA	0	6	NA	NA	NA	NA	0	6	0	8	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743142	1743143	0	7	0	12	NA	NA	0	6	NA	NA	NA	NA	0	7	NA	NA
chr2	1742859	1743160	0.813669369	0.426	0.387669369	0.9430125	chr2	1743152	1743153	0	6	0	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063106	3063107	NA	NA	NA	NA	NA	NA	7	0	NA	NA	7	0	NA	NA	6	1
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063107	3063108	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063122	3063123	NA	NA	NA	NA	NA	NA	10	1	NA	NA	6	2	NA	NA	6	0
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063123	3063124	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063176	3063177	NA	NA	NA	NA	NA	NA	7	0	NA	NA	8	0	NA	NA	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063177	3063178	8	0	6	0	6	0	NA	NA	NA	NA	NA	NA	8	1	6	0
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063181	3063182	NA	NA	NA	NA	NA	NA	5	2	NA	NA	8	0	NA	NA	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063182	3063183	5	1	3	3	NA	NA	NA	NA	NA	NA	NA	NA	7	1	6	0
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063207	3063208	NA	NA	NA	NA	NA	NA	7	1	NA	NA	8	0	NA	NA	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063208	3063209	6	0	7	1	6	0	NA	NA	NA	NA	4	2	6	0	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063213	3063214	NA	NA	NA	NA	NA	NA	7	0	NA	NA	8	0	NA	NA	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063214	3063215	6	0	8	0	7	1	NA	NA	NA	NA	6	0	8	0	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063260	3063261	NA	NA	NA	NA	NA	NA	7	0	NA	NA	6	0	NA	NA	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063261	3063262	7	1	10	1	10	0	NA	NA	8	2	8	2	9	0	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063286	3063287	NA	NA	NA	NA	6	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA
chr2	3063099	3063400	0.854198198	0.496216667	0.357981532	0.9563125	chr2	3063287	3063288	6	1	13	0	13	4	5	1	9	1	12	1	11	1	6	0
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128745	3128746	NA	NA	11	0	6	1	8	0	NA	NA	NA	NA	9	0	NA	NA
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128746	3128747	9	0	8	1	14	1	10	0	10	0	8	0	13	1	4	3
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128900	3128901	NA	NA	5	2	7	3	7	1	NA	NA	7	0	7	1	NA	NA
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128901	3128902	NA	NA	9	1	5	2	7	2	5	1	10	1	8	2	NA	NA
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128910	3128911	NA	NA	6	0	8	2	6	2	NA	NA	8	0	5	3	NA	NA
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128911	3128912	6	0	9	0	7	1	6	3	NA	NA	10	0	11	0	NA	NA
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128926	3128927	NA	NA	6	0	10	2	9	0	NA	NA	9	1	6	3	NA	NA
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128927	3128928	6	0	7	0	6	2	6	1	NA	NA	8	1	8	1	NA	NA
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128935	3128936	NA	NA	7	0	10	2	7	2	NA	NA	10	0	8	1	NA	NA
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128936	3128937	6	0	6	0	7	0	4	3	5	1	8	1	10	0	NA	NA
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128948	3128949	NA	NA	5	1	11	1	7	0	NA	NA	11	0	9	1	NA	NA
chr2	3128673	3128974	0.847579279	0.448016667	0.399562613	0.95305	chr2	3128949	3128950	6	0	6	1	6	0	7	2	6	0	6	1	10	1	NA	NA
chr2	3826471	3826772	0.817131532	0.390183333	0.426948198	0.9368375	chr2	3826569	3826570	2	6	10	6	6	5	8	4	7	2	3	12	13	4	7	3
chr2	3826471	3826772	0.817131532	0.390183333	0.426948198	0.9368375	chr2	3826570	3826571	NA	NA	4	2	6	7	8	4	10	3	3	15	9	4	2	6
chr2	3826471	3826772	0.817131532	0.390183333	0.426948198	0.9368375	chr2	3826608	3826609	8	0	13	1	12	1	12	1	8	0	11	2	10	1	11	1
chr2	3826471	3826772	0.817131532	0.390183333	0.426948198	0.9368375	chr2	3826609	3826610	NA	NA	NA	NA	9	2	12	0	12	0	7	1	10	2	8	1
chr2	3826471	3826772	0.817131532	0.390183333	0.426948198	0.9368375	chr2	3826624	3826625	7	1	13	1	12	1	10	1	8	0	12	0	7	1	9	1
chr2	3826471	3826772	0.817131532	0.390183333	0.426948198	0.9368375	chr2	3826625	3826626	NA	NA	NA	NA	10	0	11	0	12	1	7	1	12	1	NA	NA
chr2	3826471	3826772	0.817131532	0.390183333	0.426948198	0.9368375	chr2	3826651	3826652	NA	NA	8	0	8	4	7	0	8	0	6	2	5	1	10	0
chr2	3826471	3826772	0.817131532	0.390183333	0.426948198	0.9368375	chr2	3826652	3826653	NA	NA	NA	NA	9	1	6	1	8	2	7	0	13	1	6	1
chr2	3826471	3826772	0.817131532	0.390183333	0.426948198	0.9368375	chr2	3826710	3826711	5	1	7	3	11	0	11	2	10	0	NA	NA	7	1	6	0
chr2	3826471	3826772	0.817131532	0.390183333	0.426948198	0.9368375	chr2	3826711	3826712	6	0	5	1	10	1	7	1	10	3	8	1	11	1	6	1
chr2	11118414	11118715	0.868669369	0.354533333	0.514136036	0.965475	chr2	11118450	11118451	10	0	12	0	11	2	10	0	13	0	12	1	11	0	7	1
chr2	11118414	11118715	0.868669369	0.354533333	0.514136036	0.965475	chr2	11118451	11118452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	NA	NA
chr2	11118414	11118715	0.868669369	0.354533333	0.514136036	0.965475	chr2	11118464	11118465	10	0	11	2	15	3	8	2	13	0	9	3	12	0	9	1
chr2	11118414	11118715	0.868669369	0.354533333	0.514136036	0.965475	chr2	11118465	11118466	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	NA
chr2	11118414	11118715	0.868669369	0.354533333	0.514136036	0.965475	chr2	11118467	11118468	10	0	12	1	15	3	8	2	13	0	9	3	12	0	9	1
chr2	11118414	11118715	0.868669369	0.354533333	0.514136036	0.965475	chr2	11118468	11118469	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	6	0	NA	NA
chr2	11118414	11118715	0.868669369	0.354533333	0.514136036	0.965475	chr2	11118558	11118559	NA	NA	NA	NA	9	7	7	3	5	2	5	2	14	4	4	2
chr2	11118414	11118715	0.868669369	0.354533333	0.514136036	0.965475	chr2	11118559	11118560	3	3	8	0	NA	NA	10	0	NA	NA	8	1	4	2	5	1
chr2	11118414	11118715	0.868669369	0.354533333	0.514136036	0.965475	chr2	11118614	11118615	NA	NA	2	5	11	2	5	10	NA	NA	6	1	7	3	NA	NA
chr2	11118414	11118715	0.868669369	0.354533333	0.514136036	0.965475	chr2	11118615	11118616	2	4	NA	NA	NA	NA	3	5	4	3	10	1	7	1	NA	NA
chr2	11598818	11599119	0.810518018	0.465916667	0.344601351	0.94525	chr2	11598842	11598843	8	1	24	1	23	1	11	0	13	1	17	1	12	0	NA	NA
chr2	11598818	11599119	0.810518018	0.465916667	0.344601351	0.94525	chr2	11598843	11598844	10	0	10	2	12	1	15	1	10	0	NA	NA	11	1	10	0
chr2	11598818	11599119	0.810518018	0.465916667	0.344601351	0.94525	chr2	11598928	11598929	8	1	21	2	13	7	9	0	10	1	11	3	16	3	NA	NA
chr2	11598818	11599119	0.810518018	0.465916667	0.344601351	0.94525	chr2	11598929	11598930	5	1	7	0	8	0	7	1	6	0	NA	NA	9	0	5	1
chr2	11598818	11599119	0.810518018	0.465916667	0.344601351	0.94525	chr2	11599098	11599099	10	1	6	2	11	3	5	1	NA	NA	18	1	13	5	NA	NA
chr2	11598818	11599119	0.810518018	0.465916667	0.344601351	0.94525	chr2	11599099	11599100	6	0	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr2	12480245	12480546	0.800967568	0.450283333	0.350684234	0.9525125	chr2	12480357	12480358	5	4	10	0	NA	NA	NA	NA	NA	NA	5	1	NA	NA	8	0
chr2	12480245	12480546	0.800967568	0.450283333	0.350684234	0.9525125	chr2	12480358	12480359	NA	NA	12	0	10	0	6	0	7	0	9	0	12	1	NA	NA
chr2	12480245	12480546	0.800967568	0.450283333	0.350684234	0.9525125	chr2	12480359	12480360	6	0	10	0	NA	NA	NA	NA	NA	NA	5	1	NA	NA	8	0
chr2	12480245	12480546	0.800967568	0.450283333	0.350684234	0.9525125	chr2	12480360	12480361	NA	NA	12	0	10	1	6	0	6	0	8	0	11	2	NA	NA
chr2	23854232	23854533	0.806814414	0.459233333	0.347581081	0.95855	chr2	23854239	23854240	12	0	8	1	9	0	8	1	7	0	8	1	14	0	NA	NA
chr2	23854232	23854533	0.806814414	0.459233333	0.347581081	0.95855	chr2	23854240	23854241	NA	NA	NA	NA	11	0	12	0	9	0	15	0	12	1	NA	NA
chr2	23854232	23854533	0.806814414	0.459233333	0.347581081	0.95855	chr2	23854355	23854356	8	0	16	0	7	0	8	0	9	0	10	0	18	2	NA	NA
chr2	23854232	23854533	0.806814414	0.459233333	0.347581081	0.95855	chr2	23854356	23854357	8	0	NA	NA	14	0	16	0	11	0	11	0	10	1	10	2
chr2	23854232	23854533	0.806814414	0.459233333	0.347581081	0.95855	chr2	23854443	23854444	NA	NA	11	0	11	1	9	0	NA	NA	11	0	12	0	NA	NA
chr2	23854232	23854533	0.806814414	0.459233333	0.347581081	0.95855	chr2	23854444	23854445	NA	NA	NA	NA	6	0	10	0	6	1	6	1	NA	NA	NA	NA
chr2	30878426	30878727	0.881102703	0.380566667	0.500536036	0.956725	chr2	30878453	30878454	NA	NA	9	1	6	0	8	0	NA	NA	NA	NA	8	1	6	1
chr2	30878426	30878727	0.881102703	0.380566667	0.500536036	0.956725	chr2	30878454	30878455	8	0	6	4	8	2	NA	NA	16	0	12	2	13	0	7	0
chr2	30878426	30878727	0.881102703	0.380566667	0.500536036	0.956725	chr2	30878681	30878682	NA	NA	6	0	9	1	7	0	7	1	10	0	6	2	NA	NA
chr2	30878426	30878727	0.881102703	0.380566667	0.500536036	0.956725	chr2	30878682	30878683	NA	NA	11	0	19	1	12	1	13	2	14	3	10	0	7	0
chr2	47356446	47356747	0.889004505	0.480066667	0.408937838	0.9455125	chr2	47356463	47356464	10	0	10	0	15	0	8	0	9	0	7	0	9	1	NA	NA
chr2	47356446	47356747	0.889004505	0.480066667	0.408937838	0.9455125	chr2	47356467	47356468	9	0	11	0	13	1	7	0	9	0	7	0	6	3	NA	NA
chr2	47356446	47356747	0.889004505	0.480066667	0.408937838	0.9455125	chr2	47356564	47356565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA
chr2	47356446	47356747	0.889004505	0.480066667	0.408937838	0.9455125	chr2	47356565	47356566	6	0	11	0	7	2	7	0	4	5	9	0	6	2	NA	NA
chr2	62420765	62421066	0.857079279	0.435416667	0.421662613	0.9494625	chr2	62420789	62420790	7	0	10	0	NA	NA	NA	NA	8	0	NA	NA	7	0	NA	NA
chr2	62420765	62421066	0.857079279	0.435416667	0.421662613	0.9494625	chr2	62420790	62420791	8	2	13	1	10	0	9	0	13	1	NA	NA	13	0	11	0
chr2	62420765	62421066	0.857079279	0.435416667	0.421662613	0.9494625	chr2	62420961	62420962	6	0	6	0	9	0	NA	NA	8	0	11	0	9	0	NA	NA
chr2	62420765	62421066	0.857079279	0.435416667	0.421662613	0.9494625	chr2	62420962	62420963	10	0	12	1	14	1	13	0	10	2	14	0	23	0	6	0
chr2	75878177	75878478	0.88371982	0.48975	0.39396982	0.966	chr2	75878329	75878330	5	1	9	4	6	1	7	2	9	1	13	1	12	0	NA	NA
chr2	75878177	75878478	0.88371982	0.48975	0.39396982	0.966	chr2	75878330	75878331	9	2	14	4	18	1	8	1	11	2	14	0	12	2	8	0
chr2	76705765	76706066	0.825453153	0.380416667	0.445036486	0.934475	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366751	88366752	11	3	8	3	16	0	15	1	13	3	8	2	20	0	11	1
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366752	88366753	6	1	5	1	8	0	7	0	7	0	NA	NA	11	0	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366771	88366772	16	0	11	1	16	0	15	0	14	1	11	0	16	1	9	1
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366772	88366773	NA	NA	NA	NA	10	0	9	0	7	0	NA	NA	8	2	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366776	88366777	15	0	9	3	15	0	14	1	15	0	11	0	17	0	9	1
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366777	88366778	NA	NA	NA	NA	12	0	11	0	7	0	NA	NA	8	1	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366780	88366781	16	0	11	1	15	0	14	1	14	1	11	1	13	2	9	1
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366781	88366782	NA	NA	NA	NA	12	0	11	0	6	1	5	1	9	0	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366782	88366783	16	0	9	2	15	0	15	0	14	1	12	0	15	0	10	0
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366783	88366784	NA	NA	NA	NA	10	0	11	0	6	0	7	0	9	0	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366836	88366837	10	2	9	2	8	1	9	0	9	2	11	0	12	2	8	2
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366837	88366838	NA	NA	NA	NA	10	1	6	1	NA	NA	NA	NA	6	1	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366870	88366871	8	0	9	2	8	1	10	0	11	0	13	0	15	0	13	1
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366871	88366872	NA	NA	NA	NA	8	0	10	0	NA	NA	6	0	NA	NA	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366881	88366882	5	2	8	1	7	1	10	0	10	1	10	2	12	1	11	2
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366882	88366883	NA	NA	NA	NA	8	0	11	0	NA	NA	NA	NA	NA	NA	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366915	88366916	NA	NA	7	0	8	1	5	1	9	0	10	0	11	0	9	0
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366916	88366917	NA	NA	NA	NA	NA	NA	12	0	NA	NA	NA	NA	NA	NA	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366927	88366928	NA	NA	6	0	8	1	6	0	9	0	8	0	7	1	8	1
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366928	88366929	NA	NA	NA	NA	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366971	88366972	NA	NA	6	0	10	0	NA	NA	6	0	7	0	7	0	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366979	88366980	NA	NA	5	1	10	0	NA	NA	7	0	5	2	7	0	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366986	88366987	NA	NA	8	0	10	0	NA	NA	7	1	7	0	8	0	NA	NA
chr2	88366697	88366998	0.845117117	0.405766667	0.43935045	0.9055125	chr2	88366995	88366996	5	1	6	0	11	0	NA	NA	7	1	7	0	8	0	NA	NA
chr2	88366868	88367169	0.861658559	0.385366667	0.476291892	0.9672	chr2	88366870	88366871	8	0	9	2	8	1	10	0	11	0	13	0	15	0	13	1
chr2	88366868	88367169	0.861658559	0.385366667	0.476291892	0.9672	chr2	88366871	88366872	NA	NA	NA	NA	8	0	10	0	NA	NA	6	0	NA	NA	NA	NA
chr2	88366868	88367169	0.861658559	0.385366667	0.476291892	0.9672	chr2	88366881	88366882	5	2	8	1	7	1	10	0	10	1	10	2	12	1	11	2
chr2	88366868	88367169	0.861658559	0.385366667	0.476291892	0.9672	chr2	88366882	88366883	NA	NA	NA	NA	8	0	11	0	NA	NA	NA	NA	NA	NA	NA	NA
