chr	start	end 	not_leuk_avg	leuk_average	chr	start	end	als.1.meth	als.1.unmeth	als.2.meth	als.2.unmeth	als.3.meth	als.3.unmeth	als.4.meth	als.4.unmeth	ctrl.1.meth	ctrl.1.unmeth	ctrl.2.meth	ctrl.2.unmeth	ctrl.3.meth	ctrl.3.unmeth	ctrl.4.meth	ctrl.4.unmeth
chr2	8725986	8726287	0.736892793	0.122175	chr2	8725993	8725994	9	0	12	1	16	0	11	1	18	0	13	1	16	1	NA	NA
chr2	8725986	8726287	0.736892793	0.122175	chr2	8725994	8725995	9	1	7	1	10	1	18	1	14	3	17	2	9	2	12	1
chr2	8725986	8726287	0.736892793	0.122175	chr2	8726015	8726016	6	2	7	4	13	4	6	8	13	4	8	5	17	0	NA	NA
chr2	8725986	8726287	0.736892793	0.122175	chr2	8726016	8726017	9	1	5	4	10	0	12	8	15	5	18	3	8	1	11	3
chr2	8725986	8726287	0.736892793	0.122175	chr2	8726035	8726036	8	1	5	2	11	4	8	4	9	6	10	4	15	2	NA	NA
chr2	8725986	8726287	0.736892793	0.122175	chr2	8726036	8726037	9	1	6	6	NA	NA	12	7	17	6	22	3	8	2	11	3
chr2	8725986	8726287	0.736892793	0.122175	chr2	8726052	8726053	5	2	5	1	14	0	11	0	15	2	13	1	16	1	NA	NA
chr2	8725986	8726287	0.736892793	0.122175	chr2	8726053	8726054	8	0	12	0	6	0	15	2	22	1	22	1	9	1	12	0
chr2	8725986	8726287	0.736892793	0.122175	chr2	8726130	8726131	4	2	NA	NA	11	3	8	3	11	3	10	0	13	3	5	1
chr2	8725986	8726287	0.736892793	0.122175	chr2	8726131	8726132	6	3	10	2	11	0	11	0	18	1	23	2	16	0	NA	NA
chr2	8725986	8726287	0.736892793	0.122175	chr2	8726250	8726251	NA	NA	NA	NA	NA	NA	10	0	NA	NA	7	0	8	0	NA	NA
chr2	8725986	8726287	0.736892793	0.122175	chr2	8726251	8726252	9	1	8	1	14	0	19	0	5	2	10	0	18	0	NA	NA
chr6	11382619	11382920	0.652679279	0.0379875	chr6	11382836	11382837	9	3	17	0	11	0	9	1	8	0	19	0	12	1	5	1
chr6	11382619	11382920	0.652679279	0.0379875	chr6	11382837	11382838	NA	NA	16	2	16	0	9	4	14	1	10	0	17	1	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495922	73495923	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495926	73495927	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495938	73495939	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495944	73495945	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495947	73495948	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495964	73495965	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495967	73495968	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495970	73495971	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495973	73495974	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495976	73495977	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73495988	73495989	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73496032	73496033	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73496034	73496035	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73496038	73496039	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73496050	73496051	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73496104	73496105	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73496105	73496106	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA
chr10	73495864	73496165	0.662821622	0.0483	chr10	73496164	73496165	NA	NA	0	11	0	8	NA	NA	NA	NA	0	9	NA	NA	NA	NA
chr11	60738869	60739170	0.639720721	0.0252	chr11	60738869	60738870	NA	NA	14	0	11	1	9	1	7	1	10	3	6	4	NA	NA
chr11	60738869	60739170	0.639720721	0.0252	chr11	60738935	60738936	NA	NA	17	2	11	0	11	0	9	0	14	0	9	1	5	1
chr11	60738869	60739170	0.639720721	0.0252	chr11	60738944	60738945	NA	NA	16	1	8	1	11	0	9	0	15	0	9	0	5	1
chr11	60738869	60739170	0.639720721	0.0252	chr11	60738953	60738954	6	1	14	4	7	2	10	0	8	1	14	1	10	1	5	1
chr11	60738869	60739170	0.639720721	0.0252	chr11	60738997	60738998	2	4	14	0	10	1	8	1	10	0	13	0	11	2	6	1
chr11	60738869	60739170	0.639720721	0.0252	chr11	60739023	60739024	7	1	9	0	8	2	5	2	8	2	8	0	8	2	NA	NA
chr11	60738869	60739170	0.639720721	0.0252	chr11	60739134	60739135	NA	NA	7	0	NA	NA	10	0	NA	NA	7	1	7	0	NA	NA
chr11	60738869	60739170	0.639720721	0.0252	chr11	60739135	60739136	6	1	11	1	16	0	8	1	13	0	13	0	7	1	NA	NA
chr11	70256885	70257186	0.723231532	0.108775	chr11	70257156	70257157	NA	NA	7	0	6	2	8	0	4	3	7	6	7	4	NA	NA
chr11	70256885	70257186	0.723231532	0.108775	chr11	70257157	70257158	10	0	14	0	20	5	14	6	10	4	10	9	7	8	4	2
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795798	4795799	NA	NA	NA	NA	4	2	NA	NA	NA	NA	0	7	NA	NA	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795799	4795800	NA	NA	NA	NA	NA	NA	5	1	NA	NA	0	7	NA	NA	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795869	4795870	NA	NA	NA	NA	5	1	4	2	NA	NA	9	0	NA	NA	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795870	4795871	NA	NA	NA	NA	NA	NA	3	3	NA	NA	6	0	4	4	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795875	4795876	NA	NA	NA	NA	6	0	6	1	NA	NA	8	1	NA	NA	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795876	4795877	NA	NA	NA	NA	NA	NA	5	1	NA	NA	4	2	4	3	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795879	4795880	NA	NA	NA	NA	NA	NA	5	2	NA	NA	3	4	NA	NA	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795880	4795881	NA	NA	NA	NA	NA	NA	2	4	NA	NA	5	1	5	2	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795902	4795903	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795903	4795904	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	7	0	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795911	4795912	NA	NA	NA	NA	NA	NA	6	1	NA	NA	7	0	NA	NA	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795912	4795913	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	6	0	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795914	4795915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795915	4795916	NA	NA	NA	NA	NA	NA	6	0	NA	NA	6	0	6	0	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795957	4795958	NA	NA	NA	NA	NA	NA	7	1	NA	NA	8	0	NA	NA	NA	NA
chr20	4795785	4796086	0.734881081	0.1204625	chr20	4795958	4795959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	1	7	0	NA	NA
chr2	100758984	100759285	0.672513514	0.058125	chr2	100759176	100759177	15	1	15	2	16	0	15	1	13	1	12	1	20	2	NA	NA
chr2	100758984	100759285	0.672513514	0.058125	chr2	100759177	100759178	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA	NA	5	1	NA	NA
chr2	100758984	100759285	0.672513514	0.058125	chr2	100759199	100759200	12	2	18	0	16	0	15	3	12	1	10	2	20	2	NA	NA
chr2	100758984	100759285	0.672513514	0.058125	chr2	100759200	100759201	NA	NA	NA	NA	NA	NA	8	0	NA	NA	5	1	NA	NA	NA	NA
chr2	100758984	100759285	0.672513514	0.058125	chr2	100759258	100759259	8	0	11	1	7	0	14	0	12	0	8	1	22	1	NA	NA
chr2	100758984	100759285	0.672513514	0.058125	chr2	100759259	100759260	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	NA	NA	NA	NA	NA
chr2	100758984	100759285	0.672513514	0.058125	chr2	100759270	100759271	6	0	10	2	8	1	11	2	10	1	6	3	19	1	NA	NA
chr2	100758984	100759285	0.672513514	0.058125	chr2	100759271	100759272	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr7	105662659	105662960	0.785556757	0.1712	chr7	105662858	105662859	NA	NA	11	1	10	0	11	1	8	0	13	0	7	2	NA	NA
chr7	105662659	105662960	0.785556757	0.1712	chr7	105662859	105662860	11	0	11	0	16	1	9	0	14	3	17	1	14	1	5	1
chr17	25871640	25871941	0.650620721	0.036275	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448597	44448598	NA	NA	NA	NA	NA	NA	8	0	8	0	6	1	8	0	5	1
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448598	44448599	NA	NA	10	1	6	1	NA	NA	NA	NA	12	1	6	3	NA	NA
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448627	44448628	NA	NA	NA	NA	7	0	8	0	9	2	6	1	NA	NA	6	1
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448628	44448629	NA	NA	8	0	NA	NA	NA	NA	NA	NA	11	1	5	3	NA	NA
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448658	44448659	NA	NA	NA	NA	8	0	NA	NA	9	1	8	1	6	0	NA	NA
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448659	44448660	NA	NA	7	0	NA	NA	NA	NA	NA	NA	7	1	6	1	NA	NA
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448663	44448664	NA	NA	NA	NA	9	0	NA	NA	8	1	9	1	7	0	NA	NA
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448664	44448665	NA	NA	6	0	NA	NA	6	0	NA	NA	7	1	7	2	NA	NA
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448719	44448720	NA	NA	13	1	10	1	5	1	8	1	13	0	21	0	6	0
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448720	44448721	NA	NA	9	1	11	0	14	1	10	1	15	2	9	1	6	0
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448725	44448726	NA	NA	15	0	11	0	6	0	9	0	13	0	22	0	6	0
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448726	44448727	NA	NA	10	1	10	0	13	2	11	2	15	2	9	1	6	0
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448727	44448728	NA	NA	16	0	11	0	6	0	8	1	13	0	22	0	5	1
chr20	44448543	44448844	0.716340541	0.1022125	chr20	44448728	44448729	NA	NA	10	0	9	1	14	1	13	0	17	0	10	0	6	0
chr17	76117617	76117918	0.693358559	0.0792625	chr17	76117619	76117620	5	2	NA	NA	12	0	12	0	6	0	NA	NA	5	1	NA	NA
chr17	76117617	76117918	0.693358559	0.0792625	chr17	76117620	76117621	NA	NA	NA	NA	6	0	8	0	7	0	NA	NA	7	0	NA	NA
chr17	76117617	76117918	0.693358559	0.0792625	chr17	76117733	76117734	9	1	16	0	11	2	20	0	18	0	12	2	22	0	11	1
chr17	76117617	76117918	0.693358559	0.0792625	chr17	76117734	76117735	NA	NA	NA	NA	NA	NA	8	1	NA	NA	NA	NA	7	0	NA	NA
chr17	76117617	76117918	0.693358559	0.0792625	chr17	76117775	76117776	10	2	16	1	9	5	11	5	18	3	19	0	25	3	11	1
chr17	76117617	76117918	0.693358559	0.0792625	chr17	76117776	76117777	NA	NA	NA	NA	NA	NA	6	1	NA	NA	7	0	8	0	NA	NA
chr17	76117617	76117918	0.693358559	0.0792625	chr17	76117846	76117847	NA	NA	20	0	16	0	9	1	10	1	14	1	18	1	7	1
chr17	76117617	76117918	0.693358559	0.0792625	chr17	76117847	76117848	6	0	13	0	11	1	9	0	9	2	14	0	11	0	8	0
chr9	140165964	140166265	0.754053153	0.1400125	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179680	3179681	NA	NA	NA	NA	NA	NA	1	7	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179681	3179682	NA	NA	NA	NA	NA	NA	1	8	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179691	3179692	NA	NA	NA	NA	NA	NA	1	8	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179692	3179693	NA	NA	NA	NA	NA	NA	0	10	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179694	3179695	NA	NA	NA	NA	NA	NA	1	8	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179695	3179696	NA	NA	NA	NA	NA	NA	0	10	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179721	3179722	NA	NA	NA	NA	NA	NA	1	9	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179744	3179745	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	2	4
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179765	3179766	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	1	5
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179775	3179776	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179811	3179812	NA	NA	NA	NA	NA	NA	1	6	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179816	3179817	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179819	3179820	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179831	3179832	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179846	3179847	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179877	3179878	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179879	3179880	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179886	3179887	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179890	3179891	NA	NA	NA	NA	NA	NA	1	6	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179907	3179908	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179933	3179934	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179937	3179938	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
chr19	3179678	3179979	0.677977477	0.0643	chr19	3179962	3179963	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA
chr7	115051213	115051514	0.714845946	0.101275	chr7	115051457	115051458	9	1	31	1	7	1	11	2	11	2	15	2	26	1	NA	NA
chr7	115051213	115051514	0.714845946	0.101275	chr7	115051458	115051459	10	0	17	1	15	0	12	2	13	0	14	0	11	0	NA	NA
chr7	115051213	115051514	0.714845946	0.101275	chr7	115051468	115051469	9	0	34	2	7	1	11	2	12	0	17	1	28	0	NA	NA
chr7	115051213	115051514	0.714845946	0.101275	chr7	115051469	115051470	8	2	20	0	15	1	13	0	12	0	15	1	12	1	NA	NA
chr6	149532140	149532441	0.713113514	0.0996375	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr1	10964944	10965245	0.756645946	0.1432375	chr1	10965063	10965064	1	6	2	20	2	13	0	7	2	11	2	14	0	12	1	6
chr1	10964944	10965245	0.756645946	0.1432375	chr1	10965064	10965065	NA	NA	0	6	NA	NA	0	7	1	6	NA	NA	NA	NA	NA	NA
chr1	10964944	10965245	0.756645946	0.1432375	chr1	10965073	10965074	1	6	2	20	2	10	0	8	3	10	2	15	1	9	1	5
chr1	10964944	10965245	0.756645946	0.1432375	chr1	10965074	10965075	NA	NA	0	6	NA	NA	0	7	1	6	1	5	NA	NA	NA	NA
chr1	10964944	10965245	0.756645946	0.1432375	chr1	10965165	10965166	NA	NA	0	6	0	6	0	6	NA	NA	NA	NA	2	6	NA	NA
chr1	10964944	10965245	0.756645946	0.1432375	chr1	10965187	10965188	NA	NA	1	8	1	8	NA	NA	NA	NA	NA	NA	1	9	NA	NA
chr1	10964944	10965245	0.756645946	0.1432375	chr1	10965206	10965207	NA	NA	0	9	1	8	0	6	NA	NA	NA	NA	3	9	NA	NA
chr4	121418	121719	0.654520721	0.0411375	chr4	121421	121422	1	6	0	16	1	5	0	14	NA	NA	1	8	0	12	NA	NA
chr4	121418	121719	0.654520721	0.0411375	chr4	121422	121423	NA	NA	0	7	0	12	0	9	NA	NA	NA	NA	2	8	NA	NA
chr4	121418	121719	0.654520721	0.0411375	chr4	121587	121588	NA	NA	1	9	1	13	0	15	0	14	0	9	1	9	0	6
chr4	121418	121719	0.654520721	0.0411375	chr4	121588	121589	NA	NA	NA	NA	NA	NA	0	7	0	8	NA	NA	1	6	NA	NA
chr4	121418	121719	0.654520721	0.0411375	chr4	121688	121689	0	8	0	11	0	8	0	16	0	7	0	10	NA	NA	NA	NA
chr4	121418	121719	0.654520721	0.0411375	chr4	121689	121690	NA	NA	1	15	2	13	0	11	1	10	1	15	0	12	1	7
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199066	62199067	NA	NA	NA	NA	14	2	7	0	7	0	8	0	8	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199084	62199085	NA	NA	NA	NA	16	2	10	0	6	0	11	1	9	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199086	62199087	NA	NA	NA	NA	16	2	10	1	6	0	11	1	9	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199091	62199092	NA	NA	NA	NA	18	0	12	0	NA	NA	12	0	10	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199099	62199100	NA	NA	7	0	17	0	10	0	NA	NA	12	0	9	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199134	62199135	NA	NA	7	0	14	0	10	0	NA	NA	7	0	7	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199137	62199138	NA	NA	7	0	13	0	9	0	NA	NA	8	0	7	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199156	62199157	6	0	10	0	16	0	11	0	NA	NA	6	1	6	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199169	62199170	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199170	62199171	7	1	10	0	15	2	8	1	NA	NA	NA	NA	6	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199178	62199179	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199179	62199180	6	1	11	0	16	0	6	0	NA	NA	NA	NA	6	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199181	62199182	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	8	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199182	62199183	7	0	10	0	13	2	NA	NA	NA	NA	NA	NA	6	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199195	62199196	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA	NA	7	1	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199196	62199197	8	0	11	0	12	2	5	1	NA	NA	NA	NA	6	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199217	62199218	NA	NA	8	0	7	0	9	1	NA	NA	9	0	7	2	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199218	62199219	8	0	12	0	18	0	NA	NA	5	1	5	1	9	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199220	62199221	NA	NA	8	1	7	0	10	1	NA	NA	10	0	10	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199221	62199222	7	0	12	0	14	0	NA	NA	6	0	6	0	9	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199226	62199227	NA	NA	9	0	6	1	10	0	NA	NA	8	0	8	1	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199227	62199228	7	0	14	0	13	0	NA	NA	5	1	NA	NA	8	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199235	62199236	NA	NA	10	0	7	0	12	0	NA	NA	NA	NA	11	0	NA	NA
chr20	62199031	62199332	0.653233333	0.039975	chr20	62199236	62199237	6	0	13	0	13	0	NA	NA	7	0	NA	NA	7	0	NA	NA
chr3	32993015	32993316	0.680221622	0.066975	chr3	32993202	32993203	1	5	3	8	2	5	1	5	3	6	1	5	4	4	NA	NA
chr3	32993015	32993316	0.680221622	0.066975	chr3	32993203	32993204	1	5	1	6	NA	NA	0	6	NA	NA	3	4	3	7	NA	NA
chr3	118955694	118955995	0.658894595	0.0458	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr1	202130194	202130495	0.711134234	0.0980875	chr1	202130204	202130205	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	202130194	202130495	0.711134234	0.0980875	chr1	202130211	202130212	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	202130194	202130495	0.711134234	0.0980875	chr1	202130333	202130334	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	202130194	202130495	0.711134234	0.0980875	chr1	202130370	202130371	NA	NA	NA	NA	7	2	8	0	4	2	NA	NA	NA	NA	NA	NA
chr1	202130194	202130495	0.711134234	0.0980875	chr1	202130468	202130469	NA	NA	NA	NA	NA	NA	NA	NA	1	6	0	7	NA	NA	NA	NA
chr8	134072461	134072762	0.644827027	0.032025	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr15	42693405	42693706	0.702022523	0.0894375	chr15	42693446	42693447	NA	NA	NA	NA	11	0	6	3	5	1	10	0	NA	NA	NA	NA
chr15	42693405	42693706	0.702022523	0.0894375	chr15	42693447	42693448	NA	NA	7	1	8	2	6	3	NA	NA	13	0	6	1	NA	NA
chr15	42693405	42693706	0.702022523	0.0894375	chr15	42693605	42693606	NA	NA	NA	NA	9	0	10	0	NA	NA	5	1	8	0	NA	NA
chr15	42693405	42693706	0.702022523	0.0894375	chr15	42693606	42693607	NA	NA	5	1	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA
chr15	42693405	42693706	0.702022523	0.0894375	chr15	42693694	42693695	NA	NA	7	1	11	1	12	0	6	0	7	0	14	0	NA	NA
chr8	129005417	129005718	0.648988288	0.0365875	.	-1	-1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757248	29757249	7	2	15	1	19	1	8	0	NA	NA	6	0	20	2	NA	NA
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757249	29757250	NA	NA	5	1	7	0	8	0	NA	NA	NA	NA	NA	NA	6	2
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757253	29757254	9	0	16	0	19	1	8	0	NA	NA	6	0	19	2	NA	NA
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757254	29757255	NA	NA	6	0	8	0	7	0	NA	NA	NA	NA	NA	NA	8	0
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757280	29757281	7	0	11	2	16	1	8	0	6	0	5	1	17	1	NA	NA
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757281	29757282	NA	NA	6	0	6	0	7	1	NA	NA	NA	NA	NA	NA	7	0
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757298	29757299	5	1	8	2	13	3	10	1	9	0	5	2	14	4	NA	NA
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757299	29757300	NA	NA	5	1	NA	NA	4	3	NA	NA	5	1	NA	NA	NA	NA
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757303	29757304	NA	NA	10	0	15	0	12	0	10	0	5	1	18	0	NA	NA
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757304	29757305	NA	NA	5	1	5	1	7	0	NA	NA	6	0	NA	NA	NA	NA
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757338	29757339	6	0	9	1	18	2	9	2	8	0	NA	NA	8	3	NA	NA
chr16	29757168	29757469	0.650831532	0.0385875	chr16	29757339	29757340	NA	NA	6	1	8	0	7	1	NA	NA	6	0	NA	NA	NA	NA
